Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
Jason Hackett - Justin Hackett;220;1,25;0,33;0,92;1,41;100;  0,51;120;1,57;46;1,26;54;0,00;52;0,00;68;0,51;120;
Tarek Sadek - Waleed El Ahmady;320;1,17;0,54;0,64;0,81;161;  0,47;158;0,83;72;0,79;89;0,00;82;0,00;76;0,47;158;
Fulvio Fantoni - Claudio Nunes;220;1,14;0,51;0,62;0,74;108;  0,52;111;0,51;57;1,00;51;0,00;51;0,00;60;0,52;111;
Adam Zmudzinski - Cezary Balicki;240;1,09;0,56;0,53;0,50;109;  0,56;130;0,38;46;0,59;63;0,00;60;0,00;70;0,56;130;
Steve Weinstein - Bobby Levin;240;1,04;0,61;0,43;0,83;128;  -0,02;111;0,57;54;1,02;74;0,00;49;0,00;62;-0,02;111;
Hugh McGann - Tom Hanlon;260;1,02;0,57;0,44;0,28;143;  0,63;117;-0,19;66;0,70;77;0,00;53;0,00;64;0,63;117;
Hector Camberos - Alejandro Bianchedi;120;1,01;1,04;-0,04;-0,62;65;  0,65;55;-1,04;40;0,06;25;0,00;28;0,00;27;0,65;55;
Abdel Salam Ghoneim - Samer El-Sheikh;220;1,00;0,73;0,27;0,54;100;  0,04;118;0,99;64;-0,26;36;0,00;55;0,00;63;0,04;118;
Jian Ming Dai - Li Xin Yang;220;0,98;0,53;0,45;0,28;102;  0,60;118;0,30;56;0,25;46;0,00;56;0,00;62;0,60;118;
Andrew Robson - David Bakhshi;240;0,90;0,77;0,13;0,24;139;  -0,02;101;0,64;58;-0,04;81;0,00;44;0,00;57;-0,02;101;
Jouri Khokhlov - Vlaadimir Rekunov;220;0,86;0,30;0,57;1,04;100;  0,17;119;0,84;48;1,22;52;0,00;60;0,00;59;0,17;119;
Sartaj Hans - Tony Nunn;240;0,86;0,64;0,22;0,05;109;  0,36;130;-0,11;62;0,26;47;0,00;57;0,00;73;0,36;130;
Gábor Winkler - Miklós Dumbovich;260;0,84;0,56;0,28;0,25;127;  0,31;133;0,42;76;-0,02;51;0,00;76;0,00;57;0,31;133;
Magnus E Magnusson - Matthías Torvaldsson;240;0,84;0,46;0,38;0,33;133;  0,44;107;0,33;65;0,33;68;0,00;56;0,00;51;0,44;107;
Michael Rosenberg - Zia Mahmood;240;0,83;-0,02;0,85;0,83;122;  0,87;118;1,50;55;0,29;67;0,00;59;0,00;59;0,87;118;
Osmo Kiema - Dogan Uzum;100;0,83;0,20;0,63;0,99;41;  0,38;59;0,48;22;1,57;19;0,00;30;0,00;29;0,38;59;
Israel Yadlin - Doron Yadlin;240;0,81;0,47;0,34;-0,09;93;  0,61;146;-0,04;44;-0,13;49;0,00;80;0,00;66;0,61;146;
Tom Townsend - David Gold;220;0,79;0,67;0,13;0,15;114;  0,10;106;0,38;53;-0,05;61;0,00;49;0,00;57;0,10;106;
Gábor Macskásy - György Szalay;240;0,79;0,54;0,25;-0,11;112;  0,55;128;0,49;54;-0,67;58;0,00;61;0,00;67;0,55;128;
Jan Jansma - Loek Jr, Verhees;260;0,78;0,29;0,48;0,32;136;  0,66;124;0,86;50;0,01;86;0,00;66;0,00;58;0,66;124;
Hideki Takano - Tadashi Imakura;240;0,77;0,48;0,30;0,88;112;  -0,21;126;1,06;53;0,72;59;0,00;59;0,00;67;-0,21;126;
Andrés Knap - Arturo Wasik;240;0,75;0,43;0,32;0,71;109;  -0,00;131;0,04;50;1,27;59;0,00;67;0,00;64;-0,00;131;
Shaolin Sun - Xin Li;140;0,71;0,11;0,60;0,91;60;  0,38;78;1,90;24;0,25;36;0,00;36;0,00;42;0,38;78;
Haojun Shi - Zejun Zhuang;220;0,71;0,42;0,29;0,05;107;  0,52;113;-0,09;49;0,17;58;0,00;49;0,00;64;0,52;113;
Franck Multon - Jean-Christophe Quantin;280;0,70;0,31;0,39;0,16;153;  0,68;125;0,16;73;0,16;80;0,00;61;0,00;64;0,68;125;
Jean-Jacques Palau - Jérôme Rombaut;240;0,69;-0,12;0,81;1,14;96;  0,59;144;1,27;43;1,03;53;0,00;70;0,00;74;0,59;144;
Entscho Wladow - Michael Elinescu;240;0,69;0,52;0,17;0,19;121;  0,16;118;0,07;75;0,39;46;0,00;72;0,00;46;0,16;118;
John Carroll - Tom Garvey;200;0,68;0,52;0,16;0,07;89;  0,22;111;-0,29;44;0,43;45;0,00;50;0,00;61;0,22;111;
Nafiz Zorlu - Salvador Assael;300;0,68;0,46;0,21;0,18;162;  0,26;137;0,34;80;0,02;82;0,00;68;0,00;69;0,26;137;
Maarten Schollaardt - Bas Drijver;200;0,67;0,34;0,33;0,32;100;  0,34;100;0,34;53;0,28;47;0,00;50;0,00;50;0,34;100;
Andreas Babsch - Wolfgang Bieder;200;0,67;0,41;0,26;-0,19;106;  0,78;92;-0,09;62;-0,32;44;0,00;55;0,00;37;0,78;92;
Gabriel Chagas - Miguel Villas Boas;320;0,66;0,46;0,20;0,38;171;  0,00;149;0,51;107;0,14;64;0,00;73;0,00;76;0,00;149;
Georgo Karakolev - Zahari Zahariev;220;0,65;0,32;0,32;0,25;115;  0,40;105;-0,47;54;0,89;61;0,00;52;0,00;53;0,40;105;
Josef Piekarek - Tomasz Gotard;240;0,64;0,39;0,25;0,10;112;  0,39;128;0,53;46;-0,20;66;0,00;62;0,00;66;0,39;128;
Ricco van Prooijen - Sjoert Brink;180;0,62;0,32;0,30;0,47;76;  0,18;104;0,73;40;0,19;36;0,00;48;0,00;56;0,18;104;
Lars Lund Madsen - Morten Lund Madsen;220;0,61;0,23;0,38;0,23;107;  0,52;113;0,20;57;0,26;50;0,00;54;0,00;59;0,52;113;
Giorgio Duboin - Norberto Bocchi;240;0,61;0,16;0,45;0,15;123;  0,77;116;-0,12;53;0,34;70;0,00;65;0,00;51;0,77;116;
Erik Sælensminde - Boye Brogeland;260;0,59;0,41;0,18;0,10;120;  0,25;140;-0,02;70;0,26;50;0,00;74;0,00;66;0,25;140;
Georgy Matushko - Max Khven;220;0,56;0,06;0,50;0,25;128;  0,86;92;0,72;57;-0,13;71;0,00;46;0,00;46;0,86;92;
Agustin Madala - Alejandro Bianchedi;180;0,54;0,12;0,42;0,67;97;  0,14;83;0,44;58;1,00;39;0,00;35;0,00;48;0,14;83;
Robert Parasian Tobing - Taufik Gautama Asbi;280;0,52;0,34;0,19;0,40;136;  -0,01;144;0,06;79;0,87;57;0,00;66;0,00;78;-0,01;144;
Iulian Rotaru - Marius Briciu;240;0,52;0,39;0,13;0,30;118;  -0,03;122;0,82;50;-0,09;68;0,00;67;0,00;55;-0,03;122;
Pritish Kushari - Sumit Mukherjee;160;0,51;0,34;0,17;0,00;67;  0,30;92;-0,01;32;0,02;35;0,00;48;0,00;44;0,30;92;
Julian Stefanov - Victor Aronov;240;0,51;0,55;-0,04;-0,41;118;  0,31;122;-0,15;60;-0,68;58;0,00;68;0,00;54;0,31;122;
László Honti - László Szilágyi;180;0,50;-0,05;0,55;0,37;85;  0,73;94;-0,05;48;0,92;37;0,00;59;0,00;35;0,73;94;
Johan Sylvan - PO Sundelin;120;0,50;0,17;0,33;0,16;62;  0,51;58;0,57;33;-0,31;29;0,00;28;0,00;30;0,51;58;
Martin Schifko - Andreas Gloyer;280;0,49;0,23;0,26;0,09;149;  0,45;130;0,36;71;-0,15;78;0,00;76;0,00;54;0,45;130;
Jon-Egil Furunes - Tor Helness;260;0,49;0,11;0,38;0,47;144;  0,26;116;0,56;75;0,38;69;0,00;46;0,00;70;0,26;116;
Amedeo Comella - Stefano Sabbatini;220;0,48;-0,01;0,49;0,40;98;  0,57;122;0,27;53;0,56;45;0,00;55;0,00;67;0,57;122;
Pablo Lambardi - Pablo Ravenna;140;0,48;0,49;-0,01;-0,02;78;  0,01;62;-0,22;33;0,12;45;0,00;23;0,00;39;0,01;62;
Magnus Lindkvist - Peter Fredin;320;0,45;0,55;-0,09;0,27;166;  -0,48;154;0,05;84;0,50;82;0,00;83;0,00;71;-0,48;154;
Nicholas FitzGibbon - Adam Mesbur;220;0,44;0,15;0,30;0,30;104;  0,30;115;0,46;35;0,21;69;0,00;51;0,00;64;0,30;115;
Jan - E - Alam Fazli - Abdul Rehman Allana;280;0,42;0,02;0,40;0,50;138;  0,31;142;0,54;75;0,45;63;0,00;73;0,00;69;0,31;142;
Laurent Thuillez - Lionel Sebbane;160;0,42;0,27;0,15;0,43;82;  -0,15;77;0,41;47;0,46;35;0,00;47;0,00;30;-0,15;77;
Jelena Alfejeva - Vladimir Gonca;240;0,41;0,13;0,28;0,33;130;  0,22;109;0,15;77;0,59;53;0,00;62;0,00;47;0,22;109;
Gabriel Carrasco - Gabriel Fractman;220;0,40;0,39;0,02;0,12;117;  -0,10;102;-0,35;60;0,61;57;0,00;47;0,00;55;-0,10;102;
Piotr Tuszynski - Apolinary Kowalski;220;0,40;0,16;0,24;0,25;117;  0,23;103;-0,38;61;0,92;56;0,00;54;0,00;49;0,23;103;
Sverrir Armansson - Adalsteinn Jorgensen;220;0,40;0,23;0,16;0,23;104;  0,10;116;-0,46;52;0,92;52;0,00;45;0,00;71;0,10;116;
Agustin Madala - Pablo Ravenna;120;0,39;0,01;0,38;0,32;64;  0,45;56;0,24;36;0,43;28;0,00;22;0,00;34;0,45;56;
Gabriel Harfouche - Michel Eidy;340;0,39;0,13;0,26;0,29;170;  0,23;169;0,70;73;-0,02;97;0,00;84;0,00;85;0,23;169;
Hiroshi Kaku - Masaaki Takayama;180;0,39;0,30;0,09;0,26;94;  -0,10;86;0,02;41;0,45;53;0,00;36;0,00;50;-0,10;86;
Dubravko Diklic - Miro Tesla;220;0,37;0,01;0,36;0,57;113;  0,13;106;0,94;54;0,24;59;0,00;52;0,00;54;0,13;106;
Alekos Lambrinos - Loukas Zotos;220;0,36;0,25;0,11;0,17;114;  0,05;105;-0,02;53;0,33;61;0,00;54;0,00;51;0,05;105;
Hans Christian Graversen - Poul Clemmensen;240;0,36;0,08;0,29;0,53;139;  -0,04;100;0,28;75;0,81;64;0,00;47;0,00;53;-0,04;100;
Li Xin Yang - Shaolin Sun;100;0,36;-0,16;0,52;0,31;41;  0,67;58;0,35;22;0,26;19;0,00;29;0,00;29;0,67;58;
Lauri Naber - Leo Luks;240;0,36;0,10;0,25;0,14;128;  0,39;111;-0,14;79;0,58;49;0,00;42;0,00;69;0,39;111;
Faycal Hamdan - Pierre Chidiac;120;0,35;-0,10;0,45;0,59;74;  0,22;46;0,93;34;0,30;40;0,00;24;0,00;22;0,22;46;
Giorgi Uchava - Rati Burdiashvili;140;0,34;0,67;-0,34;0,19;70;  -0,87;69;0,43;28;0,02;42;0,00;32;0,00;37;-0,87;69;
Hédi Baccour - Craig Gower;200;0,34;0,26;0,08;-0,00;99;  0,16;101;-0,11;48;0,09;51;0,00;44;0,00;57;0,16;101;
Franky Steven Karwur - Santje Panelewen;280;0,32;-0,02;0,34;0,41;116;  0,29;163;0,95;52;-0,02;64;0,00;55;0,00;108;0,29;163;
