Players;No,;Pl1;Pl2;Def;L1;L2;IMPs;Bid;Play1;Play2;;Lead1;Lead2;Def
Jason Hackett - Justin Hackett;220;46;54;120;52;68;1,19;0,34;0,28;0,28;0,00;0,00;0,27
Tarek Sadek - Waleed El Ahmady;320;72;89;158;82;76;1,05;0,45;0,18;0,19;0,00;0,00;0,23
Fulvio Fantoni - Claudio Nunes;220;57;51;111;51;60;1,04;0,49;0,10;0,19;0,00;0,00;0,26
Adam Zmudzinski - Cezary Balicki;240;46;63;130;60;70;1,02;0,55;0,06;0,13;0,00;0,00;0,27
Abdel Salam Ghoneim - Samer El-Sheikh;220;64;36;118;55;63;0,86;0,66;0,22;-0,05;0,00;0,00;0,03
Jian Ming Dai - Li Xin Yang;220;56;46;118;56;62;0,86;0,47;0,08;0,03;0,00;0,00;0,27
Steve Weinstein - Bobby Levin;240;54;74;111;49;62;0,85;0,47;0,11;0,27;0,00;0,00;-0,00
Hugh McGann - Tom Hanlon;260;66;77;117;53;64;0,85;0,46;-0,05;0,18;0,00;0,00;0,27
Hector Camberos - Alejandro Bianchedi;120;40;25;55;28;27;0,82;0,84;-0,30;0,01;0,00;0,00;0,26
Israel Yadlin - Doron Yadlin;240;44;49;146;80;66;0,79;0,47;-0,00;-0,03;0,00;0,00;0,35
Sartaj Hans - Tony Nunn;240;62;47;130;57;73;0,79;0,61;-0,03;0,04;0,00;0,00;0,17
Gábor Winkler - Miklós Dumbovich;260;76;51;133;76;57;0,78;0,53;0,12;-0,00;0,00;0,00;0,14
Jouri Khokhlov - Vlaadimir Rekunov;220;48;52;119;60;59;0,78;0,28;0,17;0,26;0,00;0,00;0,07
Andrew Robson - David Bakhshi;240;58;81;101;44;57;0,77;0,66;0,13;-0,02;0,00;0,00;-0,00
Michael Rosenberg - Zia Mahmood;240;55;67;118;59;59;0,77;0,05;0,29;0,07;0,00;0,00;0,36
Shaolin Sun - Xin Li;140;24;36;78;36;42;0,76;0,21;0,29;0,06;0,00;0,00;0,19
Magnus E Magnusson - Matthías Torvaldsson;240;65;68;107;56;51;0,74;0,37;0,10;0,09;0,00;0,00;0,17
Osmo Kiema - Dogan Uzum;100;22;19;59;30;29;0,73;0,18;0,08;0,24;0,00;0,00;0,22
Tom Townsend - David Gold;220;53;61;106;49;57;0,70;0,56;0,08;-0,01;0,00;0,00;0,07
Hideki Takano - Tadashi Imakura;240;53;59;126;59;67;0,70;0,43;0,20;0,15;0,00;0,00;-0,09
