                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
Jason Hackett - Justin Hackett                         |  220   1.19 |  0.34   0.84 |  1.25 (100)   0.50 (120) |  1.36 ( 46)   1.16 ( 54) |  0.00 ( 52)   0.00 ( 68)   0.50 (120) |
Tarek Sadek - Waleed El Ahmady                         |  320   1.05 |  0.45   0.60 |  0.73 (161)   0.47 (158) |  0.78 ( 72)   0.69 ( 89) |  0.00 ( 82)   0.00 ( 76)   0.47 (158) |
Fulvio Fantoni - Claudio Nunes                         |  220   1.04 |  0.49   0.55 |  0.59 (108)   0.51 (111) |  0.39 ( 57)   0.81 ( 51) |  0.00 ( 51)   0.00 ( 60)   0.51 (111) |
Adam Zmudzinski - Cezary Balicki                       |  240   1.02 |  0.55   0.47 |  0.43 (109)   0.50 (130) |  0.33 ( 46)   0.51 ( 63) |  0.00 ( 60)   0.00 ( 70)   0.50 (130) |
Abdel Salam Ghoneim - Samer El-Sheikh                  |  220   0.86 |  0.66   0.20 |  0.38 (100)   0.05 (118) |  0.77 ( 64)  -0.32 ( 36) |  0.00 ( 55)   0.00 ( 63)   0.05 (118) |
Jian Ming Dai - Li Xin Yang                            |  220   0.86 |  0.47   0.38 |  0.24 (102)   0.51 (118) |  0.30 ( 56)   0.16 ( 46) |  0.00 ( 56)   0.00 ( 62)   0.51 (118) |
Steve Weinstein - Bobby Levin                          |  240   0.85 |  0.47   0.38 |  0.72 (128)  -0.00 (111) |  0.48 ( 54)   0.89 ( 74) |  0.00 ( 49)   0.00 ( 62)  -0.00 (111) |
Hugh McGann - Tom Hanlon                               |  260   0.85 |  0.46   0.39 |  0.23 (143)   0.60 (117) | -0.20 ( 66)   0.59 ( 77) |  0.00 ( 53)   0.00 ( 64)   0.60 (117) |
Hector Camberos - Alejandro Bianchedi                  |  120   0.82 |  0.84  -0.03 | -0.54 ( 65)   0.57 ( 55) | -0.91 ( 40)   0.06 ( 25) |  0.00 ( 28)   0.00 ( 27)   0.57 ( 55) |
Israel Yadlin - Doron Yadlin                           |  240   0.79 |  0.47   0.32 | -0.08 ( 93)   0.57 (146) | -0.01 ( 44)  -0.14 ( 49) |  0.00 ( 80)   0.00 ( 66)   0.57 (146) |
Sartaj Hans - Tony Nunn                                |  240   0.79 |  0.61   0.18 |  0.02 (109)   0.31 (130) | -0.12 ( 62)   0.22 ( 47) |  0.00 ( 57)   0.00 ( 73)   0.31 (130) |
Gábor Winkler - Miklós Dumbovich                       |  260   0.78 |  0.53   0.25 |  0.23 (127)   0.27 (133) |  0.40 ( 76)  -0.02 ( 51) |  0.00 ( 76)   0.00 ( 57)   0.27 (133) |
Jouri Khokhlov - Vlaadimir Rekunov                     |  220   0.78 |  0.28   0.50 |  0.94 (100)   0.13 (119) |  0.76 ( 48)   1.10 ( 52) |  0.00 ( 60)   0.00 ( 59)   0.13 (119) |
Andrew Robson - David Bakhshi                          |  240   0.77 |  0.66   0.11 |  0.19 (139)  -0.01 (101) |  0.55 ( 58)  -0.07 ( 81) |  0.00 ( 44)   0.00 ( 57)  -0.01 (101) |
Michael Rosenberg - Zia Mahmood                        |  240   0.77 |  0.05   0.72 |  0.72 (122)   0.73 (118) |  1.27 ( 55)   0.26 ( 67) |  0.00 ( 59)   0.00 ( 59)   0.73 (118) |
Shaolin Sun - Xin Li                                   |  140   0.76 |  0.21   0.54 |  0.82 ( 60)   0.35 ( 78) |  1.69 ( 24)   0.24 ( 36) |  0.00 ( 36)   0.00 ( 42)   0.35 ( 78) |
Magnus E Magnusson - Matthías Torvaldsson              |  240   0.74 |  0.37   0.36 |  0.34 (133)   0.39 (107) |  0.36 ( 65)   0.31 ( 68) |  0.00 ( 56)   0.00 ( 51)   0.39 (107) |
Osmo Kiema - Dogan Uzum                                |  100   0.73 |  0.18   0.55 |  0.80 ( 41)   0.38 ( 59) |  0.38 ( 22)   1.29 ( 19) |  0.00 ( 30)   0.00 ( 29)   0.38 ( 59) |
Tom Townsend - David Gold                              |  220   0.70 |  0.56   0.14 |  0.13 (114)   0.15 (106) |  0.32 ( 53)  -0.02 ( 61) |  0.00 ( 49)   0.00 ( 57)   0.15 (106) |
Hideki Takano - Tadashi Imakura                        |  240   0.70 |  0.43   0.27 |  0.76 (112)  -0.16 (126) |  0.92 ( 53)   0.62 ( 59) |  0.00 ( 59)   0.00 ( 67)  -0.16 (126) |
Andrés Knap - Arturo Wasik                             |  240   0.68 |  0.42   0.26 |  0.61 (109)  -0.04 (131) |  0.06 ( 50)   1.07 ( 59) |  0.00 ( 67)   0.00 ( 64)  -0.04 (131) |
Gábor Macskásy - György Szalay                         |  240   0.67 |  0.46   0.20 | -0.14 (112)   0.50 (128) |  0.39 ( 54)  -0.62 ( 58) |  0.00 ( 61)   0.00 ( 67)   0.50 (128) |
Jean-Jacques Palau - Jérôme Rombaut                    |  240   0.64 | -0.08   0.72 |  0.97 ( 96)   0.55 (144) |  1.12 ( 43)   0.86 ( 53) |  0.00 ( 70)   0.00 ( 74)   0.55 (144) |
Ricco van Prooijen - Sjoert Brink                      |  180   0.62 |  0.35   0.27 |  0.41 ( 76)   0.18 (104) |  0.62 ( 40)   0.17 ( 36) |  0.00 ( 48)   0.00 ( 56)   0.18 (104) |
Haojun Shi - Zejun Zhuang                              |  220   0.62 |  0.34   0.27 |  0.06 (107)   0.48 (113) | -0.06 ( 49)   0.17 ( 58) |  0.00 ( 49)   0.00 ( 64)   0.48 (113) |
Entscho Wladow - Michael Elinescu                      |  240   0.61 |  0.46   0.15 |  0.14 (121)   0.16 (118) |  0.04 ( 75)   0.30 ( 46) |  0.00 ( 72)   0.00 ( 46)   0.16 (118) |
Nafiz Zorlu - Salvador Assael                          |  300   0.61 |  0.39   0.22 |  0.18 (162)   0.26 (137) |  0.33 ( 80)   0.03 ( 82) |  0.00 ( 68)   0.00 ( 69)   0.26 (137) |
