Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GRECO Eric - HAMPSON Geoff;340;0,67;0,45;0,22;-0,00;179;  0,47;160;0,02;88;-0,02;91;0,12;80;0,09;80;0,36;160;
SADEK Tarek - EL AHMADY Waleed;400;0,57;0,06;0,51;0,74;185;  0,31;211;0,58;85;0,88;100;0,06;106;0,21;105;0,17;211;
REID Martin - NEWELL Peter;320;0,51;0,12;0,38;0,55;159;  0,22;160;1,14;68;0,11;91;0,20;79;0,12;81;0,06;160;
BERTHEAU Peter - NYSTROM Fredrik;280;0,49;0,23;0,25;0,38;150;  0,11;129;0,51;90;0,18;60;-0,07;64;0,53;65;-0,12;129;
HANS Sartaj - NUNN Tony;320;0,47;0,25;0,22;0,33;167;  0,10;151;0,73;97;-0,23;70;-0,19;97;0,25;54;0,13;151;
VERSACE Alfredo - LAURIA Lorenzo;280;0,47;0,19;0,28;0,45;141;  0,10;138;0,39;69;0,51;72;-0,14;66;-0,07;72;0,20;138;
FORNASARI Walter - PALAZZO Luis;300;0,47;-0,08;0,55;0,53;159;  0,57;140;0,62;72;0,46;87;0,15;71;0,54;69;0,22;140;
SATYANARAYANA Bachiraju - NADAR Kiran;260;0,47;0,51;-0,04;0,18;125;  -0,24;135;0,24;76;0,09;49;-0,04;68;-0,44;67;-0,01;135;
DUBOIN Giorgio - BOCCHI Norberto;300;0,45;-0,14;0,59;0,44;150;  0,76;147;0,60;69;0,30;81;0,16;66;0,43;81;0,45;147;
SHIMIZU Yasuhiro - NAKAMURA Yoshiyuki;280;0,42;0,22;0,20;-0,08;133;  0,45;144;-0,51;56;0,24;77;0,21;61;0,06;83;0,33;144;
YANG Lixin - DAI Jianming;260;0,40;0,53;-0,13;-0,27;125;  -0,00;134;0,26;66;-0,86;59;0,23;71;-0,39;63;0,06;134;
COPE Tim - HOLMAN Glen;280;0,36;0,35;0,01;-0,02;154;  0,05;126;0,22;65;-0,19;89;-0,22;75;0,37;51;0,03;126;
PRICE David - SIMPSON Colin;240;0,32;0,35;-0,04;0,18;115;  -0,24;122;0,22;56;0,13;59;-0,11;52;0,10;70;-0,25;122;
CHAGAS Gabriel - VILLAS-BOAS Miguel;360;0,30;0,10;0,20;0,09;181;  0,31;179;0,25;96;-0,08;85;0,07;90;0,14;89;0,20;179;
KHOKHLOV Alexander - KHVEN Max;280;0,28;-0,09;0,37;0,25;145;  0,52;133;0,43;74;0,06;71;0,25;65;0,02;68;0,39;133;
RODWELL Eric - MECKSTROTH Jeff;360;0,28;0,28;-0,01;0,20;191;  -0,25;167;0,08;95;0,32;96;0,24;84;-0,40;83;-0,17;167;
CASTANHEIRA Jorge Carlos - PESSOA Sofia;280;0,26;0,31;-0,05;-0,36;132;  0,24;144;-0,17;64;-0,53;68;0,03;79;0,11;65;0,17;144;
BAKKEREN Ton - BERTENS Huub;300;0,23;-0,00;0,23;0,33;145;  0,14;154;-0,33;56;0,75;89;0,25;65;0,13;89;-0,04;154;
SUNDELIN Per Olof - SYLVAN Johan;260;0,20;0,05;0,15;0,13;123;  0,16;136;0,35;69;-0,14;54;-0,06;76;-0,16;60;0,26;136;
FANTONI Fulvio - NUNES Claudio;260;0,19;0,17;0,01;-0,27;129;  0,30;128;-0,32;59;-0,23;70;-0,03;60;-0,11;68;0,37;128;
VENKATARAMAN Kadayam Raman - CHOKSHI Sunit;280;0,19;-0,18;0,36;0,65;134;  0,10;144;0,54;56;0,73;78;0,41;76;-0,24;68;-0,01;144;
CASTELLO BRANCO Marcelo - CASTELLO BRANCO Pedro Paulo;220;0,18;0,26;-0,08;0,52;98;  -0,56;121;0,01;39;0,86;59;0,04;58;-0,09;63;-0,53;121;
JACOB Tom - MAYER Malcolm;340;0,18;0,14;0,04;0,19;179;  -0,13;159;-0,17;82;0,49;97;-0,26;77;-0,02;82;0,01;159;
TEWARI Rajeshwar - GUPTA Subhash;300;0,16;0,19;-0,03;0,05;155;  -0,11;145;-0,00;90;0,11;65;-0,02;71;0,26;74;-0,24;145;
FREEMAN Richard (Dick) - NICKELL Nick;200;0,14;-0,07;0,22;0,42;96;  0,04;103;0,55;42;0,32;54;-0,18;47;0,27;56;-0,02;103;
CHEN Dawei - FURUTA Kazuo;280;0,13;0,12;0,01;0,19;128;  -0,15;151;0,41;59;0,01;69;-0,10;71;-0,11;80;-0,05;151;
JASSEM Krzysztof - MARTENS Krzysztof;300;0,13;-0,20;0,33;0,36;156;  0,29;144;0,71;70;0,07;86;0,04;76;0,00;68;0,27;144;
CHU Wayne - GOWER Craig;300;0,12;0,53;-0,41;-0,45;138;  -0,39;158;-0,64;74;-0,23;64;-0,04;80;-0,09;78;-0,32;158;
FREDIN Peter - LINDKVIST Magnus;300;0,10;0,03;0,07;0,35;154;  -0,23;145;0,26;83;0,45;71;-0,17;75;-0,09;70;-0,10;145;
SOLOWAY Paul - HAMMAN Bob;280;0,09;0,17;-0,07;-0,34;145;  0,22;132;-0,73;73;0,04;72;0,07;70;-0,02;62;0,19;132;
GERIN Dominique - MATHIEU Philippe;280;0,09;0,32;-0,23;-0,15;147;  -0,34;131;-0,19;85;-0,08;62;-0,29;61;0,10;70;-0,26;131;
VERHEES Jr Louk - JANSMA Jan;240;0,08;-0,04;0,12;0,39;118;  -0,14;121;0,44;60;0,34;58;0,30;71;0,02;50;-0,33;121;
HACKETT Jason - HACKETT Justin;340;0,08;0,16;-0,09;0,09;175;  -0,27;164;0,07;89;0,11;86;-0,06;75;-0,18;89;-0,15;164;
SANTOS Rui Silva - PEREIRA Paulo Goncalves;280;0,06;0,18;-0,12;-0,02;140;  -0,23;140;0,02;71;-0,06;69;-0,21;77;-0,23;63;-0,01;140;
