                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
GRECO Eric - HAMPSON Geoff                             |  340   0.59 |  0.40   0.18 | -0.04 (179)   0.43 (160) | -0.05 ( 88)  -0.03 ( 91) |  0.07 ( 80)   0.11 ( 80)   0.34 (160) |
SADEK Tarek - EL AHMADY Waleed                         |  400   0.52 |  0.07   0.45 |  0.68 (185)   0.25 (211) |  0.51 ( 85)   0.83 (100) |  0.04 (106)   0.15 (105)   0.16 (211) |
REID Martin - NEWELL Peter                             |  320   0.49 |  0.14   0.34 |  0.49 (159)   0.20 (160) |  1.01 ( 68)   0.10 ( 91) |  0.20 ( 79)   0.15 ( 81)   0.02 (160) |
VERSACE Alfredo - LAURIA Lorenzo                       |  280   0.49 |  0.22   0.26 |  0.42 (141)   0.10 (138) |  0.34 ( 69)   0.50 ( 72) | -0.13 ( 66)  -0.07 ( 72)   0.20 (138) |
BERTHEAU Peter - NYSTROM Fredrik                       |  280   0.45 |  0.21   0.24 |  0.34 (150)   0.12 (129) |  0.43 ( 90)   0.20 ( 60) | -0.05 ( 64)   0.49 ( 65)  -0.10 (129) |
DUBOIN Giorgio - BOCCHI Norberto                       |  300   0.41 | -0.11   0.52 |  0.38 (150)   0.67 (147) |  0.59 ( 69)   0.20 ( 81) |  0.15 ( 66)   0.38 ( 81)   0.40 (147) |
SATYANARAYANA Bachiraju - NADAR Kiran                  |  260   0.41 |  0.46  -0.04 |  0.14 (125)  -0.21 (135) |  0.18 ( 76)   0.07 ( 49) | -0.05 ( 68)  -0.36 ( 67)  -0.00 (135) |
HANS Sartaj - NUNN Tony                                |  320   0.40 |  0.19   0.21 |  0.30 (167)   0.10 (151) |  0.65 ( 97)  -0.18 ( 70) | -0.18 ( 97)   0.24 ( 54)   0.13 (151) |
YANG Lixin - DAI Jianming                              |  260   0.38 |  0.46  -0.08 | -0.21 (125)   0.05 (134) |  0.27 ( 66)  -0.76 ( 59) |  0.27 ( 71)  -0.35 ( 63)   0.07 (134) |
