Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
NUNES Claudio - FANTONI Fulvio;420;0,99;0,34;0,65;0,45;211;  0,86;206;0,34;105;0,56;106;0,39;101;0,20;105;0,57;206;
BOCCHI Norberto - DUBOIN Giorgio;440;0,92;0,31;0,60;0,33;201;  0,84;237;0,28;150;0,47;51;0,05;84;0,27;153;0,65;237;
HELGEMO Geir - HELNESS Tor;520;0,80;0,52;0,27;0,24;264;  0,32;251;0,34;122;0,15;142;0,24;137;-0,25;114;0,30;251;
CHMURSKI Bartosz - GAWRYS Piotr;560;0,71;0,41;0,29;0,17;283;  0,43;276;0,23;124;0,11;159;0,01;149;0,33;127;0,27;276;
VERSACE Alfredo - LAURIA Lorenzo;420;0,68;0,13;0,54;0,28;202;  0,80;215;0,33;94;0,24;108;0,26;107;0,27;108;0,54;215;
MESBUR Adam - FITZGIBBON Nicholas;380;0,65;0,57;0,09;0,10;195;  0,08;184;-0,15;104;0,37;91;0,03;101;-0,16;83;0,14;184;
MORATH Anders - EFRAIMSSON Bengt-Erik;520;0,57;0,25;0,32;0,58;260;  0,06;258;0,65;125;0,52;135;0,08;114;0,16;144;-0,06;258;
WLADOW Entscho - ELINESCU Michael;460;0,50;0,20;0,29;0,15;229;  0,43;231;0,17;123;0,13;106;0,42;112;-0,25;119;0,36;231;
TOWNSEND Tom - GOLD David;440;0,47;0,21;0,26;0,16;217;  0,35;221;0,21;107;0,12;110;-0,09;108;0,16;113;0,32;221;
JONSSON Thorlakur - BALDURSSON Jon;460;0,46;0,54;-0,08;-0,24;241;  0,09;219;-0,33;125;-0,14;116;0,11;100;-0,03;119;0,06;219;
CARROLL John - GARVEY Tommy;400;0,46;0,41;0,05;0,01;197;  0,08;201;0,13;82;-0,07;115;-0,14;92;0,07;109;0,11;201;
MULLER Bauke - DE WIJS Simon;440;0,45;0,16;0,29;-0,09;223;  0,68;213;-0,06;114;-0,12;109;0,03;114;0,41;99;0,48;213;
CHEMLA Paul - CRONIER Philippe;480;0,44;0,08;0,36;0,23;244;  0,50;234;0,30;114;0,17;130;0,14;121;0,51;113;0,17;234;
McGANN Hugh - HANLON Tom;580;0,44;0,25;0,19;0,25;276;  0,14;302;-0,02;139;0,53;137;0,05;132;0,18;170;0,02;302;
STEFANOV Julian - ARONOV Victor;460;0,44;0,29;0,15;0,24;253;  0,04;207;0,26;126;0,22;127;-0,09;111;0,25;96;-0,03;207;
RADISIC Goran - ZIPOVSKI Dimitraki;280;0,43;0,13;0,30;0,05;147;  0,61;129;-0,35;60;0,32;87;0,03;62;0,65;67;0,25;129;
BERTENS Huub - BAKKEREN Ton;440;0,40;0,06;0,34;0,21;206;  0,46;231;0,51;103;-0,10;103;0,18;129;0,10;102;0,31;231;
MAGNUSSON Magnus Eidur - THORVALDSSON Matthias Gisli;380;0,39;0,52;-0,12;-0,45;212;  0,30;165;-0,83;101;-0,10;111;-0,10;85;0,24;80;0,23;165;
BORDALLO CORTINA Cristina - KNAP Andres;460;0,36;0,24;0,12;0,16;207;  0,09;245;0,31;113;-0,01;94;-0,07;133;0,25;112;0,01;245;
EINARSSON Bjarni Holmar - HARALDSSON Sigurbjorn;440;0,35;0,14;0,21;0,05;218;  0,36;222;0,45;102;-0,31;116;0,07;108;0,34;114;0,16;222;
WINKLER Gabor - DUMBOVICH Miklos;480;0,32;0,18;0,14;0,30;236;  -0,00;241;0,55;136;-0,04;100;-0,19;118;-0,04;123;0,11;241;
ARLOVICH Andrei - ZHURAVEL Valentin;460;0,28;0,21;0,07;-0,06;219;  0,18;238;-0,06;142;-0,04;77;0,17;142;-0,19;96;0,16;238;
RAMONDT Vincent - WESTRA Berry;480;0,27;0,11;0,16;0,18;258;  0,13;222;0,14;117;0,21;141;-0,01;113;0,40;109;-0,06;222;
BJARNARSON Gregers - ASKGAARD Michael;460;0,27;0,21;0,07;0,14;238;  -0,01;222;0,09;124;0,18;114;-0,07;122;-0,12;100;0,08;222;
McGEORGE James - STEEL Les;460;0,27;0,26;0,01;-0,15;219;  0,16;239;-0,61;119;0,40;100;0,01;129;-0,06;110;0,18;239;
ZORIC Vedran - BOREVKOVIC Goran;540;0,26;0,20;0,06;0,07;290;  0,04;248;-0,09;131;0,21;159;0,05;130;0,14;118;-0,05;248;
MARSAL Reiner - FRITSCHE Joerg;380;0,26;0,25;0,01;0,01;196;  0,01;179;0,20;88;-0,16;108;0,09;85;0,20;94;-0,13;179;
