                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
NUNES Claudio - FANTONI Fulvio                         |  420   0.88 |  0.27   0.61 |  0.41 (211)   0.82 (206) |  0.33 (105)   0.49 (106) |  0.35 (101)   0.20 (105)   0.55 (206) |
BOCCHI Norberto - DUBOIN Giorgio                       |  440   0.83 |  0.30   0.54 |  0.31 (201)   0.73 (237) |  0.27 (150)   0.43 ( 51) |  0.01 ( 84)   0.26 (153)   0.56 (237) |
HELGEMO Geir - HELNESS Tor                             |  520   0.69 |  0.44   0.26 |  0.24 (264)   0.28 (251) |  0.35 (122)   0.15 (142) |  0.22 (137)  -0.22 (114)   0.26 (251) |
CHMURSKI Bartosz - GAWRYS Piotr                        |  560   0.65 |  0.36   0.29 |  0.18 (283)   0.41 (276) |  0.21 (124)   0.15 (159) |  0.02 (149)   0.30 (127)   0.27 (276) |
MESBUR Adam - FITZGIBBON Nicholas                      |  380   0.57 |  0.51   0.06 |  0.06 (195)   0.07 (184) | -0.14 (104)   0.29 ( 91) |  0.04 (101)  -0.12 ( 83)   0.10 (184) |
VERSACE Alfredo - LAURIA Lorenzo                       |  420   0.55 |  0.08   0.47 |  0.26 (202)   0.67 (215) |  0.27 ( 94)   0.25 (108) |  0.22 (107)   0.22 (108)   0.45 (215) |
MORATH Anders - EFRAIMSSON Bengt-Erik                  |  520   0.52 |  0.23   0.29 |  0.54 (260)   0.05 (258) |  0.55 (125)   0.52 (135) |  0.07 (114)   0.13 (144)  -0.06 (258) |
WLADOW Entscho - ELINESCU Michael                      |  460   0.47 |  0.21   0.26 |  0.13 (229)   0.38 (231) |  0.17 (123)   0.08 (106) |  0.36 (112)  -0.22 (119)   0.32 (231) |
McGANN Hugh - HANLON Tom                               |  580   0.43 |  0.26   0.17 |  0.24 (276)   0.11 (302) |  0.00 (139)   0.48 (137) |  0.04 (132)   0.16 (170)   0.00 (302) |
STEFANOV Julian - ARONOV Victor                        |  460   0.42 |  0.26   0.16 |  0.24 (253)   0.06 (207) |  0.27 (126)   0.21 (127) | -0.10 (111)   0.21 ( 96)   0.02 (207) |
TOWNSEND Tom - GOLD David                              |  440   0.42 |  0.18   0.23 |  0.15 (217)   0.32 (221) |  0.17 (107)   0.13 (110) | -0.08 (108)   0.15 (113)   0.29 (221) |
JONSSON Thorlakur - BALDURSSON Jon                     |  460   0.39 |  0.46  -0.06 | -0.20 (241)   0.08 (219) | -0.28 (125)  -0.11 (116) |  0.08 (100)  -0.02 (119)   0.06 (219) |
BERTENS Huub - BAKKEREN Ton                            |  440   0.39 |  0.09   0.30 |  0.17 (206)   0.43 (231) |  0.42 (103)  -0.09 (103) |  0.15 (129)   0.11 (102)   0.29 (231) |
MULLER Bauke - DE WIJS Simon                           |  440   0.38 |  0.11   0.28 | -0.06 (223)   0.64 (213) | -0.08 (114)  -0.04 (109) |  0.03 (114)   0.35 ( 99)   0.46 (213) |
CHEMLA Paul - CRONIER Philippe                         |  480   0.37 |  0.05   0.32 |  0.20 (244)   0.44 (234) |  0.25 (114)   0.16 (130) |  0.14 (121)   0.44 (113)   0.16 (234) |
