Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
LEVIN Jill - MEYERS Jill;288;1,25;0,60;0,65;0,87;150;  0,42;136;1,10;68;0,68;82;-0,14;66;-0,11;70;0,54;136;
VON ARNIM Daniela - AUKEN Sabine;288;0,91;0,66;0,25;-0,14;149;  0,67;138;-0,01;74;-0,26;75;0,11;67;0,03;71;0,60;138;
WANG Wen Fei - LIU Yi Qian;192;0,82;0,27;0,56;0,74;102;  0,36;87;0,56;50;0,91;52;0,20;43;0,13;44;0,20;87;
KHALIL Lily - KHOURI Maud;304;0,73;0,49;0,25;0,23;155;  0,26;149;-0,06;63;0,44;92;0,06;69;-0,10;80;0,28;149;
WILLARD Sylvie - CRONIER Benedicte;256;0,72;0,42;0,30;0,49;140;  0,08;116;0,28;63;0,66;77;-0,02;58;-0,11;58;0,14;116;
CIMON Francine - FAJGELZON Julie;240;0,57;0,43;0,14;0,19;119;  0,10;120;0,24;55;0,14;64;0,15;52;0,05;68;0,00;120;
SUN Ming - WANG Hongli;208;0,51;0,04;0,48;0,59;109;  0,35;99;0,63;53;0,56;56;-0,04;50;-0,06;49;0,40;99;
BEKKOUCHE Nadia - BINDERKRANTZ Trine;224;0,51;0,24;0,27;0,27;106;  0,27;118;0,31;57;0,23;49;-0,06;56;0,03;62;0,28;118;
LEE Linda - NISBET Pamela;224;0,50;0,25;0,25;0,54;112;  -0,03;112;0,19;62;0,96;50;-0,18;52;0,27;60;-0,09;112;
VRIEND Bep - ARNOLDS Carla;240;0,47;0,54;-0,07;0,13;133;  -0,31;107;-0,18;75;0,54;58;0,18;58;0,11;49;-0,46;107;
STANSBY JoAnna - ROSENBERG Debbie;272;0,43;0,05;0,39;0,40;137;  0,37;135;0,30;78;0,53;59;-0,02;64;0,37;71;0,18;135;
EYTHORSDOTTIR Hjordis - POLLACK Rozanne;224;0,43;0,23;0,20;0,32;105;  0,10;119;0,45;53;0,19;52;0,16;64;-0,18;55;0,10;119;
TESHOME Sarah - JAGGER Catherine;192;0,43;0,15;0,28;0,40;97;  0,16;93;0,21;45;0,57;52;0,15;49;0,16;44;0,01;93;
TAN Mizuko - BANNO Kazuko;224;0,40;0,02;0,38;0,28;119;  0,49;105;-0,80;61;1,42;58;0,15;54;0,05;51;0,38;105;
HACKETT Barbara - NEHMERT Pony Beate;176;0,37;0,38;-0,02;-0,03;90;  0,00;86;-0,89;44;0,79;46;0,43;39;0,00;47;-0,19;86;
GIBBONS Christine - GIBBONS Jenna;144;0,35;-0,09;0,45;0,28;73;  0,62;70;-0,28;35;0,80;38;-0,04;41;0,08;29;0,61;70;
PICUS Sue - QUINN Shawn;224;0,26;-0,02;0,29;0,71;127;  -0,27;97;0,64;66;0,79;61;-0,39;40;0,02;57;-0,12;97;
SANBORN Kerri - BJERKAN Cheri;224;0,26;0,10;0,16;0,29;124;  0,00;100;0,75;68;-0,27;56;0,10;51;-0,21;49;0,05;100;
BRUNNER Michelle - GOLDENFIELD Rhona;208;0,20;-0,20;0,40;0,66;97;  0,18;108;1,24;50;0,04;47;-0,00;50;-0,10;58;0,24;108;
SCHRAVERUS-MEUER Mirja - ALBERTI Anja;208;0,19;0,03;0,16;0,08;116;  0,27;91;0,20;41;0,01;75;-0,10;52;0,25;39;0,22;91;
LIN Phoebe - MAYER Faith;176;0,18;0,01;0,17;0,22;91;  0,13;84;0,70;48;-0,32;43;0,17;41;0,45;43;-0,19;84;
SIMONS Anneke - PASMAN Jet;224;0,18;0,13;0,04;-0,35;112;  0,44;111;-0,33;56;-0,36;56;0,25;56;0,04;55;0,29;111;
GARATEGUY Maria Del Rosario - IACAPRARO Maria Elena;224;0,15;0,10;0,05;0,26;127;  -0,24;95;0,04;58;0,45;69;-0,10;43;0,22;52;-0,32;95;
FISHPOOL Catherine - PIGEAUD Fabienne;176;0,15;-0,05;0,20;0,44;86;  -0,04;88;0,30;46;0,59;40;-0,19;48;0,04;40;0,05;88;
CHOKSI Rita - MAYADAS Leena;224;0,15;-0,10;0,25;0,01;102;  0,46;120;-0,07;59;0,12;43;0,15;71;0,17;49;0,30;120;
LEVITINA Irina - NARASIMHAN Hansa;112;0,13;0,24;-0,11;-0,21;55;  -0,00;57;-0,14;32;-0,31;23;0,09;28;-0,55;29;0,23;57;
SMITH Nicola - DHONDY Heather;272;0,10;0,17;-0,07;0,14;143;  -0,32;127;-0,25;70;0,52;73;-0,09;65;0,12;62;-0,32;127;
EL DIN Nesserine - OMAR Noheir;160;0,09;0,20;-0,12;-0,00;70;  -0,21;89;0,34;34;-0,33;36;0,24;40;0,13;49;-0,39;89;
WILKINSON Jenny - NEWTON Shirley;256;0,07;0,12;-0,05;0,30;123;  -0,38;132;0,60;66;-0,04;57;-0,19;66;-0,02;66;-0,28;132;
D'OVIDIO Catherine - GAVIARD Daniele;240;0,05;0,00;0,05;0,03;117;  0,07;122;0,54;51;-0,36;66;-0,05;60;-0,17;62;0,18;122;
VARGAS DE ANDRADE Isabella - PACHECO Juliana;240;0,05;-0,12;0,17;-0,08;128;  0,46;112;0,14;68;-0,34;60;0,08;62;0,01;50;0,41;112;
