                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
ZHUKOV Alexander - TSIMAKHOVICH Aleh                   |  100   0.90 |  0.67   0.23 |  0.40 ( 55)   0.02 ( 45) |  0.09 ( 20)   0.58 ( 35) |  0.50 ( 25)   0.59 ( 20)  -0.52 ( 45) |
KHOLOMEEV Vadim - KHYUPPENEN Yury                      |  200   0.89 |  0.60   0.30 |  0.35 ( 98)   0.24 (102) | -0.17 ( 57)   1.07 ( 41) |  0.10 ( 48)  -0.10 ( 54)   0.25 (102) |
WRANG Frederic - NILSSON Ulf                           |  240   0.89 |  0.47   0.42 |  0.47 (113)   0.38 (126) |  0.73 ( 51)   0.27 ( 62) |  0.28 ( 71)   0.06 ( 55)   0.19 (126) |
PIEKAREK Josef - SMIRNOV Alexander                     |  260   0.73 |  0.41   0.32 |  0.22 (128)   0.42 (130) |  0.11 ( 71)   0.35 ( 57) | -0.00 ( 60)   0.44 ( 70)   0.18 (130) |
HRISTOV Hristo - STOYANOV Alexandar                    |  240   0.64 |  0.66  -0.02 |  0.10 (124)  -0.14 (115) |  0.35 ( 62)  -0.16 ( 62) | -0.07 ( 52)   0.12 ( 63)  -0.17 (115) |
DUBININ Alexander - GROMOV Andrey                      |  240   0.62 |  0.28   0.34 |  0.43 (111)   0.26 (127) |  0.57 ( 47)   0.33 ( 64) | -0.14 ( 59)   0.27 ( 68)   0.19 (127) |
AA Terje - MOLBERG Jorgen                              |  240   0.61 |  0.50   0.12 |  0.06 (125)   0.18 (114) |  0.08 ( 63)   0.03 ( 62) |  0.10 ( 52)   0.24 ( 62)   0.01 (114) |
BERTHEAU Peter - NYSTROM Fredrik                       |  240   0.60 |  0.22   0.38 |  0.31 (122)   0.46 (117) |  0.24 ( 62)   0.37 ( 60) | -0.00 ( 60)  -0.13 ( 57)   0.52 (117) |
DANAILOV Diyan - KARAKOLEV Georgi                      |  260   0.60 |  0.34   0.26 |  0.17 (147)   0.38 (112) | -0.01 ( 77)   0.36 ( 70) | -0.20 ( 60)   0.16 ( 52)   0.41 (112) |
UPMARK Johan - CULLIN Per-Ola                          |  240   0.53 |  0.38   0.15 |  0.34 (111)  -0.01 (129) |  0.27 ( 46)   0.38 ( 65) | -0.15 ( 71)  -0.21 ( 58)   0.17 (129) |
GROMOELLER Michael - KIRMSE Andreas                    |  280   0.44 |  0.44   0.01 |  0.00 (128)   0.01 (152) | -0.30 ( 63)   0.29 ( 65) | -0.14 ( 78)  -0.07 ( 74)   0.12 (152) |
HELGEMO Geir - LUND Boerre                             |  240   0.44 |  0.10   0.34 |  0.28 (121)   0.41 (119) |  0.52 ( 59)   0.04 ( 62) |  0.31 ( 66)  -0.24 ( 53)   0.35 (119) |
BOMPIS Marc - QUANTIN Jean-Christophe                  |  280   0.36 |  0.25   0.11 |  0.12 (134)   0.10 (144) |  0.22 ( 63)   0.03 ( 71) | -0.10 ( 76)   0.02 ( 68)   0.14 (144) |
