                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
ALMIRALL Marta - ALMIRALL Nuria                        |  360   0.80 |  0.36   0.44 |  0.43 (182)   0.46 (177) |  0.47 ( 90)   0.39 ( 92) | -0.01 ( 90)   0.03 ( 87)   0.45 (177) |
VON ARNIM Daniela - AUKEN Sabine                       |  460   0.70 |  0.63   0.07 | -0.02 (232)   0.16 (227) |  0.36 (117)  -0.42 (115) | -0.21 (119)   0.04 (108)   0.25 (227) |
ZOCHOWSKA Joanna - BESSIS Veronique                    |  280   0.65 |  0.19   0.46 |  0.42 (146)   0.51 (134) |  0.68 ( 70)   0.19 ( 76) |  0.09 ( 73)   0.25 ( 61)   0.35 (134) |
KIRSTAN Marlene - KLEMMENSEN Christina                 |  280   0.63 |  0.32   0.31 |  0.33 (143)   0.29 (136) | -0.02 ( 72)   0.67 ( 71) | -0.02 ( 70)   0.23 ( 66)   0.19 (136) |
RIMSTEDT Sandra - SJOBERG Emma                         |  340   0.59 |  0.51   0.08 |  0.12 (174)   0.04 (165) |  0.05 ( 92)   0.21 ( 82) | -0.13 ( 84)  -0.02 ( 81)   0.11 (165) |
ARNOLDS Carla - VRIEND Bep                             |  320   0.54 |  0.55  -0.01 | -0.01 (173)  -0.01 (146) | -0.21 ( 82)   0.17 ( 91) | -0.08 ( 77)   0.09 ( 69)  -0.01 (146) |
D'OVIDIO Catherine - GAVIARD Daniele                   |  360   0.54 |  0.24   0.30 |  0.51 (181)   0.09 (179) |  0.48 ( 97)   0.54 ( 84) |  0.13 ( 93)   0.21 ( 86)  -0.08 (179) |
PAOLUZI Simonetta - SACCAVINI Ilaria                   |  320   0.52 |  0.21   0.31 |  0.60 (179)  -0.05 (138) |  0.63 ( 92)   0.56 ( 87) |  0.46 ( 60)   0.10 ( 78)  -0.31 (138) |
PONOMAREVA Tatiana - GROMOVA Victoria                  |  340   0.50 |  0.21   0.30 |  0.20 (158)   0.38 (181) | -0.13 ( 79)   0.54 ( 79) |  0.33 ( 89)   0.10 ( 92)   0.17 (181) |
TUOMI Raija - BACKSTROM Sue                            |  480   0.49 |  0.32   0.17 |  0.04 (233)   0.29 (246) |  0.08 (125)   0.00 (108) | -0.08 (110)  -0.12 (136)   0.39 (246) |
ROSEN Anne - DRAPER Catherine                          |  320   0.49 |  0.16   0.33 |  0.38 (167)   0.27 (151) |  0.45 ( 83)   0.32 ( 84) | -0.16 ( 81)   0.16 ( 70)   0.28 (151) |
FUGLESTAD Ann Karin - HARDING Marianne                 |  320   0.47 |  0.41   0.07 |  0.17 (180)  -0.07 (139) | -0.01 ( 94)   0.37 ( 86) |  0.01 ( 66)   0.28 ( 73)  -0.22 (139) |
BRKLJACIC Tihana - MARTINOVIC Slavica                  |  280   0.47 |  0.38   0.08 |  0.36 (144)  -0.21 (135) |  0.47 ( 74)   0.25 ( 70) |  0.07 ( 65)  -0.04 ( 70)  -0.22 (135) |
SARNIAK Anna - BREWIAK Grazyna                         |  440   0.44 |  0.20   0.24 |  0.21 (211)   0.27 (227) |  0.12 (106)   0.30 (105) |  0.24 ( 96)   0.17 (131)   0.07 (227) |
RIMSTEDT Cecilia - ANDERSSON Pia                       |  340   0.42 |  0.25   0.17 |  0.13 (192)   0.23 (148) |  0.05 (107)   0.22 ( 85) |  0.26 ( 81)   0.03 ( 67)   0.07 (148) |
ARRIGONI Gianna - OLIVIERI Gabriella                   |  319   0.40 |  0.11   0.30 | -0.06 (148)   0.61 (169) |  0.10 ( 89)  -0.30 ( 59) | -0.02 ( 74)   0.22 ( 95)   0.49 (169) |
FERLAZZO Caterina - MANARA Gabriella                   |  320   0.39 | -0.08   0.48 |  0.62 (160)   0.33 (159) |  0.53 ( 93)   0.76 ( 67) |  0.05 ( 82)   0.32 ( 77)   0.15 (159) |
CSIPKA Szilvia - MEZEI Katalin                         |  320   0.38 |  0.45  -0.06 | -0.20 (184)   0.12 (136) | -0.94 ( 88)   0.48 ( 96) |  0.47 ( 54)  -0.22 ( 82)   0.06 (136) |
ATALAY Belis - ZAIM Mey                                |  380   0.37 |  0.20   0.16 |  0.24 (189)   0.09 (190) |  0.51 (106)  -0.11 ( 83) |  0.20 ( 94)  -0.22 ( 96)   0.10 (190) |
GROMANN Ingrid - NEHMERT Pony Beate                    |  260   0.35 |  0.14   0.21 |  0.21 (129)   0.21 (131) |  0.35 ( 58)   0.08 ( 71) |  0.18 ( 60)   0.07 ( 71)   0.08 (131) |
BEKKOUCHE Nadia - BINDERKRANTZ Trine                   |  360   0.35 |  0.45  -0.10 |  0.08 (193)  -0.32 (161) |  0.30 (110)  -0.21 ( 83) | -0.04 ( 78)  -0.08 ( 83)  -0.26 (161) |
WILLARD Sylvie - CRONIER Benedicte                     |  320   0.34 |  0.37  -0.03 | -0.26 (160)   0.20 (160) | -0.46 ( 95)   0.04 ( 65) |  0.17 ( 85)   0.03 ( 75)   0.09 (160) |
PASMAN Jet - SIMONS Anneke                             |  379   0.27 | -0.02   0.28 |  0.31 (187)   0.26 (192) | -0.07 ( 98)   0.72 ( 89) | -0.06 ( 90)   0.03 (102)   0.28 (192) |
PILIPOVIC Marina - SVER Nikica                         |  460   0.24 |  0.05   0.19 |  0.25 (234)   0.14 (226) |  0.21 (129)   0.30 (105) | -0.20 (100)  -0.04 (126)   0.25 (226) |
HODEROVA Pavla - JANKOVA Jana                          |  320   0.22 |  0.06   0.16 |  0.06 (152)   0.25 (168) | -0.05 ( 85)   0.19 ( 67) |  0.17 ( 80)  -0.21 ( 88)   0.27 (168) |
SVENDSEN Tone Torkelsen - BROGELAND Tonje Aasand       |  240   0.20 |  0.17   0.03 |  0.23 (131)  -0.20 (108) |  0.24 ( 73)   0.21 ( 58) |  0.13 ( 49)  -0.15 ( 59)  -0.18 (108) |
SENIOR Nevena - DHONDY Heather                         |  360   0.19 |  0.19   0.00 |  0.20 (183)  -0.21 (177) |  0.21 ( 96)   0.19 ( 87) | -0.05 ( 92)   0.02 ( 85)  -0.19 (177) |
PASTERNAK Malgorzata - HARASIMOWICZ Ewa                |  300   0.18 |  0.18   0.01 | -0.01 (172)   0.02 (127) |  0.31 ( 94)  -0.39 ( 78) |  0.01 ( 69)   0.10 ( 58)  -0.03 (127) |
RAHELT Maria Marit - FARHOLT Stense                    |  300   0.17 | -0.05   0.22 |  0.26 (149)   0.18 (151) |  0.57 ( 83)  -0.12 ( 66) | -0.13 ( 76)  -0.05 ( 75)   0.26 (151) |
KATER Ewa - KOZYRA Ewa                                 |  220   0.12 |  0.02   0.10 |  0.07 (112)   0.14 (108) |  0.35 ( 56)  -0.21 ( 56) |  0.14 ( 49)  -0.07 ( 59)   0.11 (108) |
PANADERO Maria - BABOT Mari Carmen                     |  320   0.11 | -0.15   0.26 |  0.72 (140)  -0.10 (180) |  0.23 ( 72)   1.24 ( 68) | -0.21 ( 86)   0.08 ( 94)  -0.04 (180) |
ADUT Vera - GUMRUKCUOGLU Lale                          |  280   0.10 |  0.18  -0.08 | -0.04 (150)  -0.12 (130) | -0.17 ( 77)   0.10 ( 73) | -0.01 ( 74)  -0.10 ( 56)  -0.08 (130) |
PETROVIC Izvorka - MULLER Renata                       |  220   0.08 | -0.10   0.18 |  0.08 (125)   0.31 ( 93) | -0.10 ( 51)   0.20 ( 74) | -0.12 ( 44)   0.07 ( 49)   0.33 ( 93) |
THORESEN Siv - VIST Gunn Tove                          |  400   0.07 |  0.08  -0.01 |  0.10 (193)  -0.12 (207) |  0.03 (125)   0.23 ( 68) |  0.05 (118)   0.02 ( 89)  -0.16 (207) |
IVARSDOTTIR Anna - OSKARSDOTTIR Gudrun                 |  380   0.04 |  0.09  -0.06 | -0.14 (193)   0.03 (185) | -0.29 ( 98)   0.02 ( 95) |  0.16 ( 91)  -0.16 ( 94)   0.03 (185) |
SHEA Sheila Ann - COMMINS Elizabeth Palmelia           |  300   0.03 | -0.03   0.06 |  0.09 (170)   0.02 (130) |  0.08 (104)   0.09 ( 66) |  0.17 ( 66)  -0.14 ( 64)   0.01 (130) |
BORDALLO CORTINA Cristina - MATUT Maria Luisa (Marisa) |  280   0.03 |  0.22  -0.19 |  0.13 (141)  -0.51 (139) |  0.22 ( 64)   0.06 ( 77) |  0.10 ( 66)  -0.16 ( 73)  -0.47 (139) |
TOMCIKOVA Zdena - ERDEOVA Jana                         |  320   0.01 |  0.00   0.01 |  0.08 (185)  -0.09 (133) |  0.28 ( 90)  -0.10 ( 95) | -0.79 ( 60)   0.06 ( 73)   0.23 (133) |
TOKCAN Merih - MERZE Sukriye                           |  300   0.01 |  0.07  -0.06 | -0.12 (142)  -0.01 (157) | -0.12 ( 74)  -0.12 ( 68) | -0.15 ( 75)  -0.26 ( 82)   0.19 (157) |
WORTEL Meike - MICHIELSEN Marion                       |  260  -0.04 | -0.10   0.06 | -0.00 (123)   0.11 (136) |  0.27 ( 64)  -0.30 ( 59) |  0.09 ( 55)   0.14 ( 81)  -0.01 (136) |
SCHRAVERUS-MEUER Mirja - ALBERTI Anja                  |  240  -0.04 | -0.15   0.11 |  0.26 (108)  -0.02 (132) |  0.32 ( 56)   0.20 ( 52) | -0.12 ( 64)   0.04 ( 68)   0.02 (132) |
PORAT Liri - LEVIT-PORAT Ruth                          |  320  -0.05 |  0.04  -0.09 | -0.35 (165)   0.19 (153) | -0.32 ( 92)  -0.39 ( 73) |  0.09 ( 75)  -0.04 ( 78)   0.16 (153) |
McGOWAN Elizabeth (Liz) - McQUAKER Fiona               |  380  -0.07 | -0.08   0.01 | -0.07 (176)   0.09 (203) |  0.46 ( 94)  -0.68 ( 82) |  0.10 ( 96)  -0.09 (107)   0.08 (203) |
TESHOME Sarah - JAGGER Catherine                       |  280  -0.08 | -0.21   0.12 |  0.10 (142)   0.15 (138) | -0.33 ( 79)   0.64 ( 63) |  0.17 ( 79)   0.13 ( 59)  -0.00 (138) |
ASULIN Adi - LEVI Hila                                 |  300  -0.09 | -0.18   0.09 |  0.25 (147)  -0.07 (153) |  0.21 ( 69)   0.28 ( 78) | -0.33 ( 77)   0.31 ( 76)  -0.05 (153) |
TSIRIKOU Eleni - LAMBRINOU Sophie                      |  360  -0.12 |  0.11  -0.24 | -0.22 (189)  -0.26 (171) | -0.37 ( 91)  -0.07 ( 98) |  0.09 ( 89)  -0.28 ( 82)  -0.17 (171) |
KHONICHEVA Elena - NIKITINA Alexandra                  |  300  -0.13 | -0.11  -0.02 | -0.03 (154)  -0.01 (145) | -0.21 ( 73)   0.14 ( 81) | -0.08 ( 73)   0.29 ( 72)  -0.12 (145) |
JOYCE Emer - KENNY Joan                                |  320  -0.14 | -0.10  -0.03 | -0.23 (150)   0.14 (168) | -0.26 ( 76)  -0.20 ( 74) |  0.19 ( 92)   0.19 ( 76)  -0.04 (168) |
NYARADI Gabriella - NYARADI Ibolya                     |  320  -0.14 | -0.03  -0.10 | -0.34 (143)   0.09 (177) | -0.15 ( 67)  -0.51 ( 76) |  0.22 ( 90)  -0.09 ( 87)   0.02 (177) |
VOROBEYCHIKOVA Olga - CHUBAROVA Svetlana               |  320  -0.16 |  0.08  -0.24 |  0.11 (166)  -0.63 (152) |  0.26 ( 96)  -0.10 ( 70) | -0.06 ( 85)  -0.32 ( 67)  -0.45 (152) |
ADAMSON Sheila - MARTIN Anne                           |  300  -0.18 | -0.14  -0.05 |  0.04 (145)  -0.13 (153) |  0.65 ( 78)  -0.68 ( 67) |  0.13 ( 73)  -0.03 ( 80)  -0.18 (153) |
TADEU Ana - LIMA Paula                                 |  320  -0.19 | -0.04  -0.15 |  0.17 (157)  -0.45 (163) |  0.33 ( 83)   0.00 ( 74) | -0.10 ( 73)  -0.06 ( 90)  -0.37 (163) |
BERTHEAU Kathrine - MIDSKOG Catarina                   |  280  -0.22 |  0.00  -0.23 | -0.23 (119)  -0.22 (161) | -0.25 ( 64)  -0.20 ( 55) |  0.33 ( 81)   0.09 ( 80)  -0.43 (161) |
SIGURJONSDOTTIR Hjordis - NIELSEN Ragnheidur           |  360  -0.23 | -0.22  -0.01 |  0.00 (165)  -0.03 (194) | -0.02 ( 86)   0.03 ( 79) | -0.10 ( 93)   0.12 (101)  -0.04 (194) |
AHONEN Hulda - NURMI Pia                               |  480  -0.30 | -0.39   0.09 | -0.04 (234)   0.22 (246) | -0.00 (119)  -0.08 (115) | -0.04 (124)   0.06 (122)   0.21 (246) |
ROSADO Alexandra - FERREIRA Isabel                     |  319  -0.30 | -0.45   0.15 |  0.39 (147)  -0.06 (171) |  0.13 ( 57)   0.56 ( 90) |  0.13 ( 94)  -0.16 ( 77)  -0.06 (171) |
VELAITOU Polina - MITSI Georgia                        |  360  -0.31 | -0.13  -0.19 | -0.37 (167)  -0.03 (190) | -0.58 ( 88)  -0.14 ( 79) |  0.03 ( 99)   0.05 ( 91)  -0.07 (190) |
ZALAI Agnes - HAMORI Zsuzsa                            |  320  -0.40 | -0.32  -0.08 | -0.03 (163)  -0.13 (155) |  0.30 ( 79)  -0.35 ( 84) |  0.07 ( 82)  -0.03 ( 73)  -0.15 (155) |
ARAMI Ruth - LAZAR Naomi                               |  300  -0.40 | -0.21  -0.19 | -0.20 (150)  -0.19 (149) | -0.06 ( 93)  -0.42 ( 57) | -0.14 ( 79)  -0.18 ( 70)  -0.04 (149) |
STIGLEITNER Helga - THOMASBERGER Hannelore             |  340  -0.43 | -0.14  -0.29 | -0.15 (165)  -0.42 (175) | -0.29 ( 76)  -0.04 ( 89) | -0.16 ( 76)   0.02 ( 99)  -0.36 (175) |
JAKOBSDOTTIR Esther - KRISTJONSDOTTIR Valgerdur        |  220  -0.45 | -0.44  -0.01 | -0.03 (107)   0.01 (113) | -0.28 ( 62)   0.31 ( 45) |  0.17 ( 64)  -0.40 ( 49)   0.09 (113) |
RAGI Daad - KOTEIT Eva                                 |  100  -0.49 |  0.02  -0.51 | -0.96 ( 47)  -0.11 ( 53) | -1.08 ( 19)  -0.88 ( 28) | -0.05 ( 31)   0.08 ( 22)  -0.11 ( 53) |
CARROLL Helen - KULCHYCKY Jill                         |  319  -0.50 | -0.20  -0.30 | -0.56 (149)  -0.07 (170) | -0.41 ( 71)  -0.70 ( 78) |  0.06 ( 84)   0.01 ( 86)  -0.10 (170) |
WOODRUFF Laura - CLENCH Gilly                          |  420  -0.52 | -0.24  -0.29 | -0.20 (213)  -0.37 (207) | -0.07 (101)  -0.31 (112) | -0.33 (115)   0.09 ( 92)  -0.23 (207) |
KAY Teresa - OLIVEIRA Anabella                         |  320  -0.54 | -0.37  -0.17 |  0.09 (154)  -0.42 (166) | -0.10 ( 85)   0.33 ( 69) | -0.09 ( 97)   0.09 ( 69)  -0.40 (166) |
BENSON Joyce - ALEXANDER Michele                       |  280  -0.62 | -0.12  -0.50 | -0.60 (129)  -0.43 (147) | -0.41 ( 66)  -0.80 ( 63) | -0.06 ( 84)  -0.02 ( 63)  -0.39 (147) |
CLEARY Ena - FITZGERALD Jeannie                        |  320  -0.63 | -0.12  -0.51 | -0.45 (152)  -0.57 (166) | -0.18 ( 79)  -0.74 ( 73) | -0.27 ( 80)  -0.17 ( 86)  -0.35 (166) |
LANCOVA Milena - MEDLINOVA Blanka                      |  320  -0.63 | -0.55  -0.08 |  0.03 (145)  -0.18 (174) | -0.26 ( 75)   0.33 ( 70) | -0.09 ( 91)   0.15 ( 83)  -0.20 (174) |
LINDENLAUF Diana - MULIAR Andrea                       |  320  -0.65 | -0.44  -0.21 | -0.04 (162)  -0.38 (156) | -0.03 ( 84)  -0.05 ( 78) | -0.22 ( 84)  -0.15 ( 72)  -0.19 (156) |
ABOUSLEIMAN Leila - KOTEIT Eva                         |  200  -0.72 | -0.39  -0.33 | -0.66 ( 97)  -0.02 (100) | -0.51 ( 42)  -0.78 ( 55) | -0.40 ( 60)   0.01 ( 40)   0.21 (100) |
SCHOBER Maria - WUFKA Michaela                         |  299  -0.74 | -0.45  -0.29 | -0.26 (143)  -0.32 (155) |  0.15 ( 68)  -0.63 ( 75) | -0.01 ( 84)   0.31 ( 71)  -0.45 (155) |
RAMADAN Youmna - NAMOUR Marella                        |  299  -0.88 | -0.49  -0.39 | -0.51 (155)  -0.26 (144) | -0.09 ( 67)  -0.83 ( 88) | -0.30 ( 74)  -0.01 ( 70)  -0.10 (144) |
ABOUSLEIMAN Leila - CHAMMAA Iman                       |  140  -1.00 | -0.40  -0.60 | -0.32 ( 56)  -0.79 ( 83) | -0.32 ( 29)  -0.33 ( 27) | -0.16 ( 42)  -0.10 ( 41)  -0.66 ( 83) |
VENETAKI Athina - GEORGIOU Anna                        |  240  -1.02 | -0.84  -0.18 | -0.26 (111)  -0.12 (129) | -0.91 ( 60)   0.51 ( 51) |  0.04 ( 61)  -0.03 ( 68)  -0.12 (129) |
PATRICK Daphne - GARDNER Betty                         |  240  -1.18 | -0.35  -0.83 | -0.92 (113)  -0.76 (125) | -0.99 ( 56)  -0.86 ( 57) | -0.53 ( 65)  -0.18 ( 60)  -0.40 (125) |
RAGI Daad - CHAMMAA Iman                               |  160  -1.36 | -0.99  -0.37 | -0.56 ( 77)  -0.20 ( 83) | -0.36 ( 40)  -0.77 ( 37) |  0.31 ( 52)   0.20 ( 31)  -0.47 ( 83) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
RAGI Daad - KOTEIT Eva                                 |  100  -0.49 |  0.02  -0.51 | -0.96 ( 47)  -0.11 ( 53) | -1.08 ( 19)  -0.88 ( 28) | -0.05 ( 31)   0.08 ( 22)  -0.11 ( 53) |
RAHELT Maria Marit - KLEMMENSEN Christina              |   20  -0.75 | -1.49   0.74 |  0.94 (  7)   0.63 ( 13) |  2.84 (  4)  -1.59 (  3) | -1.36 (  6)   1.50 (  7)   0.45 ( 13) |
