Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
DUBOIN Giorgio - SEMENTA Antonio;159;1,58;1,04;0,54;0,49;75;  0,59;84;0,25;34;0,68;41;0,27;42;0,34;42;0,28;84;
FANTONI Fulvio - NUNES Claudio;175;1,02;0,30;0,72;0,74;92;  0,70;83;0,90;44;0,59;48;0,30;45;0,24;38;0,43;83;
MULTON Franck - ZIMMERMANN Pierre;160;0,99;0,74;0,25;0,48;83;  0,01;77;0,33;40;0,62;43;0,42;37;0,10;40;-0,25;77;
APTEKER Alon - GOWER Craig;160;0,98;0,85;0,13;0,26;75;  0,02;85;-0,54;38;1,08;37;-0,28;37;-0,07;48;0,18;85;
CHRISTIANSEN Soren - AUKEN Jens;160;0,81;0,43;0,38;0,19;87;  0,62;73;0,43;60;-0,34;27;-0,40;34;-0,03;39;0,82;73;
CHAGAS Gabriel - VILLAS-BOAS Miguel;240;0,67;0,67;0,01;0,00;119;  0,01;120;0,08;105;-0,61;14;0,17;10;-0,31;110;0,28;120;
COLDEA Ionut - IONITA Marius;255;0,62;0,65;-0,03;0,28;135;  -0,39;120;-0,19;69;0,77;66;-0,32;62;-0,08;58;-0,18;120;
LESKELA Vesa - TOIVONEN Mikko;256;0,60;0,47;0,13;0,21;135;  0,05;121;0,24;71;0,17;64;0,03;65;0,14;56;-0,03;121;
LAURIA Lorenzo - VERSACE Alfredo;159;0,55;0,41;0,13;-0,08;78;  0,34;81;-0,06;69;-0,27;9;-0,48;10;0,01;71;0,39;81;
HANLON Tom - McGANN Hugh;173;0,54;0,16;0,39;0,28;86;  0,49;87;0,70;47;-0,23;39;0,29;51;0,71;36;0,03;87;
BRICIU Marius - GHIGHECI Ovidiu;256;0,51;0,07;0,43;0,62;127;  0,25;128;0,48;45;0,69;82;0,43;51;0,15;77;-0,00;128;
AHMED Jahangir - QURESHI Ahsan;144;0,49;0,13;0,35;0,73;72;  -0,03;72;1,03;44;0,26;28;0,20;41;-0,11;31;-0,09;72;
LEVENKO Vassili - SESTER Sven;160;0,46;0,24;0,22;-0,40;82;  0,87;78;-0,30;41;-0,50;41;0,29;52;0,55;26;0,49;78;
BOMPIS Marc - QUANTIN Jean-Christophe;224;0,45;-0,10;0,55;0,59;106;  0,51;118;0,39;62;0,88;44;0,10;64;0,30;54;0,32;118;
ITO Yoichi - NARITA Hidenori;176;0,44;0,33;0,11;0,07;82;  0,15;94;0,42;25;-0,08;57;0,20;29;-0,31;65;0,30;94;
KOISTINEN Kauko - LEIKOLA Juuso;256;0,39;0,07;0,32;0,39;120;  0,26;135;-0,01;56;0,73;64;0,09;62;0,47;73;-0,03;135;
JACOB Dan - LEBI Robert;191;0,38;0,28;0,11;0,18;112;  0,01;78;-0,37;59;0,78;53;-0,09;35;-0,24;43;0,18;78;
HENC Marian - LOHAY Karol;175;0,35;-0,02;0,37;0,64;81;  0,15;94;1,06;53;-0,16;28;0,01;50;-0,57;44;0,41;94;
DEMUY Vincent - FOURCAUDOT Marc-Andre;160;0,32;-0,01;0,33;0,66;78;  0,03;82;0,77;73;-1,08;5;-0,29;5;-0,10;77;0,14;82;
BRENNER Diego - CASTELLO BRANCO Marcelo;176;0,28;0,26;0,02;0,47;93;  -0,48;83;0,40;52;0,57;41;0,21;48;-0,33;35;-0,46;83;
HANSEN Jorgen - BILDE Morten;171;0,25;-0,10;0,35;0,24;90;  0,48;81;0,40;45;0,07;45;-0,10;36;0,13;45;0,45;81;
KARPOV Maksim - LAANEMAE Tiit;192;0,24;0,14;0,10;0,17;90;  0,03;102;-0,04;54;0,49;36;0,08;54;-0,03;48;0,00;102;
LUKS Leo - NABER Lauri;160;0,19;0,58;-0,39;-1,05;73;  0,16;87;-1,50;35;-0,63;38;-0,26;43;-0,01;44;0,30;87;
BOSENBERG Christopher Henry - EBER Neville;176;0,18;-0,02;0,19;0,20;99;  0,19;77;0,13;45;0,25;54;0,51;32;-0,01;45;-0,02;77;
PENG Gui Ping - TSANG Yeuk Chow;192;0,11;0,19;-0,08;-0,14;88;  -0,03;104;-0,33;54;0,17;34;0,14;58;0,58;46;-0,37;104;
