Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HERBST Ilan - HERBST Ophir;224;1,07;0,36;0,71;0,87;118;  0,54;106;0,76;61;0,99;57;-0,35;58;0,35;48;0,57;106;
RAMONDT Vincent - WESTRA Berry;176;1,03;0,61;0,43;0,43;97;  0,44;78;0,45;53;0,40;44;0,07;41;0,26;37;0,28;78;
GINOSSAR Eldad - PACHTMAN Ron;176;0,88;1,00;-0,12;0,03;85;  -0,26;90;0,52;40;-0,41;45;0,43;41;0,10;49;-0,51;90;
HARANGOZO Laszlo - SZALAY Gyorgy;224;0,75;0,30;0,45;0,56;102;  0,36;122;0,26;57;0,95;45;0,61;66;-0,31;56;0,17;122;
ZHAO Jie - FU Zhong;176;0,74;0,52;0,22;0,52;83;  -0,04;93;0,38;41;0,65;42;0,03;45;0,09;48;-0,10;93;
BERTENS Huub - BAKKEREN Ton;176;0,72;0,62;0,10;0,13;90;  0,07;85;0,14;60;0,11;30;-0,16;54;0,24;31;0,09;85;
BIEDER Wolfgang - BABSCH Andreas;176;0,70;0,14;0,56;0,67;97;  0,42;79;0,49;42;0,81;55;0,10;42;-0,20;37;0,46;79;
DUBININ Alexander - GROMOV Andrey;208;0,67;0,35;0,32;0,20;108;  0,46;100;-0,76;9;0,28;99;0,05;95;2,46;5;0,29;100;
CULLIN Per-Ola - UPMARK Johan;208;0,62;0,49;0,13;-0,06;98;  0,30;110;0,44;41;-0,41;57;0,55;58;0,24;52;-0,11;110;
NADAR Kiran - SATYANARAYANA Bachiraju;192;0,54;0,23;0,31;0,67;85;  0,03;107;0,91;46;0,38;39;0,20;56;0,01;51;-0,08;107;
AXDORPH Mats - OSTBERG Johnny;144;0,51;0,89;-0,38;-0,74;66;  -0,07;77;-0,37;26;-0,98;40;-0,27;41;0,32;36;-0,08;77;
YANG Lixin - DAI Jianming;192;0,51;0,53;-0,02;-0,18;107;  0,18;83;-0,20;51;-0,16;56;0,11;42;0,18;41;0,03;83;
LUIS Carlos - PAZ Nuno;176;0,48;0,05;0,43;0,18;100;  0,76;76;-0,00;43;0,32;57;0,38;34;-0,11;42;0,65;76;
DE WIJS Simon - MULLER Bauke;192;0,45;0,27;0,18;0,24;100;  0,11;92;0,40;50;0,09;50;-0,15;51;0,40;41;0,01;92;
ZHUANG Zejun - SHI Haojun;176;0,44;0,56;-0,12;-0,03;83;  -0,20;92;-0,32;48;0,36;35;-0,29;48;0,18;44;-0,14;92;
EFRAIMSSON Bengt-Erik - MORATH Anders;192;0,42;0,05;0,37;0,74;92;  0,04;99;0,88;48;0,59;44;-0,13;46;0,38;53;-0,11;99;
DALAL Rajesh - GUPTA Subhash;128;0,32;0,14;0,18;0,23;57;  0,14;71;-0,16;24;0,51;33;0,14;31;0,42;40;-0,16;71;
CHOKSHI Sunit - VENKATARAMAN Kadayam Raman;192;0,31;-0,00;0,31;0,26;106;  0,38;86;0,45;55;0,05;51;-0,06;44;0,39;42;0,23;86;
BRIOLINI Giancarlo - FIORINI Fiorenzo;192;0,29;0,16;0,12;0,18;100;  0,06;92;-0,28;51;0,65;49;-0,35;50;0,22;42;0,15;92;
KALISH Avi - PODGUR Leonid;144;0,25;0,08;0,17;0,37;76;  -0,06;67;0,16;36;0,56;40;-0,22;34;-0,01;33;0,06;67;
LEMA Fernando Alfredo - PELLEGRINI Carlos;112;0,25;-0,00;0,25;-0,46;47;  0,77;65;-1,02;8;-0,34;39;0,20;44;0,34;21;0,52;65;
GULYAS Daniel - SZEGEDI Balazs;128;0,24;-0,21;0,45;0,58;62;  0,33;66;0,50;36;0,68;26;0,18;45;0,14;21;0,16;66;
DE MULLER Serge - PELLEGRINI Carlos;160;0,23;-0,24;0,47;0,67;88;  0,23;70;0,95;17;0,60;71;0,18;52;-0,25;18;0,16;70;
BARCZY Peter - TRENKA Peter;192;0,22;0,13;0,10;0,13;97;  0,07;94;-0,03;54;0,32;43;0,02;48;-0,49;46;0,30;94;
KHOLOMEEV Vadim - KHYUPPENEN Yury;208;0,18;0,34;-0,15;-0,27;104;  -0,04;103;-0,44;51;-0,10;53;-0,59;41;0,06;62;0,16;103;
JANSONS Ugis - RUBENIS Ivars;176;0,16;-0,03;0,19;0,48;94;  -0,14;81;0,19;48;0,79;46;-0,09;37;-0,58;44;0,22;81;
ALFEJEVA Jelena - MATISONS Maris;192;0,13;0,06;0,07;0,01;87;  0,12;104;0,30;51;-0,41;36;0,14;42;0,10;62;0,01;104;
ALFONSIN Julio Alberto - ALUJAS Gustavo Jorge;192;0,13;-0,26;0,39;0,63;92;  0,17;97;0,71;57;0,50;35;0,41;51;-0,17;46;0,03;97;
JAMES Rex - JONES Trevor;176;-0,01;-0,16;0,15;0,53;84;  -0,19;92;0,96;38;0,17;46;-0,03;49;-0,65;43;0,13;92;
LEUNG Cheuk-Hin Kinman - NG Chi-Cheung Baron;192;-0,05;-0,17;0,13;0,19;95;  0,07;96;0,28;38;0,12;57;0,13;49;-0,24;47;0,12;96;
LINDERMANN Arno - TERRANEO Christian;192;-0,06;-0,33;0,27;0,66;95;  -0,12;97;0,73;56;0,56;39;-0,16;50;-0,02;47;-0,02;97;
ZACCARIA Daniele - SOROLDONI Massimo;176;-0,08;0,27;-0,35;0,18;77;  -0,77;98;0,10;36;0,25;41;-0,26;47;-0,17;51;-0,56;98;
ZHMAK Maksim - SHUDNEV Andrey;128;-0,12;0,15;-0,27;-0,13;62;  -0,39;66;-0,77;35;0,69;27;-0,00;31;0,07;35;-0,42;66;
ASH Mike - McGOWAN Elizabeth (Liz);176;-0,14;-0,16;0,01;0,09;88;  -0,06;87;-0,07;42;0,24;46;-0,17;41;0,14;46;-0,06;87;
CHIU Wai-Lap Abby - LEUNG Chung-Man Ivan;192;-0,15;-0,29;0,15;0,05;97;  0,24;95;0,11;43;0,01;54;0,50;32;0,10;63;0,01;95;
