Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HELGEMO Geir - HELNESS Tor;192;1,30;0,96;0,33;0,66;93;  0,03;99;1,11;38;0,35;55;-0,86;39;-0,21;60;0,50;99;
JASSEM Krzysztof - MARTENS Krzysztof;192;1,20;0,77;0,42;0,53;99;  0,31;93;0,65;56;0,37;43;0,25;56;0,01;37;0,15;93;
AA Terje - MOLBERG Jorgen;176;1,15;0,85;0,30;0,41;99;  0,16;77;0,70;45;0,17;54;0,08;35;-0,14;42;0,21;77;
GIERULSKI Boguslaw - SKRZYPCZAK Jerzy;176;1,05;0,82;0,23;0,33;87;  0,14;89;0,05;33;0,51;54;0,14;42;0,25;47;-0,06;89;
LIU Tien-Hsun - SHIH Juei-Yu;160;0,68;0,38;0,30;0,14;84;  0,48;76;0,30;40;-0,01;44;0,43;35;-0,02;41;0,30;76;
MASIC Faruk - MILOVIC Milovan;192;0,54;0,69;-0,15;-0,27;97;  -0,02;94;-0,20;55;-0,35;42;0,09;42;-0,07;52;-0,02;94;
ARONOV Victor - STEFANOV Julian;176;0,54;0,26;0,28;0,62;94;  -0,11;82;0,30;42;0,88;52;-0,12;40;-0,17;42;0,04;82;
KARAIVANOV Kalin - TRENDAFILOV Roumen;176;0,53;0,47;0,07;0,27;96;  -0,18;80;0,24;42;0,30;54;-0,37;41;-0,05;39;0,03;80;
WASIK Arturo - KNAP Andres;192;0,50;-0,06;0,56;0,61;95;  0,52;96;0,69;51;0,51;44;0,27;47;0,07;49;0,35;96;
DANAILOV Diyan - KARAKOLEV Georgi;191;0,50;-0,01;0,51;0,67;89;  0,36;102;1,12;31;0,43;58;0,41;47;0,22;55;0,06;102;
NEWELL Peter - REID Martin;224;0,43;-0,25;0,68;0,39;108;  0,95;116;0,37;46;0,40;62;-0,13;57;0,38;59;0,83;116;
GARNIER Charles - SOUDAN Luc;176;0,40;0,27;0,13;0,20;82;  0,06;94;-0,33;33;0,56;49;0,13;46;-0,03;48;0,01;94;
JACOB Tom - MAYER Malcolm;176;0,38;0,27;0,11;-0,12;90;  0,37;84;-0,41;42;0,13;48;0,32;31;0,06;53;0,21;84;
CORNELIS Tom - AMSEL Alon;176;0,37;0,44;-0,07;-0,06;84;  -0,07;92;0,06;38;-0,16;46;-0,15;46;0,47;46;-0,23;92;
EYSTEINSSON Bjorn - BALDURSSON Jon;192;0,35;0,43;-0,08;-0,40;103;  0,29;89;-0,63;51;-0,17;52;0,33;52;-0,16;37;0,17;89;
DEHAYE Bernard - ENGEL Zvi;256;0,32;0,27;0,05;0,16;138;  -0,07;118;0,27;100;-0,15;38;0,08;32;-0,07;86;-0,05;118;
HUSSAIN A, T, M, Moazzem - SALAHUDDIN Mohammed;224;0,29;0,20;0,09;0,09;132;  0,08;92;-0,01;75;0,23;57;-0,16;45;-0,01;47;0,16;92;
YEN Ding-Ming - CHEN Chih-Tsung;208;0,28;-0,03;0,31;0,36;111;  0,25;97;0,31;56;0,42;55;-0,11;45;-0,04;52;0,32;97;
GROETHEIM Glenn - TUNDAL Ulf Haakon;176;0,28;0,63;-0,36;-0,55;90;  -0,15;86;-0,34;43;-0,74;47;-0,02;44;-0,00;42;-0,14;86;
NYEMTSEV Oleksandr - RYBNIKOV Gennadii;192;0,28;0,30;-0,03;0,21;98;  -0,27;94;0,17;50;0,25;48;-0,09;51;-0,22;43;-0,12;94;
EL AHMADY Waleed - SADEK Tarek;239;0,25;0,17;0,08;0,07;114;  0,10;125;0,12;56;0,03;58;0,29;69;0,05;56;-0,09;125;
AZZAM Ayman - KOURDY Adel El;176;0,16;-0,22;0,38;0,75;87;  0,02;89;0,15;37;1,20;50;0,00;40;0,16;49;-0,07;89;
ZAWISLAK Slawek - PAZUR Boguslaw;176;0,15;-0,15;0,30;0,28;84;  0,31;92;0,65;36;0,00;48;-0,04;50;0,78;42;-0,02;92;
BERIASHVILI Revaz - ABZIANIDZE George;192;0,14;-0,26;0,40;0,62;98;  0,16;94;0,63;52;0,61;46;-0,02;50;-0,02;44;0,18;94;
KARLYKOV Petro - SHUKHMEYSTER Borys;192;0,12;0,23;-0,11;0,07;98;  -0,30;94;0,17;57;-0,08;41;-0,36;56;-0,40;38;0,08;94;
ARMANNSSON Sverrir - JORGENSEN Adalsteinn;176;0,11;0,02;0,10;0,26;91;  -0,08;85;0,17;51;0,38;40;0,10;46;0,19;39;-0,22;85;
UCHAVA Giorgi - BURDIASHVILI Rati;128;0,08;-0,24;0,32;0,66;61;  0,01;67;1,98;23;-0,13;38;0,01;33;-0,13;34;0,07;67;
COENRAETS Philippe - COOREMAN Thierry;112;0,07;-0,07;0,14;0,29;53;  0,01;59;0,72;30;-0,28;23;-0,18;33;0,44;26;-0,09;59;
GERIN Dominique - SARROLA Jean-Dominique;192;0,03;-0,01;0,03;0,04;100;  0,02;92;0,37;50;-0,28;50;-0,24;48;0,17;44;0,06;92;
BLACKSTOCK Stephen - HENRY Stephen;144;0,01;-0,20;0,21;0,56;76;  -0,17;67;0,33;36;0,76;40;-0,16;29;0,03;38;-0,12;67;
CARACCI Marcelo - CUEVAS Loreto;272;-0,06;-0,09;0,03;-0,10;126;  0,15;146;-0,19;53;-0,04;73;-0,15;74;-0,03;72;0,24;146;
CHUA Gang - POON Hua;112;-0,08;0,18;-0,26;-0,60;50;  0,01;62;-0,91;27;-0,24;23;0,08;28;0,44;34;-0,27;62;
GODED Federico - GODED MERINO Gonzalo;144;-0,19;-0,62;0,43;0,17;71;  0,68;73;-0,01;28;0,28;43;0,25;42;0,35;31;0,39;73;
DOUGLAS Alan - PRIDE Sven;191;-0,20;0,10;-0,31;-0,26;93;  -0,34;98;-0,52;46;-0,01;47;-0,37;48;-0,29;50;-0,02;98;
MARTINOVIC Drazen - NOVOSEL Igor;176;-0,22;-0,04;-0,18;-0,72;77;  0,25;99;-0,76;33;-0,70;44;0,53;42;0,03;57;0,01;99;
KRISHNAN Rajendra - NG Chun Tat;224;-0,31;-0,19;-0,12;-0,04;118;  -0,20;106;-0,55;63;0,54;55;0,19;61;0,06;45;-0,33;106;
CHUMAK Yuliy - ROVYSHYN Oleg;160;-0,33;-0,36;0,02;-0,01;83;  0,07;77;0,03;37;-0,05;46;0,15;41;0,18;36;-0,10;77;
ISLAM Khandakar Mobinul - SIDDIQUE A, K, M, Rafiqul Hossain;192;-0,34;0,11;-0,45;-0,25;103;  -0,70;88;0,27;47;-0,68;56;-0,13;51;-0,33;37;-0,48;88;
BOUVERESSE Jean-Pierre - MATHIEU Philippe;176;-0,38;-0,18;-0,19;-0,40;87;  0,01;89;-0,62;44;-0,17;43;-0,19;48;-0,37;41;0,28;89;
DOLAREVIC Samir - TICA Ranko;176;-0,49;-0,14;-0,35;-0,04;93;  -0,69;83;-0,14;39;0,02;54;-0,31;38;-0,25;45;-0,42;83;
GOSHADZE Gocha - KASRADZE Amiran;224;-0,50;-0,39;-0,10;0,33;114;  -0,55;110;0,15;52;0,49;62;0,35;52;-0,61;58;-0,40;110;
EIRIKSSON Sveinn Runar - ERLINGSSON Hrannar;176;-0,53;-0,11;-0,42;-0,40;73;  -0,43;103;-0,58;37;-0,22;36;-0,64;40;-0,04;63;-0,16;103;
BERNAT Mohammed Saad - BELKOUCH Abdellatif;192;-0,61;-0,63;0,02;-0,11;86;  0,12;106;0,14;45;-0,38;41;0,00;57;0,15;49;0,04;106;
HISHMAT Mohamed - NADIM Tarek;128;-0,92;-0,39;-0,53;-0,15;62;  -0,89;66;-0,69;29;0,32;33;-0,12;28;0,26;38;-0,99;66;
BURVILLE John - SAUNDERS Anthony;176;-0,95;-0,53;-0,42;-0,11;95;  -0,78;81;0,15;52;-0,42;43;-0,21;33;-0,02;48;-0,69;81;
HENG Derrick - KOW Dennis;208;-1,04;-0,40;-0,64;-0,44;99;  -0,83;108;-0,16;51;-0,74;48;-0,07;58;-0,17;50;-0,71;108;
GOSLING Rachael Louise - HUTTON Craig Cook;176;-1,08;-0,50;-0,58;-0,38;79;  -0,75;97;-0,56;44;-0,15;35;-0,08;55;-0,53;42;-0,47;97;
BERRADA Mohammed Said - BENSOUDA Khalil;176;-1,15;-0,55;-0,60;-1,15;89;  -0,04;85;-1,75;45;-0,54;44;0,16;46;0,37;39;-0,29;85;
CAMBOURNAC Chantal - CAMBOURNAC Guy;176;-1,20;-0,77;-0,44;-0,21;90;  -0,67;86;-0,55;35;-0,00;55;0,10;41;0,04;45;-0,74;86;
MARANGUNIC Beatriz - SANCHEZ Alejandro;272;-1,22;-0,79;-0,43;-0,18;129;  -0,66;142;-0,69;62;0,29;67;-0,24;63;-0,27;79;-0,40;142;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GODED MERINO Gonzalo - LANTARON Luis;48;1,46;0,84;0,62;1,00;27;  0,14;21;1,98;12;0,21;15;1,07;12;0,11;9;-0,52;21;
KNAP Andres - LANTARON Luis;16;1,44;0,86;0,58;-0,30;9;  1,72;7;0,22;4;-0,72;5;1,51;5;0,00;2;0,63;7;
GODED Federico - LANTARON Luis;80;0,50;0,44;0,06;-0,29;28;  0,24;52;0,10;17;-0,89;11;-0,04;23;0,46;29;0,01;52;
YEN Ding-Ming - HU Hsi Chen;64;0,28;-0,68;0,96;0,55;30;  1,35;33;0,96;15;0,14;15;0,42;14;0,06;19;1,14;33;
WASIK Arturo - LANTARON Luis;64;0,11;-0,29;0,40;0,61;28;  0,24;35;1,14;16;-0,11;12;-0,27;15;0,52;20;0,06;35;
HUQ Qazi Habibul - ISLAM Khandakar Mobinul;80;-0,47;-0,09;-0,38;-0,34;34;  -0,41;46;-0,13;19;-0,60;15;0,19;24;-0,16;22;-0,44;46;
