                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
DUBOIN Giorgio - SEMENTA Antonio                       |  159   1.32 |  0.82   0.50 |  0.46 ( 75)   0.54 ( 84) |  0.24 ( 34)   0.64 ( 41) |  0.24 ( 42)   0.27 ( 42)   0.28 ( 84) |
FANTONI Fulvio - NUNES Claudio                         |  175   0.98 |  0.29   0.70 |  0.69 ( 92)   0.70 ( 83) |  0.82 ( 44)   0.57 ( 48) |  0.28 ( 45)   0.21 ( 38)   0.46 ( 83) |
MULTON Franck - ZIMMERMANN Pierre                      |  160   0.88 |  0.65   0.23 |  0.45 ( 83)  -0.01 ( 77) |  0.37 ( 40)   0.53 ( 43) |  0.36 ( 37)   0.09 ( 40)  -0.23 ( 77) |
APTEKER Alon - GOWER Craig                             |  160   0.82 |  0.66   0.16 |  0.29 ( 75)   0.05 ( 85) | -0.44 ( 38)   1.04 ( 37) | -0.19 ( 37)  -0.03 ( 48)   0.16 ( 85) |
CHRISTIANSEN Soren - AUKEN Jens                        |  160   0.72 |  0.36   0.36 |  0.21 ( 87)   0.53 ( 73) |  0.41 ( 60)  -0.22 ( 27) | -0.40 ( 34)  -0.03 ( 39)   0.73 ( 73) |
COLDEA Ionut - IONITA Marius                           |  255   0.59 |  0.59   0.00 |  0.29 (135)  -0.31 (120) | -0.11 ( 69)   0.69 ( 66) | -0.29 ( 62)  -0.01 ( 58)  -0.15 (120) |
CHAGAS Gabriel - VILLAS-BOAS Miguel                    |  240   0.59 |  0.59  -0.00 | -0.01 (119)  -0.00 (120) |  0.07 (105)  -0.56 ( 14) |  0.17 ( 10)  -0.27 (110)   0.23 (120) |
LESKELA Vesa - TOIVONEN Mikko                          |  256   0.58 |  0.45   0.13 |  0.20 (135)   0.05 (121) |  0.27 ( 71)   0.13 ( 64) |  0.08 ( 65)   0.17 ( 56)  -0.07 (121) |
HANLON Tom - McGANN Hugh                               |  173   0.57 |  0.18   0.38 |  0.29 ( 86)   0.48 ( 87) |  0.68 ( 47)  -0.19 ( 39) |  0.29 ( 51)   0.64 ( 36)   0.04 ( 87) |
LEVENKO Vassili - SESTER Sven                          |  160   0.51 |  0.25   0.26 | -0.27 ( 82)   0.81 ( 78) | -0.12 ( 41)  -0.42 ( 41) |  0.26 ( 52)   0.52 ( 26)   0.47 ( 78) |
