Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HERBST Ilan - HERBST Ophir;224;1,06;0,37;0,69;0,82;118;  0,55;106;0,71;61;0,93;57;-0,28;58;0,30;48;0,57;106;
RAMONDT Vincent - WESTRA Berry;176;0,94;0,51;0,42;0,42;97;  0,43;78;0,47;53;0,36;44;0,08;41;0,23;37;0,28;78;
GINOSSAR Eldad - PACHTMAN Ron;176;0,77;0,84;-0,07;0,08;85;  -0,22;90;0,52;40;-0,30;45;0,40;41;0,11;49;-0,46;90;
BERTENS Huub - BAKKEREN Ton;176;0,67;0,58;0,09;0,13;90;  0,05;85;0,13;60;0,13;30;-0,16;54;0,24;31;0,06;85;
HARANGOZO Laszlo - SZALAY Gyorgy;224;0,66;0,24;0,42;0,53;102;  0,33;122;0,22;57;0,92;45;0,55;66;-0,26;56;0,15;122;
BIEDER Wolfgang - BABSCH Andreas;176;0,66;0,13;0,53;0,65;97;  0,39;79;0,43;42;0,81;55;0,04;42;-0,16;37;0,43;79;
ZHAO Jie - FU Zhong;176;0,65;0,48;0,17;0,44;83;  -0,07;93;0,32;41;0,55;42;-0,04;45;0,11;48;-0,10;93;
DUBININ Alexander - GROMOV Andrey;208;0,60;0,31;0,29;0,20;108;  0,39;100;-0,67;9;0,28;99;0,06;95;1,95;5;0,24;100;
CULLIN Per-Ola - UPMARK Johan;208;0,54;0,44;0,09;-0,08;98;  0,25;110;0,42;41;-0,44;57;0,48;58;0,23;52;-0,11;110;
YANG Lixin - DAI Jianming;192;0,53;0,53;0,00;-0,14;107;  0,18;83;-0,19;51;-0,09;56;0,12;42;0,18;41;0,03;83;
AXDORPH Mats - OSTBERG Johnny;144;0,46;0,76;-0,29;-0,65;66;  0,02;77;-0,31;26;-0,88;40;-0,24;41;0,25;36;0,03;77;
LUIS Carlos - PAZ Nuno;176;0,46;0,06;0,40;0,17;100;  0,70;76;-0,04;43;0,33;57;0,31;34;-0,09;42;0,61;76;
NADAR Kiran - SATYANARAYANA Bachiraju;192;0,46;0,19;0,27;0,57;85;  0,03;107;0,80;46;0,30;39;0,14;56;0,02;51;-0,05;107;
