                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
HELGEMO Geir - HELNESS Tor                             |  192   1.13 |  0.80   0.32 |  0.61 ( 93)   0.06 ( 99) |  1.05 ( 38)   0.31 ( 55) | -0.71 ( 39)  -0.21 ( 60)   0.46 ( 99) |
JASSEM Krzysztof - MARTENS Krzysztof                   |  192   1.08 |  0.70   0.38 |  0.49 ( 99)   0.26 ( 93) |  0.66 ( 56)   0.28 ( 43) |  0.19 ( 56)   0.02 ( 37)   0.14 ( 93) |
AA Terje - MOLBERG Jorgen                              |  176   1.03 |  0.77   0.27 |  0.35 ( 99)   0.16 ( 77) |  0.67 ( 45)   0.07 ( 54) |  0.08 ( 35)  -0.13 ( 42)   0.20 ( 77) |
GIERULSKI Boguslaw - SKRZYPCZAK Jerzy                  |  176   0.94 |  0.72   0.22 |  0.32 ( 87)   0.12 ( 89) |  0.05 ( 33)   0.48 ( 54) |  0.09 ( 42)   0.23 ( 47)  -0.04 ( 89) |
LIU Tien-Hsun - SHIH Juei-Yu                           |  160   0.57 |  0.33   0.24 |  0.07 ( 84)   0.42 ( 76) |  0.26 ( 40)  -0.10 ( 44) |  0.32 ( 35)  -0.02 ( 41)   0.28 ( 76) |
ARONOV Victor - STEFANOV Julian                        |  176   0.52 |  0.24   0.28 |  0.58 ( 94)  -0.08 ( 82) |  0.22 ( 42)   0.88 ( 52) | -0.14 ( 40)  -0.13 ( 42)   0.06 ( 82) |
DANAILOV Diyan - KARAKOLEV Georgi                      |  191   0.51 |  0.02   0.49 |  0.67 ( 89)   0.34 (102) |  1.13 ( 31)   0.42 ( 58) |  0.40 ( 47)   0.21 ( 55)   0.04 (102) |
NEWELL Peter - REID Martin                             |  224   0.50 | -0.14   0.65 |  0.39 (108)   0.89 (116) |  0.38 ( 46)   0.39 ( 62) | -0.09 ( 57)   0.33 ( 59)   0.77 (116) |
WASIK Arturo - KNAP Andres                             |  192   0.49 | -0.01   0.50 |  0.58 ( 95)   0.43 ( 96) |  0.63 ( 51)   0.51 ( 44) |  0.22 ( 47)   0.06 ( 49)   0.29 ( 96) |
KARAIVANOV Kalin - TRENDAFILOV Roumen                  |  176   0.48 |  0.44   0.04 |  0.23 ( 96)  -0.19 ( 80) |  0.25 ( 42)   0.22 ( 54) | -0.31 ( 41)  -0.05 ( 39)  -0.00 ( 80) |
EYSTEINSSON Bjorn - BALDURSSON Jon                     |  192   0.40 |  0.44  -0.04 | -0.38 (103)   0.35 ( 89) | -0.64 ( 51)  -0.12 ( 52) |  0.35 ( 52)  -0.15 ( 37)   0.21 ( 89) |
MASIC Faruk - MILOVIC Milovan                          |  192   0.38 |  0.51  -0.13 | -0.25 ( 97)  -0.01 ( 94) | -0.17 ( 55)  -0.36 ( 42) |  0.05 ( 42)  -0.07 ( 52)   0.01 ( 94) |
JACOB Tom - MAYER Malcolm                              |  176   0.31 |  0.20   0.11 | -0.10 ( 90)   0.34 ( 84) | -0.34 ( 42)   0.11 ( 48) |  0.28 ( 31)   0.09 ( 53)   0.19 ( 84) |
DEHAYE Bernard - ENGEL Zvi                             |  256   0.31 |  0.29   0.03 |  0.10 (138)  -0.06 (118) |  0.19 (100)  -0.15 ( 38) |  0.08 ( 32)  -0.09 ( 86)  -0.02 (118) |
CORNELIS Tom - AMSEL Alon                              |  176   0.31 |  0.38  -0.07 | -0.08 ( 84)  -0.06 ( 92) |  0.08 ( 38)  -0.22 ( 46) | -0.13 ( 46)   0.40 ( 46)  -0.20 ( 92) |
GARNIER Charles - SOUDAN Luc                           |  176   0.29 |  0.18   0.12 |  0.22 ( 82)   0.03 ( 94) | -0.25 ( 33)   0.53 ( 49) |  0.09 ( 46)  -0.02 ( 48)  -0.00 ( 94) |
HUSSAIN A. T. M. Moazzem - SALAHUDDIN Mohammed         |  224   0.24 |  0.16   0.08 |  0.06 (132)   0.11 ( 92) | -0.08 ( 75)   0.24 ( 57) | -0.13 ( 45)  -0.00 ( 47)   0.17 ( 92) |
GROETHEIM Glenn - TUNDAL Ulf Haakon                    |  176   0.23 |  0.56  -0.34 | -0.52 ( 90)  -0.14 ( 86) | -0.32 ( 43)  -0.70 ( 47) | -0.01 ( 44)  -0.01 ( 42)  -0.13 ( 86) |
YEN Ding-Ming - CHEN Chih-Tsung                        |  208   0.21 | -0.07   0.29 |  0.34 (111)   0.22 ( 97) |  0.30 ( 56)   0.39 ( 55) | -0.10 ( 45)  -0.05 ( 52)   0.29 ( 97) |
EL AHMADY Waleed - SADEK Tarek                         |  239   0.21 |  0.13   0.08 |  0.05 (114)   0.10 (125) |  0.13 ( 56)  -0.02 ( 58) |  0.28 ( 69)   0.05 ( 56)  -0.07 (125) |
NYEMTSEV Oleksandr - RYBNIKOV Gennadii                 |  192   0.21 |  0.27  -0.06 |  0.13 ( 98)  -0.27 ( 94) |  0.10 ( 50)   0.17 ( 48) | -0.08 ( 51)  -0.23 ( 43)  -0.12 ( 94) |
AZZAM Ayman - KOURDY Adel El                           |  176   0.17 | -0.24   0.41 |  0.74 ( 87)   0.10 ( 89) |  0.11 ( 37)   1.20 ( 50) |  0.03 ( 40)   0.19 ( 49)  -0.02 ( 89) |
KARLYKOV Petro - SHUKHMEYSTER Borys                    |  192   0.16 |  0.26  -0.10 |  0.05 ( 98)  -0.26 ( 94) |  0.10 ( 57)  -0.02 ( 41) | -0.30 ( 56)  -0.37 ( 38)   0.07 ( 94) |
BERIASHVILI Revaz - ABZIANIDZE George                  |  192   0.16 | -0.21   0.37 |  0.57 ( 98)   0.15 ( 94) |  0.58 ( 52)   0.57 ( 46) | -0.04 ( 50)  -0.03 ( 44)   0.19 ( 94) |
ARMANNSSON Sverrir - JORGENSEN Adalsteinn              |  176   0.15 |  0.03   0.12 |  0.27 ( 91)  -0.03 ( 85) |  0.17 ( 51)   0.39 ( 40) |  0.08 ( 46)   0.20 ( 39)  -0.17 ( 85) |
ZAWISLAK Slawek - PAZUR Boguslaw                       |  176   0.10 | -0.16   0.27 |  0.25 ( 84)   0.28 ( 92) |  0.58 ( 36)  -0.00 ( 48) | -0.03 ( 50)   0.72 ( 42)  -0.03 ( 92) |
CARACCI Marcelo - CUEVAS Loreto                        |  272   0.07 |  0.00   0.07 | -0.06 (126)   0.18 (146) | -0.13 ( 53)  -0.01 ( 73) | -0.10 ( 74)   0.00 ( 72)   0.23 (146) |
UCHAVA Giorgi - BURDIASHVILI Rati                      |  128   0.03 | -0.23   0.26 |  0.59 ( 61)  -0.04 ( 67) |  1.73 ( 23)  -0.10 ( 38) | -0.02 ( 33)  -0.13 ( 34)   0.03 ( 67) |
COENRAETS Philippe - COOREMAN Thierry                  |  112  -0.01 | -0.09   0.09 |  0.16 ( 53)   0.02 ( 59) |  0.52 ( 30)  -0.31 ( 23) | -0.16 ( 33)   0.41 ( 26)  -0.07 ( 59) |
BLACKSTOCK Stephen - HENRY Stephen                     |  144  -0.02 | -0.22   0.20 |  0.57 ( 76)  -0.21 ( 67) |  0.39 ( 36)   0.72 ( 40) | -0.17 ( 29)   0.03 ( 38)  -0.15 ( 67) |
GERIN Dominique - SARROLA Jean-Dominique               |  192  -0.05 | -0.04  -0.01 | -0.01 (100)  -0.02 ( 92) |  0.35 ( 50)  -0.37 ( 50) | -0.20 ( 48)   0.18 ( 44)  -0.00 ( 92) |
MARTINOVIC Drazen - NOVOSEL Igor                       |  176  -0.07 |  0.03  -0.10 | -0.62 ( 77)   0.30 ( 99) | -0.57 ( 33)  -0.65 ( 44) |  0.51 ( 42)   0.07 ( 57)   0.05 ( 99) |
GODED Federico - GODED MERINO Gonzalo                  |  144  -0.18 | -0.55   0.38 |  0.16 ( 71)   0.59 ( 73) |  0.07 ( 28)   0.22 ( 43) |  0.21 ( 42)   0.34 ( 31)   0.33 ( 73) |
DOUGLAS Alan - PRIDE Sven                              |  191  -0.18 |  0.07  -0.25 | -0.22 ( 93)  -0.27 ( 98) | -0.47 ( 46)   0.02 ( 47) | -0.28 ( 48)  -0.24 ( 50)  -0.01 ( 98) |
CHUA Gang - POON Hua                                   |  112  -0.18 |  0.07  -0.25 | -0.54 ( 50)  -0.02 ( 62) | -0.79 ( 27)  -0.24 ( 23) |  0.09 ( 28)   0.38 ( 34)  -0.27 ( 62) |
KRISHNAN Rajendra - NG Chun Tat                        |  224  -0.23 | -0.14  -0.09 | -0.03 (118)  -0.15 (106) | -0.50 ( 63)   0.50 ( 55) |  0.17 ( 61)   0.07 ( 45)  -0.28 (106) |
ISLAM Khandakar Mobinul - SIDDIQUE A. K. M. Rafiqul Hossain |  192  -0.25 |  0.14  -0.39 | -0.24 (103)  -0.57 ( 88) |  0.29 ( 47)  -0.68 ( 56) | -0.07 ( 51)  -0.24 ( 37)  -0.43 ( 88) |
CHUMAK Yuliy - ROVYSHYN Oleg                           |  160  -0.28 | -0.28   0.01 | -0.05 ( 83)   0.06 ( 77) |  0.04 ( 37)  -0.12 ( 46) |  0.13 ( 41)   0.27 ( 36)  -0.13 ( 77) |
BOUVERESSE Jean-Pierre - MATHIEU Philippe              |  176  -0.34 | -0.14  -0.20 | -0.43 ( 87)   0.03 ( 89) | -0.64 ( 44)  -0.22 ( 43) | -0.16 ( 48)  -0.31 ( 41)   0.26 ( 89) |
DOLAREVIC Samir - TICA Ranko                           |  176  -0.39 | -0.09  -0.31 | -0.01 ( 93)  -0.63 ( 83) | -0.08 ( 39)   0.03 ( 54) | -0.32 ( 38)  -0.22 ( 45)  -0.37 ( 83) |
