                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BROCK Sally - SMITH Nicola                             |  192   1.84 |  1.21   0.63 |  0.14 ( 99)   1.17 ( 92) |  0.11 ( 55)   0.18 ( 44) |  0.58 ( 47)   0.11 ( 45)   0.82 ( 92) |
MOSS Sylvia - RADIN Judi                               |  143   1.29 |  0.48   0.81 |  0.72 ( 78)   0.92 ( 65) |  0.78 ( 32)   0.67 ( 46) |  0.21 ( 31)   0.66 ( 34)   0.48 ( 65) |
DHONDY Heather - SENIOR Nevena                         |  176   1.23 |  0.51   0.73 |  0.66 ( 90)   0.80 ( 86) |  0.82 ( 41)   0.53 ( 49) |  0.36 ( 40)   0.11 ( 46)   0.57 ( 86) |
SEAMON-MOLSON Janice - SOKOLOW Tobi                    |  208   1.06 |  0.52   0.54 |  0.57 (118)   0.50 ( 90) |  0.92 ( 51)   0.31 ( 67) | -0.25 ( 48)  -0.24 ( 42)   0.74 ( 90) |
FERLAZZO Caterina - MANARA Gabriella                   |  224   0.67 |  0.24   0.43 |  0.63 (107)   0.25 (117) |  0.60 ( 55)   0.67 ( 52) |  0.05 ( 62)   0.42 ( 55)   0.02 (117) |
BANNO Kazuko - SHIMAMURA Kyoko                         |  240   0.53 |  0.27   0.26 |  0.24 (114)   0.27 (126) |  0.81 ( 63)  -0.46 ( 51) |  0.19 ( 55)   0.19 ( 71)   0.08 (126) |
TORIELLI Vanessa - POMARES Y De Morant Claudia         |  144   0.52 |  0.00   0.52 |  0.57 ( 69)   0.48 ( 74) |  0.78 ( 29)   0.42 ( 40) |  0.04 ( 31)   0.10 ( 43)   0.40 ( 74) |
FUGLESTAD Ann Karin - HARDING Marianne                 |  224   0.48 |  0.39   0.10 | -0.07 (114)   0.27 (110) | -0.80 ( 49)   0.48 ( 65) |  0.12 ( 39)   0.23 ( 71)   0.08 (110) |
AMARAL Marina - PONCIONI Graca                         |  160   0.47 |  0.59  -0.12 | -0.60 ( 76)   0.31 ( 84) | -0.07 ( 39)  -1.17 ( 37) |  0.09 ( 43)   0.04 ( 41)   0.25 ( 84) |
MANDELOT Agota - NOGUEIRA Heloisa                      |  176   0.46 |  0.41   0.05 |  0.33 ( 95)  -0.29 ( 80) |  0.36 ( 47)   0.30 ( 48) |  0.17 ( 47)  -0.19 ( 33)  -0.31 ( 80) |
DRAPER Catherine - ROSEN Anne                          |  176   0.43 |  0.25   0.18 |  0.41 ( 80)  -0.01 ( 96) |  0.20 ( 42)   0.64 ( 38) | -0.09 ( 53)   0.06 ( 43)   0.01 ( 96) |
BREWIAK Grazyna - SARNIAK Anna                         |  224   0.40 |  0.16   0.24 | -0.27 (103)   0.67 (121) | -0.08 ( 50)  -0.45 ( 53) |  0.31 ( 53)  -0.02 ( 68)   0.55 (121) |
BADRANKOVA Sviatlana - SHOKHAN Elena                   |  224   0.36 |  0.37  -0.01 | -0.10 (111)   0.07 (112) |  0.12 ( 52)  -0.28 ( 59) |  0.23 ( 50)   0.18 ( 62)  -0.14 (112) |
BREED Mildred - LETIZIA Marinesa                       |  192   0.33 |  0.00   0.32 |  0.02 ( 90)   0.59 (102) | -0.18 ( 44)   0.21 ( 46) |  0.26 ( 55)   0.02 ( 47)   0.44 (102) |
HARASIMOWICZ Ewa - PASTERNAK Malgorzata                |  176   0.30 |  0.49  -0.19 |  0.08 ( 98)  -0.53 ( 78) |  0.45 ( 52)  -0.34 ( 46) |  0.16 ( 48)  -0.41 ( 30)  -0.47 ( 78) |
KATER Ewa - KOZYRA Ewa                                 |  144   0.28 |  0.18   0.10 |  0.04 ( 71)   0.16 ( 73) |  0.39 ( 38)  -0.37 ( 33) | -0.05 ( 40)   0.06 ( 33)   0.16 ( 73) |
CHAN Pui Yi Pearlie - KOO Hor Yung Charmian            |  272   0.25 |  0.11   0.14 |  0.37 (123)  -0.06 (149) | -0.07 ( 57)   0.75 ( 66) |  0.20 ( 69)  -0.32 ( 80)   0.02 (149) |
DE MELLO Sylvia Figueira - PAIN Leda                   |  208   0.24 |  0.15   0.09 |  0.05 (101)   0.12 (107) |  0.57 ( 19)  -0.07 ( 82) | -0.06 ( 84)   0.47 ( 23)   0.07 (107) |
FERREIRA Isabel - ROSADO Alexandra                     |  176   0.21 |  0.03   0.18 |  0.28 ( 92)   0.08 ( 84) |  0.39 ( 50)   0.16 ( 42) | -0.10 ( 38)  -0.07 ( 46)   0.16 ( 84) |
BROGELAND Tonje Aasand - SVENDSEN Tone Torkelsen       |  160   0.12 | -0.03   0.14 |  0.57 ( 88)  -0.38 ( 72) |  0.21 ( 46)   0.97 ( 42) |  0.16 ( 30)  -0.03 ( 42)  -0.43 ( 72) |
YANAGISAWA Akiko - TAKASAKI Megumi                     |  160   0.09 | -0.16   0.25 |  0.01 ( 82)   0.49 ( 78) | -0.37 ( 44)   0.46 ( 38) | -0.15 ( 43)   0.43 ( 35)   0.38 ( 78) |
YAMADA Mizuko Tan - ONISHI Hiroko                      |  128   0.07 | -0.03   0.10 |  0.20 ( 67)  -0.01 ( 61) |  0.46 ( 41)  -0.21 ( 26) | -0.39 ( 31)   0.23 ( 30)   0.07 ( 61) |
LIMA Paula - TADEU Ana                                 |  224   0.07 |  0.18  -0.11 |  0.22 (107)  -0.42 (116) |  0.07 ( 38)   0.30 ( 69) | -0.22 ( 54)  -0.21 ( 62)  -0.21 (116) |
HAMDY Nessrine - SARWAT Safeya (Sophie)                |  208   0.05 |  0.18  -0.13 | -0.29 (113)   0.06 ( 94) |  0.50 ( 57)  -1.09 ( 56) | -0.06 ( 49)  -0.12 ( 45)   0.15 ( 94) |
WAN HOI Regine - MICHAUX Danielle                      |  192   0.02 |  0.08  -0.06 | -0.10 (101)  -0.01 ( 91) |  0.11 ( 56)  -0.36 ( 45) | -0.16 ( 51)  -0.29 ( 40)   0.21 ( 91) |
KHALIL Lily - KHOURI Maud                              |  192   0.01 | -0.08   0.09 |  0.33 ( 91)  -0.13 (100) |  0.21 ( 44)   0.43 ( 47) | -0.38 ( 50)   0.13 ( 50)  -0.01 (100) |
GRELL Gail - MAPP Pamela                               |  176  -0.06 | -0.04  -0.01 |  0.28 ( 96)  -0.37 ( 79) | -0.41 ( 40)   0.76 ( 56) |  0.37 ( 33)   0.18 ( 46)  -0.63 ( 79) |
CHARI Lakshmi - RYAN Sherien                           |  192  -0.08 |  0.10  -0.18 | -0.23 ( 83)  -0.15 (108) | -0.30 ( 52)  -0.10 ( 31) | -0.21 ( 58)  -0.44 ( 50)   0.17 (108) |
VOLINA Victoria - BYTSKEVICH Olga                      |  176  -0.09 | -0.08  -0.01 | -0.08 ( 87)   0.06 ( 88) |  0.21 ( 49)  -0.45 ( 38) | -0.02 ( 45)  -0.11 ( 43)   0.12 ( 88) |
CESHUNAITE Ona - TALLAT-KELPSA Sniedze                 |  176  -0.10 | -0.11   0.01 |  0.66 ( 80)  -0.53 ( 95) |  0.47 ( 36)   0.82 ( 44) | -0.05 ( 52)  -0.13 ( 43)  -0.45 ( 95) |
BOOTH Christine Nicolle - NEWTON Mary-Ellen            |  272  -0.16 | -0.15  -0.00 |  0.18 (145)  -0.21 (126) |  0.71 ( 86)  -0.60 ( 59) |  0.37 ( 65)  -0.34 ( 61)  -0.24 (126) |
ARRIGONI Gianna - OLIVIERI Gabriella                   |  176  -0.18 | -0.34   0.16 |  0.50 ( 86)  -0.17 ( 90) | -0.08 ( 46)   1.16 ( 40) | -0.45 ( 51)   0.05 ( 39)   0.07 ( 90) |
DELEFLIE Florence - HUSEINALI Narguis                  |  176  -0.22 | -0.28   0.07 |  0.10 ( 91)   0.03 ( 85) | -0.17 ( 38)   0.29 ( 53) |  0.66 ( 34)   0.11 ( 51)  -0.30 ( 85) |
VASANTH Sathyavathi - RAO Subadra                      |  192  -0.26 | -0.16  -0.09 |  0.01 (100)  -0.20 ( 92) | -0.27 ( 42)   0.21 ( 58) | -0.17 ( 42)  -0.10 ( 50)  -0.07 ( 92) |
AL SAKET Huda - HAMADEH Maha                           |  208  -0.27 |  0.01  -0.28 | -0.62 ( 97)   0.02 (111) | -0.64 ( 59)  -0.58 ( 38) |  0.23 ( 68)   0.14 ( 43)  -0.18 (111) |
HOWARD Pat - JOSA Denise                               |  176  -0.32 | -0.17  -0.15 | -0.41 ( 94)   0.15 ( 82) | -0.38 ( 49)  -0.45 ( 45) |  0.39 ( 44)   0.19 ( 38)  -0.15 ( 82) |
BREIVIK Kristine - REMEN Solvi                         |  160  -0.34 |  0.01  -0.34 | -0.23 ( 70)  -0.44 ( 89) | -0.39 ( 40)  -0.01 ( 30) | -0.20 ( 44)  -0.11 ( 45)  -0.28 ( 89) |
BISTOQUET Chantal - THIRION Christiane                 |  160  -0.36 | -0.14  -0.23 |  0.06 ( 75)  -0.48 ( 85) |  0.13 ( 40)  -0.01 ( 35) |  0.57 ( 41)  -0.26 ( 44)  -0.62 ( 85) |
DE MEILLAC Lisa - FLETCHER Deborah                     |  192  -0.38 | -0.05  -0.33 | -0.21 ( 86)  -0.44 (106) | -0.36 ( 63)   0.21 ( 23) | -0.74 ( 15)  -0.17 ( 91)  -0.19 (106) |
KAY Teresa - OLIVEIRA Anabella                         |  144  -0.46 | -0.45  -0.01 |  0.14 ( 60)  -0.12 ( 84) |  0.10 ( 30)   0.18 ( 30) |  0.22 ( 42)   0.18 ( 42)  -0.32 ( 84) |
DEORA Hema - SICKA Bimal                               |  144  -0.46 | -0.24  -0.22 | -0.04 ( 71)  -0.40 ( 72) | -0.16 ( 42)   0.14 ( 29) | -0.14 ( 41)  -0.38 ( 31)  -0.16 ( 72) |
