                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
AUKEN Sabine - VON ARNIM Daniela                       |  192   2.01 |  1.13   0.87 |  0.81 (100)   0.94 ( 92) |  0.51 ( 42)   1.03 ( 58) |  0.22 ( 43)   0.20 ( 49)   0.73 ( 92) |
DELLA MONTA Annaig - HACKETT Barbara                   |  176   1.45 |  0.57   0.87 |  0.44 ( 88)   1.31 ( 88) | -0.58 ( 41)   1.33 ( 47) |  0.31 ( 49)   0.05 ( 39)   1.12 ( 88) |
PASMAN Jet - SIMONS Anneke                             |  224   1.02 |  0.31   0.70 |  0.77 (112)   0.64 (112) |  0.28 ( 64)   1.41 ( 48) |  0.10 ( 58)  -0.03 ( 54)   0.60 (112) |
ANDERSSON Pia - RIMSTEDT Cecilia                       |  208   0.98 |  0.25   0.73 |  0.57 ( 96)   0.86 (112) |  0.85 ( 62)   0.08 ( 34) |  0.07 ( 55)   0.73 ( 57)   0.45 (112) |
ARNOLDS Carla - VRIEND Bep                             |  208   0.86 |  0.46   0.40 |  0.40 (106)   0.40 (101) |  0.35 ( 83)   0.57 ( 23) |  0.33 ( 28)   0.34 ( 73)   0.06 (101) |
ERBIZ Hatice - ERDOGAN Filiz Uygan                     |  224   0.82 |  0.32   0.50 |  0.72 (117)   0.27 (106) |  0.15 ( 49)   1.13 ( 68) |  0.12 ( 52)   0.29 ( 54)   0.06 (106) |
GROMANN Ingrid - NEHMERT Pony Beate                    |  176   0.77 |  0.47   0.30 |  0.19 ( 92)   0.42 ( 83) | -0.31 ( 54)   0.90 ( 38) | -0.23 ( 44)   0.29 ( 39)   0.41 ( 83) |
ZALAI Agnes - HEGEDUS Orsolya                          |  192   0.51 |  0.26   0.25 |  0.03 ( 97)   0.47 ( 94) | -0.21 ( 51)   0.30 ( 46) | -0.01 ( 47)  -0.07 ( 47)   0.51 ( 94) |
LAM Ze Ying - TAN Yoke Lan                             |  192   0.44 |  0.23   0.21 |  0.17 (106)   0.26 ( 86) |  0.76 ( 48)  -0.31 ( 58) | -0.41 ( 45)   0.22 ( 41)   0.37 ( 86) |
NYARADI Gabriella - NYARADI Ibolya                     |  159   0.30 |  0.20   0.10 | -0.09 ( 78)   0.29 ( 81) |  0.18 ( 46)  -0.48 ( 32) |  0.05 ( 35)   0.07 ( 46)   0.23 ( 81) |
WU Ling Li - YANG Shu-Yi                               |  176   0.27 |  0.16   0.11 |  0.04 (100)   0.20 ( 76) | -0.31 ( 60)   0.56 ( 40) |  0.37 ( 31)   0.53 ( 45)  -0.26 ( 76) |
CARROLL Helen - KULCHYCKY Jill                         |  176   0.26 |  0.24   0.01 | -0.31 ( 61)   0.18 (115) | -0.32 ( 28)  -0.31 ( 33) |  0.16 ( 49)   0.01 ( 66)   0.11 (115) |
KLIDZEJA Edite - ROMANOVSKA Maija                      |  176   0.26 |  0.42  -0.17 |  0.01 ( 97)  -0.39 ( 79) | -0.04 ( 82)   0.33 ( 15) |  0.20 ( 11)  -0.26 ( 68)  -0.20 ( 79) |
NEWTON Shirley - WILKINSON Jenny                       |  208   0.23 |  0.20   0.04 | -0.16 (105)   0.24 (103) |  0.03 ( 55)  -0.37 ( 50) |  0.03 ( 59)   0.32 ( 44)   0.08 (103) |
PHILLIPS Nicola Mae - VAN RENSBURG Carol               |  208   0.23 |  0.19   0.04 | -0.00 (119)   0.09 ( 89) |  0.28 ( 68)  -0.38 ( 51) | -0.17 ( 47)   0.41 ( 42)  -0.02 ( 89) |
CHAN Yiu Lin - SEET Choon Cheng                        |  176   0.20 |  0.20  -0.01 |  0.04 ( 88)  -0.05 ( 87) | -0.01 ( 40)   0.08 ( 48) |  0.17 ( 33)   0.34 ( 54)  -0.32 ( 87) |
HORSMAN Eileen - RICHARDSON Carol                      |  192   0.17 |  0.07   0.10 |  0.40 ( 83)  -0.14 (108) |  0.56 ( 47)   0.19 ( 36) | -0.49 ( 52)   0.60 ( 56)  -0.21 (108) |
FORSBERG Catharina - GRONKVIST Maria                   |  176   0.16 |  0.23  -0.06 |  0.17 ( 90)  -0.31 ( 85) |  0.01 ( 47)   0.35 ( 43) | -0.22 ( 36)  -0.20 ( 49)  -0.10 ( 85) |
HAMAMSI Rokia - TEBER Samira                           |  191   0.15 | -0.01   0.17 |  0.05 (104)   0.30 ( 87) |  0.52 ( 43)  -0.27 ( 61) |  0.20 ( 45)   0.10 ( 42)   0.15 ( 87) |
CUMMINS Patricia - THOMPSON Jacqueline                 |  208   0.14 | -0.23   0.38 |  0.14 ( 96)   0.59 (112) |  0.28 ( 47)   0.01 ( 49) | -0.35 ( 65)   0.44 ( 47)   0.61 (112) |
BENCHEMSI Fatiha - AYAD Saliva                         |  160   0.14 | -0.07   0.22 |  0.56 ( 76)  -0.09 ( 83) |  0.33 ( 33)   0.74 ( 43) | -0.31 ( 43)   0.38 ( 40)  -0.11 ( 83) |
HWANG Iyn Ryung - PARK Myung Kee                       |  176   0.13 |  0.32  -0.19 | -0.24 (103)  -0.11 ( 73) | -0.42 ( 56)  -0.03 ( 47) |  0.18 ( 41)  -0.04 ( 32)  -0.20 ( 73) |
BERTHEAU Kathrine - MIDSKOG Catarina                   |  160   0.13 |  0.08   0.04 | -0.40 ( 73)   0.42 ( 87) | -0.18 ( 38)  -0.64 ( 35) |  0.50 ( 39)  -0.24 ( 48)   0.33 ( 87) |
EL AWAD Wadia - MARRAKCHI Khadija                      |  176   0.10 |  0.05   0.05 |  0.04 ( 87)   0.06 ( 87) |  0.31 ( 38)  -0.17 ( 49) | -0.34 ( 38)   0.05 ( 49)   0.18 ( 87) |
YAVAS Dilek - BABAC Mine                               |  192   0.07 |  0.12  -0.05 |  0.06 ( 93)  -0.16 ( 98) |  0.48 ( 48)  -0.39 ( 45) | -0.41 ( 43)   0.18 ( 55)  -0.08 ( 98) |
YANEZ Adriana - ROSENBERG Miriam                       |  176   0.07 |  0.03   0.04 | -0.10 ( 91)   0.19 ( 85) | -0.67 ( 37)   0.29 ( 54) | -0.01 ( 48)  -0.27 ( 37)   0.31 ( 85) |
AGHA Rubina - ALI Abida Nazar                          |  191  -0.02 |  0.13  -0.15 |  0.26 (105)  -0.66 ( 85) |  0.48 ( 60)  -0.04 ( 45) |  0.11 ( 39)  -0.38 ( 46)  -0.51 ( 85) |
MITSI Georgia - VELAITOU Polina                        |  223  -0.03 | -0.05   0.02 | -0.06 (112)   0.10 (110) |  0.04 ( 62)  -0.19 ( 50) | -0.13 ( 60)  -0.13 ( 50)   0.23 (110) |
BANDUCCI Peta - OSIE Judy                              |  176  -0.03 | -0.02  -0.01 |  0.08 ( 91)  -0.10 ( 85) |  0.31 ( 45)  -0.15 ( 46) |  0.15 ( 38)   0.11 ( 47)  -0.23 ( 85) |
KOTRONAROU Anastasia - POLITOU Angeliki                |  128  -0.07 |  0.35  -0.42 | -0.70 ( 61)  -0.16 ( 66) | -0.43 ( 37)  -1.12 ( 24) | -0.06 ( 34)  -0.51 ( 32)   0.12 ( 66) |
CHAI Greta - CHOO Jane                                 |  176  -0.12 |  0.28  -0.40 | -0.60 ( 94)  -0.18 ( 81) | -0.77 ( 54)  -0.37 ( 40) |  0.01 ( 40)   0.55 ( 41)  -0.46 ( 81) |
JOYCE Emer - KENNY Joan                                |  192  -0.19 | -0.10  -0.08 |  0.48 ( 89)  -0.59 ( 99) |  0.47 ( 53)   0.50 ( 36) | -0.40 ( 57)   0.05 ( 42)  -0.38 ( 99) |
VAN DER SALM Claudia - WIJMA Anke                      |  112  -0.20 |  0.13  -0.33 | -0.81 ( 52)   0.09 ( 60) | -1.43 ( 20)  -0.43 ( 32) |  0.16 ( 37)  -0.17 ( 23)   0.06 ( 60) |
CSIPKA Szilvia - MEZEI Katalin                         |  192  -0.20 | -0.11  -0.10 | -0.02 ( 98)  -0.18 ( 94) | -0.21 ( 47)   0.16 ( 51) |  0.01 ( 44)   0.02 ( 50)  -0.19 ( 94) |
CHANG Lo-Mei - SO Ho-Yee                               |  271  -0.29 | -0.14  -0.15 | -0.14 (127)  -0.15 (143) |  0.52 ( 65)  -0.84 ( 62) | -0.14 ( 62)   0.11 ( 81)  -0.16 (143) |
LIRA Nancy - ROSENBERG Magy                            |  240  -0.34 | -0.10  -0.24 | -0.12 (120)  -0.36 (119) |  0.02 ( 63)  -0.26 ( 57) | -0.29 ( 60)   0.06 ( 59)  -0.24 (119) |
LAMBRINOU Sophie - TSIRIKOU Eleni                      |  192  -0.34 | -0.08  -0.27 | -0.50 (100)  -0.01 ( 91) | -0.27 ( 69)  -1.01 ( 31) | -0.41 ( 44)   0.23 ( 47)   0.06 ( 91) |
OZBAY Irem - ATALAY Belis                              |  128  -0.36 |  0.14  -0.50 | -0.64 ( 64)  -0.37 ( 64) | -0.02 ( 36)  -1.43 ( 28) | -0.40 ( 31)  -0.36 ( 33)   0.01 ( 64) |
JANKUNAITE Giedre - STRAUME Ildze                      |  192  -0.38 | -0.12  -0.25 |  0.04 ( 98)  -0.56 ( 93) |  0.28 ( 52)  -0.23 ( 46) | -0.15 ( 56)  -0.27 ( 37)  -0.36 ( 93) |
CLEARY Ena - FITZGERALD Jeannie                        |  176  -0.38 | -0.47   0.09 |  0.15 ( 90)   0.03 ( 86) |  0.34 ( 49)  -0.09 ( 41) | -0.12 ( 34)   0.38 ( 52)  -0.15 ( 86) |
KWON Soo Ja - SUNG Kyung Hae                           |  191  -0.41 | -0.26  -0.15 | -0.31 ( 83)  -0.02 (108) | -0.41 ( 45)  -0.19 ( 38) | -0.05 ( 51)   0.10 ( 57)  -0.05 (108) |
BRIKMANE Liga - VEKSA Natalija                         |  176  -0.59 | -0.05  -0.53 | -0.48 ( 78)  -0.58 ( 96) | -0.15 ( 39)  -0.82 ( 39) | -0.67 ( 45)  -0.30 ( 51)  -0.11 ( 96) |
ABID Najim - ASLAM Neelofar                            |  208  -0.63 | -0.27  -0.36 | -0.40 ( 85)  -0.33 (123) | -0.15 ( 44)  -0.68 ( 41) | -0.13 ( 72)   0.22 ( 51)  -0.34 (123) |
BALDERSON Peta Lynn - GAUTSCHI Jennifer Ann            |  160  -0.63 | -0.20  -0.43 | -0.12 ( 77)  -0.72 ( 82) | -0.14 ( 39)  -0.09 ( 38) | -0.36 ( 41)  -0.07 ( 41)  -0.51 ( 82) |
YANG Sung Ae - IM Hyun                                 |  176  -0.70 | -0.53  -0.17 | -0.21 ( 73)  -0.13 (103) | -0.42 ( 28)  -0.09 ( 45) |  0.62 ( 34)  -0.24 ( 69)  -0.18 (103) |
HINDS Roglyn - SEALE Yvonne                            |  160  -0.70 | -0.93   0.23 |  0.30 ( 88)   0.14 ( 70) |  0.51 ( 48)   0.04 ( 40) | -0.27 ( 44)  -0.00 ( 26)   0.31 ( 70) |
AZWER Zeenat - DUBASH Dinaz                            |  128  -0.86 | -0.64  -0.22 |  0.11 ( 66)  -0.57 ( 62) |  0.82 ( 32)  -0.56 ( 34) | -0.36 ( 29)   0.09 ( 33)  -0.45 ( 62) |
COORE Carol - MOORE Felicity                           |  112  -0.94 | -0.74  -0.20 | -0.03 ( 51)  -0.34 ( 61) | -0.42 ( 24)   0.31 ( 27) |  0.01 ( 25)  -0.05 ( 36)  -0.32 ( 61) |
FULFORD Marlene - MARSHALL Valerie May                 |  176  -1.24 | -0.76  -0.49 | -0.52 ( 89)  -0.46 ( 87) | -0.63 ( 62)  -0.25 ( 27) | -0.63 ( 30)  -0.20 ( 57)  -0.12 ( 87) |
GIBBONS Christine - GIBBONS Jenna                      |  144  -1.34 | -0.68  -0.66 | -0.37 ( 65)  -0.94 ( 76) | -0.34 ( 29)  -0.40 ( 36) | -0.64 ( 37)   0.07 ( 39)  -0.67 ( 76) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
AZWER Zeenat - ALI Abida Nazar                         |   16   1.25 |  1.12   0.13 |  0.12 ( 11)   0.15 (  5) | -0.62 (  7)   1.43 (  4) | -2.33 (  1)   0.52 (  4)   0.20 (  5) |
ROSENBERG Miriam - TINAJERO Claudia                    |   96   0.19 | -0.07   0.25 |  0.52 ( 52)  -0.06 ( 43) |  1.40 ( 32)  -0.90 ( 20) |  0.09 ( 22)  -0.16 ( 21)  -0.02 ( 43) |
YANG Shu-Yi - SUNG Chin-Hsien                          |   64   0.00 | -0.10   0.10 | -0.45 ( 26)   0.48 ( 38) | -0.81 ( 12)  -0.14 ( 14) |  0.09 ( 20)   0.44 ( 18)   0.22 ( 38) |
SPRINGER Adelle - THOMPSON Jacqueline                  |   48  -0.31 | -0.41   0.10 |  0.79 ( 25)  -0.68 ( 22) |  0.87 ( 11)   0.73 ( 14) |  0.15 (  7)  -0.50 ( 15)  -0.39 ( 22) |
WU Ling Li - SUNG Chin-Hsien                           |   32  -0.47 | -0.25  -0.22 | -0.28 ( 19)  -0.12 ( 13) | -0.18 ( 10)  -0.39 (  9) | -0.38 ( 10)   0.09 (  3)   0.15 ( 13) |
ROSENBERG Magy - TINAJERO Claudia                      |   32  -0.47 |  0.71  -1.18 | -0.27 ( 18)  -2.34 ( 14) | -0.91 (  8)   0.24 ( 10) | -1.53 (  7)   0.50 (  7)  -1.83 ( 14) |
