Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Heini Berger - Peter Zelnik;96;0,94;0,42;0,52;0,53;55;  0,51;41;0,07;25;0,91;30;;3b
Matthias Felmy - Thomas Gotard;208;0,86;0,44;0,42;0,41;104;  0,42;104;0,44;60;0,38;44;;2
Thomas Martin - Christine Kraus;176;0,79;0,47;0,32;0,33;96;  0,30;80;0,34;43;0,31;53;;3b
Hartmut Brückner - Ralf Speckmann;192;0,79;0,31;0,48;0,39;95;  0,56;97;-0,25;44;0,94;51;;3a
Michael Schröder - Stefan Vernon;192;0,72;0,44;0,28;-0,02;100;  0,60;91;-0,06;59;0,04;41;;3a
Ralph Vitters - Axel Sawal;96;0,71;0,33;0,38;0,34;48;  0,42;48;0,28;28;0,42;20;;3b
Fred Wrobel - Alexander Wodniansky;160;0,69;0,20;0,49;0,32;86;  0,70;74;0,55;37;0,14;49;;2
Matthias Stenneken - Bernd Gahntz;96;0,69;0,44;0,25;0,30;48;  0,20;48;-0,16;26;0,85;22;;3b
Frederic Boldt - Roland Watzdorf;96;0,68;0,19;0,49;0,28;45;  0,67;51;0,75;23;-0,22;22;;3c
Felix von Arnim - Heinrich Nowak;96;0,66;0,29;0,37;0,59;41;  0,20;55;0,90;16;0,40;25;;2
Frederic Boldt - Raffael Braun;192;0,59;0,38;0,21;-0,05;102;  0,51;90;-0,25;54;0,17;48;;3c
Helmut Häusler - Dr. Andreas Kirmse;96;0,56;0,08;0,47;0,54;41;  0,43;54;0,38;20;0,70;21;;1
Ingrid Stoeckmann - Burkhard Thamm;127;0,55;0,29;0,26;0,14;66;  0,39;61;-0,43;32;0,67;34;;3c
Theo Reinhard - Thomas Neuhauser;96;0,54;0,35;0,19;-0,17;45;  0,51;51;0,05;21;-0,37;24;;3b
Dr. Andreas Spiegl - Dr. Bernhard Schirm;192;0,51;0,36;0,15;-0,01;94;  0,32;96;-0,12;49;0,11;45;;3a
Herbert Klumpp - Reiner Marsal;192;0,50;0,36;0,14;0,21;94;  0,08;97;0,56;46;-0,13;48;;1
Martin Wüst - Vitaliy Khanukov;192;0,49;0,31;0,18;0,50;106;  -0,21;86;0,04;45;0,83;61;;1
Fabian Hupe - Jascha Garre;128;0,47;-0,16;0,63;0,41;66;  0,86;62;0,31;30;0,50;36;;3b
Peter Heckmann - Christian Glubrecht;208;0,46;0,31;0,15;0,12;98;  0,18;110;0,05;45;0,18;53;;3a
Elke Weber - Anne Gladiator;175;0,46;0,37;0,09;0,09;100;  0,08;75;0,08;41;0,10;59;;3a
Gerda Heinrichs - Karin Wenning;224;0,44;0,12;0,32;0,14;103;  0,48;121;-0,30;54;0,62;49;;3c
Stefan Behn - Bernd Engelhardt;96;0,44;0,04;0,39;-0,02;43;  0,73;53;0,47;31;-1,29;12;;3a
Erhard Sternheimer - Andreas Böhmer;240;0,43;0,10;0,33;0,45;106;  0,24;134;0,40;54;0,50;52;;3b
Jörg Fritsche - Klaus jun, Reps;112;0,42;0,42;0,01;0,08;59;  -0,07;52;0,04;30;0,12;29;;1
Martin Hofmann - Bernd Engelhardt;191;0,41;0,29;0,12;0,36;97;  -0,13;94;0,09;44;0,59;53;;3a
Beatrix Wodniansky - Werner Kühn;128;0,40;0,13;0,26;-0,09;54;  0,52;74;-0,02;32;-0,19;22;;3b
Uwe Siedenburg - Christian Fröhner;96;0,38;0,36;0,02;0,50;47;  -0,43;49;-0,50;20;1,24;27;;2
Marie Eggeling - Nikolas Bausback;144;0,37;0,51;-0,14;-0,18;77;  -0,10;67;0,28;45;-0,84;32;;2
Andreas Babsch - Ulrike Schreckenberger;144;0,35;0,30;0,05;-0,16;70;  0,25;74;-0,04;31;-0,26;39;;2
Christian Löwenstein - Daniel Buse;240;0,35;0,38;-0,03;0,02;115;  -0,09;123;0,37;54;-0,28;61;;3a
Robert Maybach - Wolf Stahl;160;0,35;0,47;-0,12;0,13;92;  -0,47;68;0,39;38;-0,05;54;;2
Andreas Visetti - Andrzej Konczak;287;0,34;-0,09;0,43;0,37;152;  0,51;133;0,64;63;0,17;89;;3a
Christian Schlicker - Dr. Claus Günther;192;0,34;0,40;-0,06;-0,21;95;  0,08;97;-0,15;48;-0,27;47;;1
Herbert Vetter - Bernhard Landwehr;191;0,33;0,16;0,18;0,22;99;  0,12;92;0,56;53;-0,16;46;;3c
Gawel Wojtek - Rafal Jagniewski;271;0,33;0,27;0,06;-0,09;141;  0,22;130;-0,16;88;0,03;53;;1
Tobias Förster - Dr. Claus Neidhardt;224;0,33;0,26;0,07;0,01;132;  0,15;92;-0,25;72;0,33;60;;3b
Ralf-D, Zepelin - André Marx;288;0,32;0,35;-0,03;-0,02;159;  -0,04;129;-0,01;86;-0,02;73;;3c
Fried Weber - Jan Sohl;192;0,31;0,21;0,10;0,29;90;  -0,06;101;-0,01;37;0,49;53;;3a
Klaus Appelt - Anneliese Daig;224;0,30;0,13;0,17;0,06;108;  0,26;116;-0,22;53;0,33;55;;3c
Heini Berger - Axel Sawal;96;0,29;0,56;-0,27;-0,07;57;  -0,58;38;0,25;24;-0,30;33;;3b
Klaus Spiegelberg - Asok Lean;191;0,28;0,37;-0,08;-0,18;95;  0,02;96;-0,23;41;-0,14;54;;3c
Jochen Bitschene - Sebastian Reim;192;0,27;0,09;0,18;0,29;105;  0,05;87;0,69;60;-0,25;45;;1
Katja Dopheide - Ralph Vitters;96;0,27;-0,15;0,42;0,34;42;  0,50;53;0,14;21;0,53;21;;3b
Hans-Joachim Prieß - Bharat Gurbaxani;288;0,27;0,12;0,15;0,10;144;  0,19;144;-0,13;79;0,39;65;;3c
Lars Hüllen - Stefan Hinck;192;0,27;0,12;0,15;0,33;104;  -0,07;88;0,35;47;0,31;57;;3c
Felix Zimmermann - Max Ellerbeck;256;0,25;0,20;0,05;0,09;134;  0,01;122;0,12;55;0,07;79;;2
Ulrich Trepnau - Dr. Ralf Schlotmann;192;0,23;0,18;0,05;0,04;91;  0,05;100;-0,28;41;0,31;50;;3c
Fikret Dogan - Cumhur Kirdemir;255;0,22;-0,18;0,40;0,66;130;  0,14;125;0,37;67;0,97;63;;3a
Hans Frerichs - Ulrich Wenning;192;0,22;0,25;-0,03;-0,11;93;  0,05;99;-0,04;53;-0,20;40;;1
Joachim Parsch - Klaus Zeitler;288;0,21;0,16;0,05;-0,07;146;  0,18;142;0,13;62;-0,22;84;;1
Norbert Stübinger - Ulf Bormann;192;0,21;0,01;0,20;0,35;90;  0,07;102;0,18;50;0,56;40;;3b
Helmut Lux - Ulrich Schweding;191;0,21;0,34;-0,13;0,06;106;  -0,37;85;-0,45;66;0,91;40;;3c
Michael Hornbrook - Dr. Ilan Wolff;191;0,20;-0,02;0,23;0,14;102;  0,33;87;0,57;54;-0,33;48;;3a
Achim Greune - Diana Farken;223;0,20;0,28;-0,08;-0,17;117;  0,02;106;-0,40;55;0,04;62;;3c
Roland Voigt - Ulrich Voigt;223;0,20;-0,01;0,21;0,17;110;  0,25;111;0,25;53;0,09;57;;2
Anja Alberti - Dieter Laidig;224;0,19;0,05;0,15;0,06;112;  0,23;112;-0,16;58;0,30;54;;2
Fred Wrobel - Stefan Häßler;96;0,18;0,24;-0,06;0,14;60;  -0,39;35;0,04;30;0,24;30;;2
Michael Haffer - Sven Krupp;176;0,17;0,13;0,04;0,28;88;  -0,20;88;0,39;48;0,15;40;;2
Volker Hund-Schulze - Benedikt Wiemeyer;192;0,17;0,10;0,08;0,18;93;  -0,02;99;0,24;39;0,13;54;;3c
Ulrich Kratz - Bernhard Sträter;192;0,17;0,28;-0,11;0,06;96;  -0,28;96;0,35;49;-0,23;47;;1
Annaig Della Monta - Dr. Alfred Berthold;128;0,17;0,04;0,13;0,34;68;  -0,10;60;0,24;31;0,42;37;;3a
Oliver Hevemeier - Wolfram von Alvensleben;288;0,17;0,11;0,06;-0,05;137;  0,15;150;-0,10;73;0,02;64;;2
Joachim Cappeller - Clemens Oelker;192;0,15;-0,05;0,20;0,25;83;  0,17;107;0,22;49;0,30;34;;3a
Andreas Schaper - Dr. Lutz Wienert;288;0,14;-0,16;0,30;0,50;148;  0,10;136;0,24;78;0,79;70;;3b
Theo Reinhard - Christoph Hauschild;160;0,14;0,40;-0,26;-0,46;78;  -0,06;80;-1,09;37;0,10;41;;3b
Mieke Plath - Dietmar Korb;255;0,13;0,09;0,04;-0,08;128;  0,17;125;-0,63;54;0,32;74;;3a
Florian Alter - Hartmut Kondoch;255;0,12;0,09;0,03;0,34;127;  -0,28;128;0,32;68;0,36;59;;1
Dr. Frank Pioch - Dr. Rolf Kühn;192;0,11;0,11;-0,01;0,47;97;  -0,50;94;-0,09;41;0,88;56;;1
Jacek Lesniczak - Cezary Krzeminski;255;0,06;-0,15;0,21;0,10;123;  0,31;131;0,04;59;0,15;64;;1
Martin Cantor - Omid Karimi;192;0,04;-0,11;0,16;0,54;107;  -0,32;85;0,65;57;0,41;50;;3b
Alexander Rapoport - Alexei Vinogradov;176;0,03;-0,04;0,08;-0,08;85;  0,23;90;-0,23;48;0,11;37;;3a
Klaus-Dieter Wacker - Ulrich Staber;192;0,02;-0,06;0,08;0,01;98;  0,17;93;0,29;51;-0,30;47;;3b
Paul Grünke - Roland Rohowsky;176;0,02;-0,08;0,10;0,03;93;  0,19;83;0,23;49;-0,20;44;;1
Fabian von Löbbecke - Dirk Sanne;160;0,02;0,07;-0,05;0,03;81;  -0,14;79;-0,21;46;0,35;35;;1
Thorsten Kootz - Ullrich Jahr;111;0,01;0,09;-0,08;0,08;56;  -0,23;55;-0,25;29;0,42;27;;3a
Robert Jaßniger - Christian Tobias Bolik;192;0,01;0,22;-0,22;-0,33;97;  -0,10;95;-0,31;32;-0,34;65;;3a
