Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Matthias Felmy - Thomas Gotard;208;1,03;0,58;0,45;0,48;104;  0,42;104;0,56;60;0,37;44;
Felix von Arnim - Heinrich Nowak;96;0,60;0,50;0,10;0,28;41;  -0,04;55;0,72;16;0,00;25;
Uwe Siedenburg - Christian Fröhner;96;0,57;0,62;-0,05;0,46;47;  -0,54;49;-0,78;20;1,38;27;
Fred Wrobel - Alexander Wodniansky;160;0,46;0,01;0,45;0,27;86;  0,66;74;0,66;37;-0,03;49;
Andreas Babsch - Ulrike Schreckenberger;144;0,44;0,49;-0,04;-0,35;70;  0,25;74;-0,31;31;-0,38;39;
Felix Zimmermann - Max Ellerbeck;256;0,43;0,26;0,17;0,29;134;  0,04;122;0,04;55;0,46;79;
Anja Alberti - Dieter Laidig;224;0,29;0,22;0,07;-0,08;112;  0,22;112;-0,26;58;0,12;54;
Marie Eggeling - Nikolas Bausback;144;0,28;0,49;-0,21;-0,14;77;  -0,29;67;0,33;45;-0,80;32;
Oliver Hevemeier - Wolfram von Alvensleben;288;0,21;0,18;0,02;-0,09;137;  0,13;150;-0,26;73;0,09;64;
Robert Maybach - Wolf Stahl;160;0,20;0,22;-0,02;0,14;92;  -0,23;68;0,18;38;0,10;54;
Fred Wrobel - Stefan Häßler;96;0,18;0,07;0,11;0,19;60;  -0,03;35;0,53;30;-0,15;30;
Michael Haffer - Sven Krupp;176;0,05;-0,02;0,07;0,20;88;  -0,06;88;0,28;48;0,09;40;
Klaus Amann - Dr. Carina Tetal;160;0,04;0,15;-0,11;-0,30;66;  0,03;93;-0,75;31;0,09;35;
Frank Röttger - Karl-Heinz Schmidt;192;0,04;-0,24;0,27;0,34;87;  0,22;104;0,24;44;0,44;43;
Roland Voigt - Ulrich Voigt;223;-0,01;-0,04;0,03;-0,05;110;  0,11;111;-0,23;53;0,12;57;
Rolf Beckmann - Wolfram Rach;192;-0,01;-0,11;0,09;0,18;94;  0,01;97;-0,04;46;0,39;48;
Mirja Schraverus-Meuer - Axel Meuer;223;-0,03;0,17;-0,19;-0,13;119;  -0,26;103;-0,43;59;0,16;60;
Nikolas Roemer - Oleg Galimov;208;-0,06;-0,15;0,09;0,20;98;  -0,00;110;0,34;52;0,04;46;
Kareen Schroeder - Dr. Josef Harsanyi;192;-0,14;-0,15;0,01;0,19;102;  -0,20;89;0,27;37;0,14;65;
Roland Kühnle - Ulrik Wittek;192;-0,26;-0,19;-0,07;-0,09;101;  -0,05;90;-0,02;58;-0,19;43;
Eckhard Renken - Franz-Jürgen Röttger;192;-0,27;-0,14;-0,13;-0,17;102;  -0,09;89;-0,30;51;-0,04;51;
Horst-Dieter Uhlmann - Peter Kazub;128;-0,33;0,09;-0,41;-0,10;73;  -0,85;53;-0,14;36;-0,07;37;
Jan van Oosten - Dr. Ansgar Seiter;192;-0,35;-0,26;-0,09;-0,15;98;  -0,03;93;-0,42;50;0,13;48;
Flora Zarkesch-Boeddeker - Robert Boeddeker;192;-0,44;-0,45;0,01;-0,20;108;  0,28;84;0,24;50;-0,58;58;
Andrea Reim - Pony Nehmert;96;-0,45;-0,43;-0,02;-0,01;50;  -0,04;45;-0,42;26;0,44;24;
Lukas Kautzsch - Arne Siegel;96;-0,48;-0,23;-0,25;-0,02;47;  -0,47;49;-0,40;27;0,48;20;
Udo Kreimeyer - Wolfgang Sonntag;192;-0,74;-0,49;-0,25;-0,38;76;  -0,17;116;-0,39;46;-0,35;30;
Yevgeniya Khanukova - Yves Mucha;288;-0,93;-0,65;-0,28;-0,26;127;  -0,30;161;-0,38;63;-0,15;64;
Horst-Dieter Uhlmann - Jerzy Kozyczkowski;96;-0,95;-0,81;-0,13;-0,36;38;  0,01;58;-0,84;16;-0,01;22;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Jazek Grzelczak - Jerzy Kozyczkowski;80;0,96;0,61;0,35;0,01;45;  0,78;35;-0,39;22;0,40;23;
Andrea Reim - Marie Eggeling;48;0,82;1,32;-0,50;-0,36;21;  -0,61;27;-0,83;11;0,17;10;
Gerhard Schiesser - Otto Ruthenberg;64;0,49;0,24;0,24;-0,07;38;  0,70;26;-0,15;24;0,08;14;
Marie Eggeling - Pony Nehmert;32;0,34;0,26;0,08;1,27;12;  -0,67;19;4,05;4;-0,12;8;
Dimitrij Nikolenkov - Andrea Haidorfer-Nikolenkov;64;0,34;0,57;-0,23;-0,33;31;  -0,13;33;-0,89;13;0,07;18;
Andrea Reim - Christian Fröhner;16;0,18;-0,49;0,67;0,25;3;  0,77;13;-;0;0,25;3;
Pony Nehmert - Christian Fröhner;64;0,16;0,55;-0,39;-0,72;42;  0,24;22;-0,91;16;-0,61;26;
Jazek Grzelczak - Adam Pawlowski;80;0,06;-0,08;0,14;0,08;32;  0,18;47;-0,14;16;0,31;16;
Gregor Sieber - Ulrike Schreckenberger;64;-0,22;-0,28;0,05;-0,21;39;  0,46;25;-0,26;25;-0,13;14;
Andrea Reim - Nedju Buchlev;64;-0,26;-0,40;0,14;-0,35;25;  0,46;39;0,62;15;-1,81;10;
Andrea Reim - Nikolas Bausback;16;-0,28;0,12;-0,40;-0,69;9;  -0,02;7;-1,35;4;-0,17;5;
Holger Hoffmann - Christian Dörmer;64;-0,63;-0,77;0,15;-0,09;29;  0,35;34;-0,42;15;0,26;14;

