Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Hartmut Brückner - Ralf Speckmann;192;0,85;0,52;0,33;0,24;95;  0,42;97;-0,07;44;0,50;51;
Michael Schröder - Stefan Vernon;192;0,66;0,53;0,13;-0,10;100;  0,39;91;-0,20;59;0,03;41;
Martin Hofmann - Bernd Engelhardt;191;0,47;0,38;0,09;0,30;97;  -0,12;94;0,13;44;0,43;53;
Peter Heckmann - Christian Glubrecht;208;0,47;0,37;0,10;0,06;98;  0,13;110;0,30;45;-0,14;53;
Andreas Visetti - Andrzej Konczak;287;0,46;0,14;0,32;0,36;152;  0,27;133;0,51;63;0,25;89;
Fikret Dogan - Cumhur Kirdemir;255;0,45;0,17;0,28;0,47;130;  0,08;125;0,25;67;0,72;63;
Elke Weber - Anne Gladiator;175;0,40;0,29;0,11;0,05;100;  0,18;75;-0,34;41;0,31;59;
Fried Weber - Jan Sohl;192;0,39;0,33;0,06;0,20;90;  -0,07;101;-0,17;37;0,46;53;
Dr. Andreas Spiegl - Dr. Bernhard Schirm;192;0,34;0,27;0,07;-0,03;94;  0,17;96;-0,20;49;0,16;45;
Christian Löwenstein - Daniel Buse;240;0,30;0,42;-0,12;-0,12;115;  -0,13;123;0,11;54;-0,32;61;
Annaig Della Monta - Dr. Alfred Berthold;128;0,26;0,03;0,23;0,30;68;  0,16;60;0,12;31;0,45;37;
Michael Hornbrook - Dr. Ilan Wolff;191;0,21;-0,01;0,22;0,14;102;  0,32;87;0,36;54;-0,10;48;
Joachim Cappeller - Clemens Oelker;192;0,16;0,01;0,14;0,05;83;  0,21;107;-0,14;49;0,33;34;
Stefan Behn - Bernd Engelhardt;96;0,15;0,21;-0,06;-0,58;43;  0,36;53;-0,04;31;-1,96;12;
Alexander Rapoport - Alexei Vinogradov;176;0,04;0,03;0,01;0,05;85;  -0,03;90;-0,02;48;0,15;37;
Hema Adhikary - Ingrid Gromann;128;0,02;0,32;-0,31;-0,46;68;  -0,13;60;-0,26;38;-0,71;30;
Robert Jaßniger - Christian Tobias Bolik;192;0,00;0,16;-0,16;-0,34;97;  0,03;95;-0,38;32;-0,33;65;
Thorsten Kootz - Ullrich Jahr;111;-0,04;-0,09;0,05;0,26;56;  -0,16;55;0,17;29;0,35;27;
Mieke Plath - Dietmar Korb;255;-0,07;-0,12;0,05;-0,05;128;  0,15;125;-0,60;54;0,35;74;
Frank-Onno Bettermann - Matthias Berghaus;192;-0,17;-0,59;0,42;0,27;85;  0,54;105;0,39;34;0,20;51;
Ingeborg Metzler - Bernd Metzler;208;-0,19;-0,17;-0,02;-0,25;106;  0,23;101;-0,39;45;-0,16;61;
Stefan Helling - Dr. Sören Hein;192;-0,22;-0,31;0,09;-0,02;106;  0,23;86;-0,07;56;0,03;50;
Jürgen Nordmann - Kai Timofejew;191;-0,37;-0,17;-0,20;-0,18;99;  -0,22;91;-0,04;47;-0,31;52;
Marian Powalla - Adam Griger;176;-0,45;-0,48;0,03;-0,07;81;  0,12;93;-0,08;45;-0,06;36;
Ria Kürschner - Dr. Anne Gromöller;143;-0,64;-0,30;-0,34;-0,32;68;  -0,36;75;-0,56;33;-0,09;35;
Eckhard Böhlke - Kathryn Herz;128;-0,64;-0,21;-0,43;-0,67;61;  -0,22;67;-0,77;31;-0,56;30;
Boris Yavlinsky - Dr. Gerhard Thurn;192;-0,78;-0,45;-0,33;-0,43;98;  -0,23;94;-0,51;32;-0,39;66;
Kerstin Sosnowski - Tobias Pickhard;191;-0,98;-0,69;-0,29;-0,18;99;  -0,42;91;-0,16;44;-0,19;55;
Andreas Bollhorst - Sabine Melcher;192;-1,10;-0,62;-0,49;-0,65;90;  -0,34;101;-0,52;43;-0,76;47;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Mieke Plath - Cumhur Kirdemir;16;0,59;0,15;0,45;-1,39;9;  2,82;7;-2,08;4;-0,85;5;
Merle Schneeweis - Sabine Melcher;32;0,58;0,33;0,26;0,62;17;  -0,16;15;0,87;13;-0,19;4;
Ullrich Jahr - Yordan Boychev;80;0,42;0,37;0,05;-0,07;36;  0,15;43;-0,39;18;0,25;18;
Fikret Dogan - Mieke Plath;16;0,34;0,29;0,05;-0,40;6;  0,32;10;0,04;3;-0,85;3;
Elke Weber - Fried Weber;16;0,10;-0,09;0,19;0,04;8;  0,35;8;0,05;7;0,00;1;
Fikret Dogan - Dietmar Korb;16;0,06;0,77;-0,71;0,10;8;  -1,52;8;0,07;4;0,13;4;
Kerstin Sosnowski - Dr. Thorsten Upmann;64;-0,52;-0,08;-0,44;-0,28;34;  -0,63;30;-0,67;23;0,53;11;
Cumhur Kirdemir - Dietmar Korb;16;-1,07;-0,04;-1,03;-0,78;8;  -1,46;7;0,88;3;-1,77;5;
Merle Schneeweis - Dr. Thorsten Upmann;64;-1,23;-0,53;-0,70;-0,88;29;  -0,56;35;-0,19;16;-1,72;13;
Kerstin Sosnowski - Merle Schneeweis;32;-2,01;-1,60;-0,41;-0,61;13;  -0,29;18;0,37;3;-0,90;10;

