Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Ralph Vitters - Axel Sawal;96;0,87;0,58;0,29;0,36;48;  0,22;48;0,36;28;0,36;20;
Heini Berger - Peter Zelnik;96;0,83;0,58;0,26;0,22;55;  0,30;41;0,21;25;0,23;30;
Theo Reinhard - Thomas Neuhauser;96;0,70;0,46;0,24;-0,04;45;  0,48;51;0,16;21;-0,21;24;
Thomas Martin - Christine Kraus;176;0,63;0,36;0,26;0,24;96;  0,30;80;0,13;43;0,32;53;
Matthias Stenneken - Bernd Gahntz;96;0,57;0,49;0,09;0,11;48;  0,07;48;-0,38;26;0,68;22;
Fabian Hupe - Jascha Garre;128;0,45;-0,01;0,46;0,48;66;  0,44;62;0,47;30;0,48;36;
Erhard Sternheimer - Andreas Böhmer;240;0,44;0,19;0,26;0,38;106;  0,16;134;0,31;54;0,45;52;
Katja Dopheide - Ralph Vitters;96;0,31;-0,17;0,48;0,24;42;  0,69;53;0,14;21;0,33;21;
Beatrix Wodniansky - Werner Kühn;128;0,30;-0,11;0,40;0,10;54;  0,63;74;0,11;32;0,08;22;
Heini Berger - Axel Sawal;96;0,29;0,35;-0,06;0,04;57;  -0,21;38;-0,07;24;0,12;33;
Tobias Förster - Dr. Claus Neidhardt;224;0,26;0,19;0,07;0,01;132;  0,16;92;-0,23;72;0,30;60;
Norbert Stübinger - Ulf Bormann;192;0,23;0,14;0,09;0,21;90;  -0,02;102;-0,07;50;0,55;40;
Andreas Schaper - Dr. Lutz Wienert;288;0,16;-0,15;0,31;0,37;148;  0,26;136;0,13;78;0,64;70;
Theo Reinhard - Christoph Hauschild;160;0,15;0,34;-0,19;-0,40;78;  0,01;80;-0,63;37;-0,19;41;
Klaus-Dieter Wacker - Ulrich Staber;192;0,09;0,10;-0,00;-0,13;98;  0,12;93;0,07;51;-0,34;47;
Michael Pauly - Dr. Bernhard Kopp;192;0,05;0,14;-0,09;-0,23;89;  0,03;102;-0,47;52;0,10;37;
Lukas Schenk - Martin Stoszek;128;-0,03;0,23;-0,26;0,11;66;  -0,65;62;0,12;32;0,09;34;
Michael Thomsen - Dr. Gerben Dirksen;208;-0,07;0,29;-0,36;-0,36;104;  -0,37;103;-0,08;51;-0,62;53;
Martin Cantor - Omid Karimi;192;-0,08;-0,19;0,12;0,47;107;  -0,34;85;0,53;57;0,42;50;
Dr. Wolfgang Walenta - Hans Ott;128;-0,08;0,06;-0,14;-0,17;68;  -0,11;58;-0,07;44;-0,35;24;
Ralph Vitters - Bernd Gahntz;96;-0,08;-0,08;0,00;0,35;42;  -0,29;52;-0,05;20;0,72;22;
Ilia Chapiro - Ireneus Kokocinski;288;-0,08;-0,13;0,05;0,19;159;  -0,12;128;-0,12;66;0,41;93;
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;-0,08;-0,06;-0,03;0,17;145;  -0,22;142;0,58;74;-0,26;71;
Dr. Walter Höger - Petra von Malchus;176;-0,22;0,05;-0,26;-0,28;83;  -0,26;92;0,12;41;-0,67;42;
Peter Klein - Walter Sorger;288;-0,23;-0,08;-0,16;0,10;149;  -0,45;136;0,35;74;-0,15;75;
Horst Hübner - Dr. Peer Köster;224;-0,29;-0,32;0,02;0,24;105;  -0,17;119;0,05;50;0,41;55;
Matthias Voigt - Dr. Gerold Wieber;160;-0,30;-0,29;-0,01;-0,16;81;  0,15;78;-0,09;43;-0,24;38;
Dr. Herbert Thieme - Dr. Klaus Krtschil;144;-0,33;0,01;-0,34;-0,12;70;  -0,54;74;0,12;39;-0,43;31;
Niko Forchert - Dr. Silvia Klasberg-Brawanski;160;-0,41;-0,31;-0,11;0,22;71;  -0,36;89;-0,14;36;0,58;35;
Dr. Wolfgang Walenta - Rosemarie Balkheimer;128;-0,58;-0,37;-0,21;-0,62;61;  0,16;67;-1,49;25;-0,01;36;
Siegfried Reck - Willi Neidow;208;-0,58;-0,27;-0,32;-0,39;84;  -0,26;123;-0,37;42;-0,42;42;
Ellen Sieprath - Lothar Schmidt;192;-0,77;-0,62;-0,15;0,06;91;  -0,33;101;-0,48;40;0,47;51;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Thomas Neuhauser - Dr. Regine Neuhauser-Riess;16;2,04;1,35;0,69;0,83;10;  0,44;6;0,17;4;1,27;6;
Hans Ott - Lothar Schmidt;32;1,30;1,44;-0,14;0,39;19;  -0,91;13;0,59;9;0,22;10;
Thomas Neuhauser - Christoph Hauschild;16;0,31;-1,11;1,41;2,92;8;  -0,10;8;0,79;6;9,32;2;
Tobias Förster - Dr. Klaus Krtschil;32;0,11;0,76;-0,65;-0,13;18;  -1,32;14;-0,11;6;-0,15;12;
Erhard Sternheimer - Dr. Regine Neuhauser-Riess;48;-0,72;-0,73;0,02;0,62;23;  -0,54;25;1,04;11;0,24;12;
Ellen Sieprath - Rosemarie Balkheimer;64;-0,86;-0,76;-0,11;-0,37;27;  0,09;36;-0,20;10;-0,47;17;
Dr. Gerold Wieber - Dr. Klaus Krtschil;16;-0,98;0,26;-1,24;-1,79;11;  -0,03;5;-0,07;4;-2,77;7;
Lothar Schmidt - Rosemarie Balkheimer;32;-1,80;-0,95;-0,85;-1,23;13;  -0,65;17;-2,23;4;-0,79;9;

