Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Frederic Boldt - Roland Watzdorf;96;0,64;0,21;0,43;0,08;45;  0,74;51;0,15;23;0,01;22;
Frederic Boldt - Raffael Braun;192;0,58;0,39;0,19;0,05;102;  0,35;90;-0,16;54;0,29;48;
Klaus Appelt - Anneliese Daig;224;0,49;0,20;0,30;0,11;108;  0,47;116;-0,03;53;0,24;55;
Ralf-D, Zepelin - André Marx;288;0,38;0,44;-0,05;0,05;159;  -0,18;129;0,05;86;0,05;73;
Ingrid Stoeckmann - Burkhard Thamm;127;0,38;0,06;0,32;0,26;66;  0,38;61;-0,27;32;0,76;34;
Gerda Heinrichs - Karin Wenning;224;0,37;0,19;0,19;0,11;103;  0,25;121;-0,24;54;0,50;49;
Herbert Vetter - Bernhard Landwehr;191;0,33;0,10;0,22;0,35;99;  0,09;92;0,65;53;0,00;46;
Hans-Joachim Prieß - Bharat Gurbaxani;288;0,31;0,20;0,11;0,10;144;  0,12;144;-0,08;79;0,34;65;
Klaus Spiegelberg - Asok Lean;191;0,31;0,41;-0,10;-0,19;95;  -0,01;96;-0,37;41;-0,05;54;
Ulrich Trepnau - Dr. Ralf Schlotmann;192;0,28;0,21;0,07;0,06;91;  0,08;100;-0,18;41;0,25;50;
Achim Greune - Diana Farken;223;0,25;0,43;-0,18;-0,29;117;  -0,05;106;-0,66;55;0,03;62;
Helmut Lux - Ulrich Schweding;191;0,23;0,23;-0,00;0,26;106;  -0,34;85;-0,19;66;1,02;40;
Lars Hüllen - Stefan Hinck;192;0,18;0,19;-0,01;0,08;104;  -0,13;88;0,17;47;0,01;57;
Volker Hund-Schulze - Benedikt Wiemeyer;192;0,14;0,12;0,03;0,14;93;  -0,08;99;0,06;39;0,19;54;
Gabi Schneider - Alfried Bocker;160;0,03;0,23;-0,20;-0,00;77;  -0,39;83;-0,51;36;0,45;41;
Lev Koss - Daniel Kogan;192;0,01;0,10;-0,09;0,37;103;  -0,61;89;0,58;55;0,13;48;
Sabine Würdemann - Barbara von Kleist;192;-0,01;-0,38;0,38;-0,02;94;  0,76;98;0,05;48;-0,09;46;
Ludger Silva - Dr. Christian Döbig;288;-0,03;-0,16;0,13;0,29;140;  -0,02;148;0,41;71;0,18;69;
Uwe Schoolmann - Dr. Annikki Schoolmann;191;-0,12;0,30;-0,42;-0,54;108;  -0,26;82;-0,51;65;-0,59;43;
Helga Richter - Uwe Breusch;192;-0,13;-0,04;-0,08;-0,07;87;  -0,09;105;-0,42;43;0,26;44;
Andreas Schiffmann - Darius Schiffmann;288;-0,16;-0,24;0,07;0,13;151;  0,00;137;0,44;81;-0,23;70;
Henning Gärner - Rainer Twele;288;-0,41;-0,37;-0,04;-0,25;136;  0,14;152;-0,12;86;-0,46;50;
Gerald Voigt - Lars Christiansen;192;-0,47;-0,37;-0,10;-0,07;83;  -0,13;109;-0,52;49;0,59;34;
Helga Stoermer - Lutz Narajek;128;-0,65;-0,82;0,17;0,09;62;  0,24;66;-0,48;30;0,62;32;
Anke Blumenberg - Ute Struthoff;192;-0,81;-0,53;-0,28;-0,30;98;  -0,26;94;-0,47;49;-0,13;49;
Helga Stoermer - Petra Eleftherakis;96;-0,88;-0,36;-0,52;-0,58;46;  -0,46;50;-0,95;15;-0,40;31;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Ingo Schmid - Martin Müller;48;-0,07;-0,29;0,21;0,00;24;  0,43;24;0,93;14;-1,30;10;
Lutz Narajek - Martin Müller;80;-0,23;-0,22;-0,00;0,18;48;  -0,27;32;0,03;26;0,36;22;
Antje Berghaus - Petra Eleftherakis;48;-0,24;-0,47;0,23;-0,30;20;  0,62;28;-1,23;9;0,45;11;
Helga Stoermer - Antje Berghaus;16;-0,28;0,15;-0,43;-1,16;9;  0,51;7;-2,71;3;-0,38;6;
Tanja Lutz-Löppenberg - Ying Cheng;64;-0,40;0,13;-0,53;0,31;30;  -1,27;34;-0,26;12;0,68;18;
Frank Düllmann - Tanja Lutz-Löppenberg;64;-0,46;-0,53;0,07;-0,22;27;  0,28;37;0,25;10;-0,49;17;
Martin Müller - Petra Eleftherakis;80;-0,77;-0,37;-0,40;-0,18;38;  -0,60;42;0,29;17;-0,56;21;
Ingo Schmid - Lutz Narajek;80;-1,08;-0,71;-0,37;-0,32;32;  -0,40;48;-0,12;12;-0,45;20;
Frank Düllmann - Ying Cheng;64;-1,31;-0,72;-0,58;-0,66;31;  -0,50;33;-1,21;19;0,21;12;

