                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
WILLARD Sylvie - CRONIER Benedicte                     |  240   0.93 |  0.65   0.28 |  0.11 (120)   0.45 (118) |  0.50 ( 57)  -0.24 ( 63) |  0.00 ( 67)   0.16 ( 51)   0.38 (118) |
SUN Ming - WANG Hongli                                 |  240   0.80 |  0.23   0.57 |  0.83 (128)   0.28 (110) |  1.04 ( 53)   0.69 ( 75) | -0.53 ( 50)   0.09 ( 60)   0.47 (110) |
WANG Wen Fei - LIU Yi Qian                             |  224   0.78 |  0.56   0.21 |  0.30 (105)   0.14 (117) |  0.12 ( 48)   0.46 ( 57) |  0.39 ( 61)  -0.16 ( 56)   0.01 (117) |
ALMIRALL Marta - ALMIRALL Nuria                        |  256   0.68 |  0.27   0.42 |  0.39 (127)   0.45 (126) |  0.23 ( 61)   0.54 ( 66) |  0.15 ( 68)  -0.11 ( 58)   0.43 (126) |
DEAS Lynn - PALMER Beth                                |  272   0.60 |  0.17   0.43 |  0.51 (130)   0.36 (141) |  0.60 ( 68)   0.41 ( 62) |  0.05 ( 82)  -0.15 ( 59)   0.39 (141) |
VON ARNIM Daniela - AUKEN Sabine                       |  288   0.58 |  0.35   0.22 |  0.08 (159)   0.40 (129) |  0.20 ( 82)  -0.04 ( 77) | -0.12 ( 73)  -0.01 ( 56)   0.47 (129) |
SPRUNG Jo Ann - GOLDBERG Connie                        |  240   0.57 |  0.28   0.29 |  0.27 (119)   0.31 (119) |  0.12 ( 66)   0.46 ( 53) | -0.04 ( 55)   0.15 ( 64)   0.25 (119) |
YAN Ru - DONG Yongling                                 |  208   0.53 |  0.34   0.20 |  0.01 (105)   0.39 (103) |  0.16 ( 59)  -0.20 ( 46) |  0.07 ( 44)   0.08 ( 59)   0.32 (103) |
ANDERSSON Pia - RIMSTEDT Cecilia                       |  240   0.52 |  0.11   0.41 |  0.53 (121)   0.29 (116) |  0.50 ( 64)   0.56 ( 57) | -0.31 ( 58)   0.15 ( 58)   0.36 (116) |
BESSIS Veronique - HUGON Elisabeth                     |  208   0.48 |  0.15   0.33 |  0.53 (107)   0.12 ( 98) |  0.16 ( 50)   0.84 ( 57) | -0.16 ( 47)  -0.13 ( 51)   0.27 ( 98) |
FERLAZZO Caterina - MANARA Gabriella                   |  240   0.44 |  0.25   0.19 |  0.15 (111)   0.22 (128) | -0.04 ( 50)   0.30 ( 61) |  0.20 ( 57)  -0.32 ( 71)   0.31 (128) |
SANBORN Kerri - LEVITINA Irina                         |  272   0.39 |  0.16   0.24 |  0.25 (136)   0.22 (135) |  0.68 ( 55)  -0.03 ( 81) |  0.10 ( 73)   0.06 ( 62)   0.14 (135) |
SUTHERLIN Peggy - MANCUSO Renee                        |  192   0.38 |  0.20   0.18 | -0.08 (118)   0.59 ( 73) | -0.10 ( 50)  -0.06 ( 68) |  0.08 ( 42)  -0.21 ( 31)   0.63 ( 73) |
