Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HARALDSSON Sigurbjorn - MAGNUSSON Magnus Eidur;260;0,95;0,46;0,48;0,42;133;  0,55;126;0,64;71;0,17;62;0,47;60;0,39;66;0,12;126;
VINCIGUERRA Herve - EISENBERG Eric;240;0,92;0,48;0,43;0,50;129;  0,36;110;0,66;69;0,33;60;-0,19;60;-0,42;50;0,65;110;
BOCCHI Norberto - MADALA Agustin;240;0,77;-0,04;0,81;0,54;132;  1,14;108;0,38;70;0,71;62;0,56;54;0,42;54;0,65;108;
GROMOELLER Michael - KIRMSE Andreas;240;0,75;0,16;0,58;0,18;111;  0,93;129;0,33;54;0,03;57;0,43;60;0,29;69;0,57;129;
ZORIC Vedran - BOREVKOVIC Goran;239;0,66;0,59;0,06;0,01;120;  0,12;118;0,03;62;-0,01;58;0,46;53;0,35;65;-0,29;118;
INGIMARSSON Throstur - SIGURJONSSON Julius;199;0,61;0,60;0,02;0,61;108;  -0,71;89;1,04;47;0,28;61;-0,01;47;-0,58;42;-0,43;89;
KURANOGLU Mehmet - UYSAL Aydin;200;0,60;0,48;0,11;0,27;93;  -0,02;104;0,52;45;0,03;48;0,25;53;-0,16;51;-0,07;104;
ABOU CHANAB Bachar - PIEDRA Fernando;240;0,58;0,26;0,32;0,23;101;  0,39;138;0,21;44;0,25;57;-0,03;76;0,18;62;0,32;138;
VERSACE Alfredo - LAURIA Lorenzo;240;0,56;0,12;0,44;0,50;110;  0,39;129;0,42;67;0,64;43;-0,13;60;0,06;69;0,42;129;
JANSONS Ugis - SMILGAJS Andris;260;0,45;0,19;0,26;0,12;126;  0,40;132;0,02;60;0,21;66;0,22;64;0,15;68;0,21;132;
MARASHEV Vladimir - TSONCHEV Ivan;220;0,43;0,16;0,27;-0,06;118;  0,65;102;0,24;59;-0,36;59;0,46;58;0,78;44;0,05;102;
KARAIVANOV Kalin - TRENDAFILOV Roumen;258;0,43;-0,17;0,60;0,56;122;  0,65;135;0,61;68;0,50;54;0,77;66;-0,15;69;0,35;135;
CHEMLA Paul - LEVY Alain;240;0,40;0,20;0,20;-0,07;120;  0,47;118;0,08;48;-0,17;72;0,24;54;0,10;64;0,30;118;
CHARLSEN Thomas - HOFTANISKA Thor Erik;259;0,36;0,23;0,13;0,13;142;  0,14;115;0,39;72;-0,14;70;0,17;60;-0,32;55;0,20;115;
JONSSON Thorlakur - BALDURSSON Jon;260;0,35;0,32;0,03;0,22;129;  -0,15;130;0,58;51;-0,02;78;-0,02;60;-0,02;70;-0,13;130;
ZORLU Nafiz - ASSAEL Salvador;260;0,34;0,12;0,22;0,51;148;  -0,16;112;0,86;76;0,14;72;0,14;52;-0,02;60;-0,22;112;
HARANGOZO Laszlo - SZALAY Gyorgy;279;0,33;0,23;0,10;-0,18;150;  0,43;127;0,10;68;-0,41;82;-0,30;49;0,00;78;0,54;127;
KANDEMIR Ismail - KOLATA Suleyman;259;0,32;0,46;-0,14;-0,33;120;  0,02;136;-0,56;55;-0,15;65;0,02;73;0,32;63;-0,13;136;
MAGNUSSON Stephan - NIKOLENKOV Dmitrij;239;0,30;0,37;-0,08;0,55;124;  -0,76;114;0,71;64;0,38;60;-0,12;57;-0,15;57;-0,62;114;
VOLCKER Frederic - MARI Christian;240;0,30;0,14;0,16;0,36;117;  -0,03;120;0,33;59;0,39;58;0,07;63;-0,13;57;-0,01;120;
