                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
SESTER Sven - LEVENKO Vassili                          |  239   0.89 |  0.56   0.33 |  0.54 (118)   0.12 (120) |  0.22 ( 57)   0.85 ( 61) | -0.13 ( 53)   0.11 ( 67)   0.11 (120) |
HERBST Ilan - HERBST Ophir                             |  260   0.76 |  0.15   0.61 |  0.47 (153)   0.82 (106) |  0.63 ( 84)   0.27 ( 69) | -0.02 ( 61)   0.60 ( 45)   0.58 (106) |
FALLENIUS Bjorn - FREDIN Peter                         |  260   0.70 |  0.57   0.13 |  0.09 (114)   0.17 (146) |  0.28 ( 59)  -0.12 ( 55) |  0.06 ( 62)   0.17 ( 84)   0.04 (146) |
KALITA Jacek - KOTOROWICZ Krzysztof                    |  200   0.69 |  0.34   0.34 |  0.39 ( 97)   0.29 (103) |  0.63 ( 53)   0.10 ( 44) |  0.19 ( 53)  -0.16 ( 50)   0.27 (103) |
JANSMA Jan - PAULISSEN Gert-Jan                        |  239   0.64 |  0.39   0.26 |  0.42 (128)   0.07 (110) |  0.75 ( 62)   0.11 ( 66) | -0.12 ( 59)   0.05 ( 51)   0.11 (110) |
ZACK Yaniv - BAREL Michael                             |  199   0.64 |  0.52   0.12 |  0.27 (100)  -0.03 ( 97) |  0.05 ( 47)   0.46 ( 53) |  0.11 ( 53)   0.20 ( 44)  -0.18 ( 97) |
GINOSSAR Eldad - PACHTMAN Ron                          |  260   0.63 |  0.26   0.38 |  0.42 (128)   0.34 (130) |  0.12 ( 73)   0.81 ( 55) |  0.17 ( 55)   0.35 ( 75)   0.07 (130) |
BURAS Krzysztof - NARKIEWICZ Grzegorz                  |  280   0.59 |  0.23   0.36 |  0.47 (152)   0.23 (127) |  0.39 ( 76)   0.56 ( 76) | -0.31 ( 62)   0.34 ( 65)   0.20 (127) |
LUKS Leo - NABER Lauri                                 |  240   0.53 |  0.46   0.08 | -0.20 (122)   0.37 (116) | -0.04 ( 56)  -0.35 ( 66) |  0.05 ( 55)  -0.03 ( 61)   0.37 (116) |
BERTHEAU Peter - NYSTROM Fredrik                       |  260   0.53 |  0.20   0.33 |  0.61 (144)  -0.02 (115) |  0.68 ( 65)   0.55 ( 79) |  0.27 ( 57)  -0.14 ( 58)  -0.08 (115) |
