                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BOCCHI Norberto - MADALA Agustin                       |  240   0.83 |  0.04   0.79 |  0.55 (132)   1.09 (108) |  0.42 ( 70)   0.69 ( 62) |  0.52 ( 54)   0.39 ( 54)   0.63 (108) |
VINCIGUERRA Herve - EISENBERG Eric                     |  240   0.83 |  0.41   0.42 |  0.48 (129)   0.36 (110) |  0.64 ( 69)   0.29 ( 60) | -0.18 ( 60)  -0.30 ( 50)   0.59 (110) |
HARALDSSON Sigurbjorn - MAGNUSSON Magnus Eidur         |  260   0.82 |  0.37   0.45 |  0.38 (133)   0.53 (126) |  0.55 ( 71)   0.20 ( 62) |  0.45 ( 60)   0.35 ( 66)   0.14 (126) |
GROMOELLER Michael - KIRMSE Andreas                    |  240   0.70 |  0.20   0.50 |  0.13 (111)   0.83 (129) |  0.29 ( 54)  -0.03 ( 57) |  0.37 ( 60)   0.26 ( 69)   0.51 (129) |
INGIMARSSON Throstur - SIGURJONSSON Julius             |  199   0.64 |  0.62   0.02 |  0.56 (108)  -0.63 ( 89) |  0.97 ( 47)   0.24 ( 61) |  0.00 ( 47)  -0.53 ( 42)  -0.39 ( 89) |
ZORIC Vedran - BOREVKOVIC Goran                        |  239   0.62 |  0.56   0.06 | -0.00 (120)   0.12 (118) |  0.03 ( 62)  -0.03 ( 58) |  0.42 ( 53)   0.33 ( 65)  -0.25 (118) |
VERSACE Alfredo - LAURIA Lorenzo                       |  240   0.55 |  0.13   0.43 |  0.50 (110)   0.37 (129) |  0.45 ( 67)   0.58 ( 43) | -0.09 ( 60)   0.04 ( 69)   0.39 (129) |
ABOU CHANAB Bachar - PIEDRA Fernando                   |  240   0.52 |  0.20   0.32 |  0.20 (101)   0.41 (138) |  0.17 ( 44)   0.22 ( 57) | -0.05 ( 76)   0.17 ( 62)   0.36 (138) |
KARAIVANOV Kalin - TRENDAFILOV Roumen                  |  258   0.50 | -0.08   0.58 |  0.56 (122)   0.60 (135) |  0.58 ( 68)   0.53 ( 54) |  0.65 ( 66)  -0.12 ( 69)   0.34 (135) |
KURANOGLU Mehmet - UYSAL Aydin                         |  200   0.50 |  0.41   0.09 |  0.22 ( 93)  -0.02 (104) |  0.44 ( 45)   0.02 ( 48) |  0.18 ( 53)  -0.14 ( 51)  -0.05 (104) |
JANSONS Ugis - SMILGAJS Andris                         |  260   0.40 |  0.14   0.26 |  0.14 (126)   0.37 (132) |  0.11 ( 60)   0.18 ( 66) |  0.20 ( 64)   0.13 ( 68)   0.21 (132) |
MARASHEV Vladimir - TSONCHEV Ivan                      |  220   0.33 |  0.10   0.23 | -0.04 (118)   0.56 (102) |  0.19 ( 59)  -0.28 ( 59) |  0.40 ( 58)   0.68 ( 44)   0.04 (102) |
KANDEMIR Ismail - KOLATA Suleyman                      |  259   0.33 |  0.45  -0.13 | -0.28 (120)   0.00 (136) | -0.51 ( 55)  -0.08 ( 65) |  0.02 ( 73)   0.24 ( 63)  -0.12 (136) |
CHEMLA Paul - LEVY Alain                               |  240   0.32 |  0.13   0.20 | -0.04 (120)   0.44 (118) |  0.08 ( 48)  -0.13 ( 72) |  0.24 ( 54)   0.09 ( 64)   0.28 (118) |
MAGNUSSON Stephan - NIKOLENKOV Dmitrij                 |  239   0.31 |  0.34  -0.03 |  0.52 (124)  -0.63 (114) |  0.69 ( 64)   0.35 ( 60) | -0.11 ( 57)  -0.13 ( 57)  -0.51 (114) |
ZORLU Nafiz - ASSAEL Salvador                          |  260   0.31 |  0.10   0.21 |  0.45 (148)  -0.11 (112) |  0.77 ( 76)   0.11 ( 72) |  0.11 ( 52)   0.02 ( 60)  -0.17 (112) |
JONSSON Thorlakur - BALDURSSON Jon                     |  260   0.29 |  0.28   0.01 |  0.18 (129)  -0.16 (130) |  0.53 ( 51)  -0.05 ( 78) | -0.05 ( 60)  -0.01 ( 70)  -0.13 (130) |
CHARLSEN Thomas - HOFTANISKA Thor Erik                 |  259   0.28 |  0.19   0.09 |  0.08 (142)   0.10 (115) |  0.32 ( 72)  -0.17 ( 70) |  0.13 ( 60)  -0.31 ( 55)   0.18 (115) |
PIEKAREK Josef - SMIRNOV Alexander                     |  240   0.28 |  0.07   0.21 |  0.09 (122)   0.34 (117) |  0.26 ( 60)  -0.08 ( 62) |  0.05 ( 63)   0.46 ( 54)   0.10 (117) |
VOLCKER Frederic - MARI Christian                      |  240   0.27 |  0.14   0.13 |  0.35 (117)  -0.08 (120) |  0.29 ( 59)   0.41 ( 58) |  0.04 ( 63)  -0.15 ( 57)  -0.03 (120) |
BERSET Ole - EKREN Bjorn Olav                          |  200   0.22 |  0.04   0.18 |  0.28 (108)   0.07 ( 89) | -0.16 ( 54)   0.72 ( 54) | -0.31 ( 41)   0.22 ( 48)   0.09 ( 89) |
HARANGOZO Laszlo - SZALAY Gyorgy                       |  279   0.20 |  0.13   0.07 | -0.16 (150)   0.35 (127) |  0.09 ( 68)  -0.38 ( 82) | -0.29 ( 49)   0.02 ( 78)   0.45 (127) |
BONEV Ilko - BATOV Vasil                               |  238   0.18 |  0.13   0.05 |  0.21 (109)  -0.08 (128) |  0.03 ( 43)   0.32 ( 66) | -0.04 ( 70)  -0.31 ( 58)   0.08 (128) |
DUBOIN Giorgio - SEMENTA Antonio                       |  240   0.16 |  0.06   0.10 |  0.22 ( 97)   0.02 (138) |  0.59 ( 48)  -0.14 ( 49) |  0.38 ( 67)  -0.15 ( 71)  -0.09 (138) |
JONES Dafydd - JONES Gary                              |  200   0.12 |  0.20  -0.08 |  0.00 (106)  -0.18 ( 94) | -0.15 ( 54)   0.16 ( 52) |  0.12 ( 43)   0.04 ( 51)  -0.25 ( 94) |
ALTMAN Boris - RADISIC Goran                           |  219   0.10 |  0.17  -0.08 | -0.46 (105)   0.28 (112) | -0.55 ( 48)  -0.38 ( 57) | -0.00 ( 53)   0.15 ( 59)   0.21 (112) |
