Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
D'OVIDIO Catherine - GAVIARD Daniele;380;0,87;0,35;0,53;0,35;190;  0,71;187;0,13;93;0,56;97;0,20;97;0,16;90;0,53;187;
PASMAN Jet - SIMONS Anneke;360;0,83;0,46;0,37;0,57;186;  0,16;172;0,58;91;0,55;95;0,07;87;-0,27;85;0,26;172;
AUKEN Sabine - VON ARNIM Daniela;519;0,81;0,45;0,36;0,46;297;  0,22;219;0,40;159;0,53;138;-0,02;103;0,14;116;0,16;219;
SMEDEREVAC Jovanka - WEIGKRICHT Terry;300;0,72;0,41;0,31;0,35;149;  0,27;151;0,39;83;0,31;66;0,05;76;-0,12;75;0,31;151;
RIMSTEDT Cecilia - SIVELIND Sara;420;0,65;0,24;0,41;0,52;212;  0,31;203;0,36;112;0,71;100;0,14;111;0,20;92;0,15;203;
STOCKDALE Susan - BROWN Fiona;339;0,64;0,31;0,33;0,11;170;  0,55;168;-0,11;87;0,35;83;0,11;84;0,16;84;0,41;168;
RIMSTEDT Sandra - SJOBERG Emma;380;0,54;0,37;0,17;0,11;185;  0,23;194;-0,21;90;0,40;95;0,07;99;-0,01;95;0,19;194;
SARNIAK Anna - BREWIAK Grazyna;400;0,53;0,48;0,06;-0,15;196;  0,26;201;-0,19;95;-0,11;101;0,05;105;-0,01;96;0,24;201;
FUGLESTAD Ann Karin - HARDING Marianne;460;0,51;0,34;0,17;0,48;211;  -0,09;249;0,49;117;0,46;94;0,04;123;-0,01;126;-0,10;249;
WILLARD Sylvie - CRONIER Benedicte;380;0,50;0,39;0,11;0,21;194;  0,01;182;0,31;96;0,11;98;0,03;89;-0,05;93;0,02;182;
ZOCHOWSKA Joanna - BESSIS Veronique;320;0,47;-0,06;0,53;0,45;158;  0,61;161;0,32;87;0,60;71;-0,04;80;0,28;81;0,50;161;
FERLAZZO Caterina - MANARA Gabriella;358;0,45;0,05;0,40;0,24;181;  0,57;174;-0,12;76;0,50;105;0,03;86;0,03;88;0,54;174;
SMITH Nicola - BROCK Sally;340;0,44;0,09;0,35;0,27;166;  0,42;173;0,19;86;0,37;80;0,22;76;0,40;97;0,10;173;
ANDERSSON Pia - LARSSON Jessica;279;0,39;0,02;0,37;0,28;130;  0,45;149;0,44;73;0,07;57;0,04;84;0,02;65;0,42;149;
SENIOR Nevena - DHONDY Heather;400;0,38;0,12;0,26;0,21;206;  0,32;191;0,25;103;0,17;103;0,10;105;0,11;86;0,21;191;
MICHIELSEN Marion - DEKKERS Laura;360;0,38;-0,08;0,46;0,67;164;  0,29;193;0,58;76;0,74;88;0,21;91;0,02;102;0,18;193;
PONOMAREVA Tatiana - GROMOVA Victoria;359;0,37;0,20;0,17;0,09;179;  0,27;176;-0,07;88;0,24;91;0,14;90;0,39;86;0,01;176;
POPLILOV Matilda - LEVIT-PORAT Ruth;440;0,36;0,30;0,06;0,16;216;  -0,03;221;-0,03;98;0,33;118;-0,10;118;0,16;103;-0,05;221;
