Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Ulrich Kratz - Bernhard Sträter;207;0,72;0,28;0,45;0,44;109;  0,46;97;0,36;48;0,51;61;
Uwe Breusch - Andreas Gondorf;191;0,56;0,50;0,06;0,58;95;  -0,46;95;0,74;49;0,41;46;
Marc Schomann - Michael Tomski;286;0,52;0,28;0,24;0,50;137;  -0,01;149;0,65;76;0,32;61;
Petra von Malchus - Dr. Walter Höger;176;0,43;0,44;-0,01;0,07;79;  -0,07;97;-0,19;37;0,30;42;
Stefan Back - Heinrich Nowak;112;0,37;0,37;-0,00;0,09;57;  -0,10;55;-0,62;23;0,57;34;
Elke Weber - Fried Weber;208;0,33;0,58;-0,24;0,05;116;  -0,61;92;-0,23;60;0,35;56;
Stefan Häßler - Fred Wrobel;254;0,26;0,26;-0,00;-0,14;128;  0,14;126;-0,18;61;-0,11;67;
Dr. Michael Schneider - Gisela Smykalla;190;0,25;0,43;-0,18;-0,16;85;  -0,20;104;-0,20;41;-0,11;44;
Dr. Jean Georgiadis - Frank Reichelt;192;0,24;0,16;0,08;0,10;109;  0,05;83;0,07;59;0,13;50;
Josias Prinz zu Waldeck - Hartmut Kondoch;192;0,10;0,15;-0,05;-0,08;89;  -0,02;103;0,12;42;-0,26;47;
Andeas Böhmer - Erhard Sternheimer;191;0,07;0,23;-0,16;-0,09;95;  -0,23;94;0,44;44;-0,54;51;
Rainer Herrmann - Detlev Kröning;288;0,04;-0,10;0,14;0,16;158;  0,12;129;-0,02;84;0,37;74;
Susanne Kriftner - Andrea Reim;160;0,04;-0,05;0,09;0,12;75;  0,06;85;0,54;37;-0,29;38;
Dr. Wolfgang Walenta - Hans Ott;128;0,03;0,15;-0,11;0,13;74;  -0,46;53;0,27;44;-0,07;30;
Christian Dörmer - Holger Hoffmann;160;0,01;-0,11;0,12;0,31;82;  -0,08;77;0,08;41;0,55;41;
Claudia Lüßmann - Ingo Lüßmann;190;0,00;-0,18;0,18;0,62;95;  -0,26;93;0,69;40;0,57;55;
Karin Buhr - Günter Buhr;288;-0,01;-0,07;0,06;-0,26;147;  0,39;141;-0,01;66;-0,47;81;
Lothar Schmidt - Martin Jentsch;191;-0,08;-0,13;0,04;0,37;89;  -0,24;102;-0,27;46;1,07;43;
Dieter Laidig - Gerben Dirksen;192;-0,09;-0,25;0,15;0,55;94;  -0,23;98;0,63;57;0,43;37;
Theo Reinhard - Helmut Schmid;128;-0,14;-0,18;0,04;-0,14;67;  0,23;60;-0,39;40;0,23;27;
Thomas Neuhauser - Dr. Regine Neuhauser-Riess;207;-0,15;-0,01;-0,14;-0,19;100;  -0,10;106;-0,10;62;-0,33;38;
Stanislaus Kosikowski - Dr. Walter Höger;112;-0,16;0,17;-0,34;0,01;57;  -0,69;55;0,22;27;-0,18;30;
Claudia Vechiatto - Dr. Gerold Wieber;284;-0,28;-0,24;-0,04;-0,07;140;  -0,01;144;0,16;76;-0,35;64;
Maria Würmseer - Felix Zimmermann;174;-0,28;-0,21;-0,08;0,16;84;  -0,30;89;0,35;48;-0,09;36;
Jürgen Hollich - Dr. Herbert Thieme;96;-0,29;-0,44;0,14;0,29;43;  0,02;53;0,52;23;0,03;20;
Klaus-Dieter Wacker - Wolfhart Umlauft;192;-0,31;-0,32;0,01;0,01;83;  0,01;109;-0,02;41;0,05;42;
Axel Meuer - Otto Ruthenberg;127;-0,34;-0,20;-0,14;0,28;63;  -0,57;63;0,76;31;-0,18;32;
Anja Alberti - Mirja Schraverus-Meuer;128;-0,38;-0,26;-0,12;-0,03;55;  -0,19;73;-0,44;28;0,39;27;
Rudi Eisenacht - Uwe Siedenburg;191;-0,55;-0,45;-0,10;0,21;106;  -0,49;85;0,21;60;0,20;46;
Alexandra Schwerdt - Jenny Ewald;127;-1,31;-0,98;-0,33;-0,13;60;  -0,50;67;-0,02;31;-0,26;29;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Josef Knoll - Lothar Schmidt;32;1,02;0,80;0,22;0,35;18;  0,06;14;-0,38;6;0,72;12;
Josef Knoll - Hans Ott;16;0,77;0,40;0,37;0,34;7;  0,39;9;-0,21;6;3,64;1;
Theo Reinhard - Thomas Neuhauser;16;-0,52;-0,30;-0,23;-0,32;9;  -0,10;7;0,13;1;-0,38;8;
Josef Knoll - Dr. Wolfgang Walenta;80;-1,15;-0,89;-0,26;-0,60;42;  0,12;38;-1,43;18;0,02;24;
Theo Reinhard - Andeas Böhmer;16;-1,77;-0,40;-1,38;-0,74;7;  -1,88;9;-;0;-0,74;7;
Dr. Regine Neuhauser-Riess - Erhard Sternheimer;16;-2,23;-1,84;-0,39;-0,07;8;  -0,71;8;-0,10;6;0,00;2;

