Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Roland Voigt - Ulrich Voigt;208;0,56;0,70;-0,13;0,30;120;  -0,74;86;0,51;64;0,07;56;
Franz-Jürgen Röttger - Eckhard Renken;176;0,47;0,58;-0,11;-0,02;99;  -0,24;76;-0,15;51;0,12;48;
Dr. Andreas Spiegl - Dr. Bernhard Schirm;224;0,40;0,20;0,20;0,61;126;  -0,34;96;0,45;61;0,75;65;
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;0,38;0,23;0,15;0,42;151;  -0,14;137;0,27;82;0,59;69;
Nils Bockholt - Roland Watzdorf;192;0,30;0,19;0,11;0,26;91;  -0,02;100;0,51;54;-0,12;37;
Michael Hornbrook - Dr. Ilan Wolff;288;0,29;0,20;0,09;0,22;136;  -0,03;150;0,14;63;0,28;73;
Erhard Sternheimer - Andeas Böhmer;288;0,25;0,26;-0,01;-0,13;142;  0,10;144;-0,43;69;0,16;73;
Frederic Boldt - Dr. Helmut Horacek;288;0,21;0,01;0,20;0,52;135;  -0,09;152;0,01;69;1,05;66;
Christoph Hofbauer - Dr. Michael Stumpf;224;0,10;0,21;-0,11;0,13;125;  -0,42;97;0,17;63;0,10;62;
Hans-Georg Keuchel - Kai Gladigau;96;0,09;0,23;-0,14;-0,24;54;  -0,01;41;-0,41;31;-0,02;23;
Klaus Amann - Carina Tetal;176;0,08;0,01;0,08;0,52;72;  -0,23;103;0,74;31;0,35;41;
Simon Beadle - Thomas Schoop;128;0,07;0,32;-0,25;0,08;63;  -0,59;64;-0,06;30;0,21;33;
Theo Reinhard - Thomas Neuhauser;288;0,07;0,02;0,04;0,05;145;  0,03;142;0,16;70;-0,05;75;
Borys Yawlinsky - Dr. Gerhard Thurn;288;0,05;-0,05;0,10;0,45;157;  -0,32;131;0,17;77;0,72;80;
Jan Chodorowski - Dr. Wendelin Albert;192;0,01;-0,23;0,24;0,69;94;  -0,20;97;0,95;43;0,48;51;
Stefan Helling - Dr. Sören Hein;192;-0,01;-0,05;0,04;-0,15;90;  0,20;102;-0,03;45;-0,27;45;
Rolf Beckmann - Wolfram Rach;112;-0,04;-0,35;0,31;0,10;58;  0,54;54;0,08;33;0,13;25;
Jan van Oosten - Dr. Ansgar Seiter;192;-0,05;0,12;-0,17;-0,04;91;  -0,29;100;0,07;53;-0,19;38;
Regine Bartels - Thomas Schmitt;96;-0,08;-0,13;0,05;-0,08;45;  0,17;51;-0,56;25;0,51;20;
Andrzej Grzesik - Prof, Dr. Paul Margaretha;192;-0,14;-0,10;-0,04;0,04;97;  -0,12;92;0,24;46;-0,15;51;
Jörg Kraemer - Dennis Kraemer;192;-0,17;-0,59;0,41;0,59;102;  0,21;90;-0,01;62;1,53;40;
Andreas Schaper - Dr. Lutz Wienert;288;-0,21;-0,05;-0,17;-0,06;140;  -0,27;147;0,10;85;-0,31;55;
Friedrich Kleißendorf - Angelika Röttger;144;-0,30;-0,45;0,15;0,18;59;  0,14;85;0,05;21;0,25;38;
Hans-Joachim Trapp - Albrecht Hollstein;128;-0,30;-0,03;-0,27;-0,33;58;  -0,22;70;-0,67;30;0,04;28;
Karl Wartlick - Ulrich Staber;144;-0,32;-0,28;-0,04;0,24;62;  -0,26;79;0,48;27;0,05;35;
Udo Kreimeyer - Wolfgang Sonntag;144;-0,50;-0,53;0,03;-0,02;66;  0,08;78;0,05;26;-0,07;40;
Eva Kleimann - Simon Beadle;96;-0,55;-0,18;-0,38;-0,46;44;  -0,30;52;-0,04;21;-0,85;23;
Hans-Georg Keuchel - Bodo Lagemann;192;-0,57;-0,36;-0,21;-0,01;98;  -0,42;94;0,06;45;-0,07;53;
Ursula Brzuska - André Kriner;96;-1,73;-1,23;-0,50;-0,34;47;  -0,64;49;-0,25;20;-0,41;27;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Karl Wartlick - Simon Beadle;16;0,44;-0,07;0,51;0,86;7;  0,24;9;1,00;6;0,00;1;
Rudi Salzer - Willi Neidow;64;0,11;0,55;-0,44;-0,86;35;  0,06;29;-0,18;19;-1,68;16;
Eva Kleimann - Thomas Schoop;16;-0,66;-0,48;-0,18;-1,92;5;  0,62;11;-2,50;4;0,40;1;
Karl Wartlick - Rudi Salzer;32;-0,77;-0,47;-0,30;-0,27;10;  -0,31;22;0,26;3;-0,51;7;
Karl Wartlick - Thomas Schoop;80;-0,81;-0,33;-0,48;-0,10;43;  -0,93;37;-0,18;25;0,01;18;

