Players;No,;Pl1;Pl2;Def;L1;L2;Butler;Bid;Play1;Play2;;Lead1;Lead2;Def
MOSS Sylvia - RADIN Judi;144;31;41;72;42;30;1,03;0,35;0,10;0,18;0,05;0,09;0,26
SMITH Nicola - BROCK Sally;224;56;62;105;48;57;0,98;0,47;0,14;0,07;-0,03;0,03;0,29
WILLARD Sylvie - CRONIER Benedicte;240;60;58;121;53;68;0,82;0,28;0,37;0,05;-0,05;0,03;0,13
ROSENBERG Debbie - SEAMON-MOLSON Janice;256;68;64;123;53;70;0,81;0,43;0,13;0,09;-0,03;0,06;0,12
ANDERSSON Pia - JOHANSSON Marie;208;52;49;107;55;52;0,80;0,20;0,09;0,15;0,00;0,05;0,31
SHIMAMURA Kyoko - BANNO Kazuko;240;66;59;114;47;67;0,78;0,61;0,08;0,18;-0,02;0,06;-0,12
STANSBY JoAnna - ZUR-CAMPANILE-ALBU Migry;288;81;67;140;71;69;0,75;0,44;0,02;0,02;0,01;0,00;0,26
DEKKERS Laura - MICHIELSEN Marion;224;55;50;119;57;62;0,75;0,24;-0,08;0,26;0,09;-0,02;0,26
DEWI Suci Amita - MURNIATI Kristina Wahyu;288;52;76;158;83;75;0,72;0,50;0,10;0,01;0,08;-0,06;0,08
GORDON Dianna - REUS Sharyn;272;57;72;142;75;67;0,72;-0,00;0,38;0,08;0,06;-0,03;0,22
HARASIMOWICZ Ewa - SAWICKA Malgorzata;240;56;64;119;54;65;0,68;0,64;-0,03;-0,01;0,02;-0,06;0,13
SJOBERG Emma - RIMSTEDT Sandra;256;58;66;130;61;69;0,65;0,33;0,12;0,12;-0,01;-0,06;0,15
ZMUDA Justyna - KAZMUCHA Danuta;208;61;41;106;63;43;0,61;0,23;0,12;0,00;0,03;-0,01;0,23
VON ARNIM Daniela - AUKEN Sabine;288;75;77;135;63;72;0,60;0,26;0,03;0,12;0,03;-0,03;0,18
SUN Yanhui - FENG Xuefeng;144;30;40;74;42;32;0,59;0,35;0,03;0,06;0,01;0,06;0,08
STOCKDALE Susan - BROWN Fiona;224;61;51;111;63;48;0,55;0,46;-0,02;0,02;0,03;0,03;0,03
TUEJE Julita Grace - BOJOH Lusje Olha;320;74;85;160;91;69;0,51;0,16;0,20;0,07;0,02;0,05;0,03
SIMONS Anneke - PASMAN Jet;224;58;56;110;58;52;0,48;0,11;0,01;0,15;0,00;0,06;0,15
LEVIN Jill - MEYERS Jill;272;61;80;130;69;61;0,47;0,14;0,13;-0,01;0,06;0,01;0,15
GU Ling - LU Yan;272;72;73;127;68;59;0,40;0,26;0,03;0,03;0,00;0,04;0,03
VARGAS DE ANDRADE Isabella - PAIN Leda;224;75;46;103;61;42;0,39;0,36;0,01;0,01;0,13;-0,11;-0,02
DEAS Lynn - PALMER Beth;240;61;71;108;57;51;0,34;0,07;-0,00;0,01;0,01;-0,01;0,26
SOKOLOW Tobi - JOEL Geeske;144;42;30;72;40;32;0,31;0,17;0,14;0,01;0,10;-0,07;-0,04
ZOCHOWSKA Joanna - GAVIARD Daniele;208;60;45;101;54;47;0,31;-0,03;0,11;0,13;0,04;-0,03;0,09
ARRIGONI Gianna - OLIVIERI Gabriella;240;62;55;123;59;64;0,29;-0,06;0,10;0,11;0,02;-0,03;0,14
SUN Ming - WANG Hongli;256;77;55;123;70;53;0,27;0,05;0,06;-0,02;0,05;0,05;0,08
