                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
FISHER Lotan - SCHWARTZ Ron                            |  220   1.29 |  0.42   0.87 |  0.58 (101)   1.12 (118) |  0.78 ( 61)   0.28 ( 40) |  0.54 ( 57)   0.68 ( 61)   0.51 (118) |
MADALA Agustin - BOCCHI Norberto                       |  240   1.09 |  0.79   0.30 |  0.02 (134)   0.65 (106) | -0.02 ( 40)   0.04 ( 94) |  0.59 ( 81)  -0.18 ( 25)   0.24 (106) |
ARONOV Victor - STEFANOV Julian                        |  220   0.90 |  0.87   0.03 |  0.09 (118)  -0.04 (102) | -0.24 ( 54)   0.37 ( 64) |  0.15 ( 46)   0.14 ( 56)  -0.18 (102) |
KARAKOLEV Georgi - MIHOV Vladimir                      |  220   0.77 |  0.52   0.26 |  0.49 (115)   0.00 (105) |  0.73 ( 55)   0.27 ( 60) |  0.08 ( 58)   0.16 ( 47)  -0.12 (105) |
HANLON Tom - McGANN Hugh                               |  260   0.67 |  0.49   0.19 |  0.13 (130)   0.24 (130) | -0.18 ( 62)   0.41 ( 68) | -0.06 ( 59)   0.38 ( 71)   0.06 (130) |
WRANG Frederic - SYLVAN Johan                          |  200   0.65 |  0.21   0.44 |  0.34 ( 94)   0.52 (106) |  0.70 ( 55)  -0.16 ( 39) |  0.46 ( 68)  -0.03 ( 38)   0.24 (106) |
DUBOIN Giorgio - SEMENTA Antonio                       |  200   0.59 |  0.42   0.17 | -0.01 (100)   0.36 ( 99) | -0.21 ( 45)   0.15 ( 55) |  0.22 ( 42)  -0.06 ( 57)   0.30 ( 99) |
NYSTROM Fredrik - UPMARK Johan                         |  200   0.57 |  0.23   0.34 |  0.60 (102)   0.07 ( 98) |  0.75 ( 50)   0.46 ( 52) | -0.07 ( 56)   0.30 ( 42)  -0.01 ( 98) |
PIEKAREK Josef - SMIRNOV Alexander                     |  220   0.52 |  0.48   0.04 |  0.02 (100)   0.05 (119) | -0.02 ( 54)   0.07 ( 46) |  0.09 ( 61)   0.16 ( 58)  -0.07 (119) |
BERG Jan Tore - SVENDSEN Odin                          |  200   0.45 |  0.37   0.08 |  0.17 (101)  -0.02 ( 99) |  0.22 ( 49)   0.12 ( 52) |  0.05 ( 48)  -0.30 ( 51)   0.11 ( 99) |
KANDEMIR Ismail - KOLATA Suleyman                      |  200   0.43 | -0.03   0.46 |  0.66 ( 96)   0.28 (103) |  1.13 ( 45)   0.24 ( 51) |  0.43 ( 52)   0.31 ( 51)  -0.09 (103) |
NYEMTSEV Oleksandr - SHUKHMEYSTER Borys                |  218   0.41 |  0.21   0.20 |  0.38 (109)   0.02 (109) |  0.81 ( 61)  -0.16 ( 48) | -0.25 ( 45)   0.14 ( 64)   0.05 (109) |
BROGELAND Boye - NYBO Frode                            |  240   0.37 |  0.04   0.33 |  0.37 (116)   0.30 (124) |  0.76 ( 62)  -0.08 ( 54) |  0.46 ( 65)  -0.32 ( 59)   0.21 (124) |
GROMOELLER Michael - REHDER Martin                     |  220   0.36 |  0.27   0.09 | -0.10 (114)   0.30 (106) | -0.32 ( 56)   0.10 ( 58) | -0.03 ( 60)  -0.13 ( 46)   0.37 (106) |
FRITSCHE Joerg - ROHOWSKY Roland                       |  200   0.32 |  0.44  -0.12 | -0.04 (105)  -0.20 ( 95) | -0.01 ( 61)  -0.08 ( 44) | -0.12 ( 52)   0.20 ( 43)  -0.23 ( 95) |
