Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
FISHER Lotan - SCHWARTZ Ron;220;1,09;0,31;0,78;0,51;101;  1,01;118;0,68;61;0,25;40;0,54;57;0,58;61;0,45;118;
MADALA Agustin - BOCCHI Norberto;240;0,99;0,70;0,30;0,03;134;  0,63;106;-0,09;40;0,09;94;0,54;81;-0,10;25;0,24;106;
ARONOV Victor - STEFANOV Julian;220;0,86;0,81;0,05;0,09;118;  0,01;102;-0,19;54;0,32;64;0,15;46;0,14;56;-0,13;102;
KARAKOLEV Georgi - MIHOV Vladimir;220;0,69;0,45;0,24;0,45;115;  0,01;105;0,64;55;0,29;60;0,03;58;0,17;47;-0,09;105;
WRANG Frederic - SYLVAN Johan;200;0,60;0,19;0,40;0,33;94;  0,47;106;0,64;55;-0,12;39;0,42;68;-0,06;38;0,22;106;
HANLON Tom - McGANN Hugh;260;0,57;0,41;0,16;0,12;130;  0,19;130;-0,13;62;0,36;68;-0,08;59;0,33;71;0,04;130;
NYSTROM Fredrik - UPMARK Johan;200;0,54;0,21;0,33;0,58;102;  0,08;98;0,72;50;0,44;52;-0,07;56;0,28;42;0,00;98;
DUBOIN Giorgio - SEMENTA Antonio;200;0,51;0,33;0,17;-0,01;100;  0,36;99;-0,13;45;0,09;55;0,21;42;-0,04;57;0,29;99;
PIEKAREK Josef - SMIRNOV Alexander;220;0,50;0,45;0,05;0,06;100;  0,04;119;0,07;54;0,05;46;0,07;61;0,13;58;-0,06;119;
KANDEMIR Ismail - KOLATA Suleyman;200;0,40;0,02;0,38;0,54;96;  0,24;103;0,99;45;0,15;51;0,36;52;0,29;51;-0,09;103;
BROGELAND Boye - NYBO Frode;240;0,38;0,11;0,27;0,30;116;  0,25;124;0,62;62;-0,07;54;0,39;65;-0,28;59;0,18;124;
BERG Jan Tore - SVENDSEN Odin;200;0,36;0,31;0,04;0,11;101;  -0,03;99;0,16;49;0,07;52;0,04;48;-0,26;51;0,08;99;
FALLENIUS Bjorn - FREDIN Peter;240;0,32;0,28;0,03;0,05;113;  0,01;127;-1,36;28;0,52;85;-0,00;88;0,18;39;-0,04;127;
LAKATOS Peter - SZILAGYI Laszlo;219;0,31;0,04;0,27;0,44;115;  0,08;104;0,15;58;0,74;57;0,17;51;-0,18;53;0,09;104;
GROMOELLER Michael - REHDER Martin;220;0,31;0,23;0,08;-0,11;114;  0,29;106;-0,32;56;0,09;58;-0,02;60;-0,11;46;0,34;106;
ASSAEL Salvador - KOKSOY Enver;220;0,28;0,02;0,26;0,21;110;  0,30;110;0,61;44;-0,05;66;0,09;62;0,38;48;0,08;110;
LAURIA Lorenzo - VERSACE Alfredo;200;0,28;-0,00;0,28;0,43;104;  0,12;96;0,00;53;0,87;51;0,12;50;0,11;46;0,00;96;
NYEMTSEV Oleksandr - SHUKHMEYSTER Borys;218;0,26;0,10;0,16;0,31;109;  0,01;109;0,72;61;-0,20;48;-0,22;45;0,14;64;0,02;109;
FRITSCHE Joerg - ROHOWSKY Roland;200;0,26;0,40;-0,14;-0,08;105;  -0,20;95;-0,05;61;-0,12;44;-0,13;52;0,18;43;-0,21;95;
OLANSKI Wojtek - VAINIKONIS Vytautas;240;0,18;0,11;0,07;0,35;113;  -0,18;127;0,87;65;-0,36;48;-0,02;57;-0,06;70;-0,14;127;
DOXIADIS Konstantinos - KANNAVOS Panagiotis;220;0,15;-0,03;0,18;-0,00;108;  0,35;112;0,31;47;-0,25;61;0,07;59;0,42;53;0,12;112;
PADON Dror - BIRMAN Alon;200;0,13;0,07;0,06;-0,01;104;  0,13;96;0,49;46;-0,40;58;-0,23;40;-0,09;56;0,28;96;
KARAMANLIS Philippos - PROTONOTARIOS Manolis;200;0,11;0,13;-0,01;-0,07;101;  0,04;99;-0,08;43;-0,06;58;0,13;65;-0,31;34;0,06;99;
WINKLER Gabor - HOMONNAY Geza;220;0,05;0,04;0,02;0,23;109;  -0,19;111;-0,04;54;0,49;55;-0,40;51;-0,21;60;0,11;111;
MARASHEV Vladimir - TSONCHEV Ivan;200;0,04;-0,22;0,26;0,36;106;  0,16;94;0,57;61;0,08;45;0,22;44;-0,04;50;0,07;94;
EIDI Michel - VROUSTIS Vassilis;220;0,04;-0,08;0,12;0,23;106;  0,02;113;0,43;59;-0,03;47;-0,31;58;0,10;55;0,13;113;
CARROLL John - GARVEY Tommy;160;0,02;-0,07;0,09;-0,13;79;  0,30;80;-0,46;37;0,16;42;0,09;41;0,45;39;0,03;80;
HERBST Ilan - HERBST Ophir;220;-0,01;-0,23;0,22;0,06;119;  0,40;100;-0,03;65;0,18;54;0,00;47;-0,25;53;0,53;100;
NIKOLAYENKO Dmytro - RYBNIKOV Gennadii;240;-0,06;-0,17;0,11;-0,05;110;  0,25;129;0,21;62;-0,40;48;-0,14;85;0,36;44;0,21;129;
MICHAILOVAS Andrius - SAULIS Alvydas;200;-0,07;-0,31;0,24;0,26;103;  0,22;97;-0,26;55;0,86;48;0,40;49;0,28;48;-0,12;97;
ZORLU Nafiz - TOKAY Mustafa Cem;220;-0,10;-0,06;-0,04;-0,12;115;  0,05;104;-0,61;57;0,36;58;0,15;39;-0,19;65;0,11;104;
FITZGIBBON Nicholas - MESBUR Adam;220;-0,10;-0,03;-0,07;0,04;101;  -0,17;119;0,33;52;-0,27;49;0,19;65;-0,17;54;-0,19;119;
JANSONS Ugis - SMILGAJS Andris;200;-0,11;0,15;-0,25;-0,40;105;  -0,09;95;-0,51;50;-0,29;55;-0,19;46;0,02;49;-0,01;95;
GERMANIS Aigars - RUBENIS Ivars;220;-0,17;-0,22;0,05;0,16;115;  -0,07;105;0,03;47;0,25;68;-0,12;51;0,17;54;-0,10;105;
BALASOVS Jurijs - BETHERS Uldis;219;-0,19;-0,10;-0,09;0,09;102;  -0,24;117;0,08;53;0,09;49;0,01;65;-0,01;52;-0,24;117;
HEGEDUS Gal - SZEGEDI Balazs;200;-0,22;-0,09;-0,13;-0,16;100;  -0,10;100;-0,67;55;0,47;45;0,24;55;0,17;45;-0,31;100;
CHARLSEN Thomas - HOFTANISKA Thor Erik;200;-0,26;-0,21;-0,05;0,42;98;  -0,49;102;0,71;36;0,24;62;-0,47;46;-0,31;56;-0,11;102;
DE ROOS Daniel - VERMEIREN Raf;240;-0,31;0,02;-0,33;-0,04;118;  -0,62;122;-0,13;55;0,04;63;-0,32;60;-0,35;62;-0,29;122;
ARLOVICH Andrei - VAINIKONIS Erikas;200;-0,37;-0,26;-0,11;0,17;99;  -0,38;101;0,31;52;0,01;47;-0,19;44;-0,06;57;-0,27;101;
DRAGIC Miroslav - ASH Mike;199;-0,43;-0,18;-0,25;-0,05;92;  -0,43;107;-0,12;45;0,03;47;0,16;54;-0,20;53;-0,41;107;
CHUMAK Yuliy - ROVYSHYN Oleg;180;-0,44;-0,29;-0,15;0,08;86;  -0,36;94;0,08;45;0,08;41;0,06;41;0,07;53;-0,43;94;
GOMEZ HIERRO Ramon - GONCALVES Pedro;200;-0,44;-0,17;-0,28;-0,14;97;  -0,40;103;-0,40;47;0,11;50;-0,29;54;-0,31;49;-0,10;103;
DEBUS Eric - VAN MECHELEN Rutger;200;-0,49;-0,12;-0,37;-0,68;94;  -0,10;106;-1,10;43;-0,32;51;0,36;32;-0,08;74;-0,15;106;
CAPUTO Philippe - VAN MIDDELEM Guy;200;-0,59;-0,36;-0,23;-0,30;95;  -0,18;104;-0,37;37;-0,26;58;0,12;51;-0,10;53;-0,18;104;
FERREIRA Carlos - NETO Manuel;200;-0,72;-0,17;-0,55;-0,52;96;  -0,58;104;-0,46;50;-0,59;46;-0,55;56;-0,32;48;-0,13;104;
GORDON Irving - WHYTE William;200;-0,79;-0,54;-0,25;-0,38;103;  -0,11;96;-0,21;53;-0,55;50;-0,09;52;-0,21;44;0,04;96;
PIPER Douglas - WILKINSON Alexander William;239;-0,86;-0,42;-0,44;-0,13;129;  -0,80;110;-0,45;70;0,25;59;-0,20;66;0,09;44;-0,72;110;
CORRAL Mari Car - GONSALVES Miguel;220;-0,86;-0,46;-0,40;-0,17;104;  -0,61;116;-0,70;54;0,41;50;-0,26;54;-0,03;62;-0,47;116;
LARA Maria Joao - OREY CAPUCHO Manuel d';220;-0,88;-0,20;-0,68;-0,53;114;  -0,84;105;-0,27;60;-0,83;54;-0,57;57;-0,29;48;-0,40;105;
DAMASO Nuno - PRATAS Pedro;220;-1,02;-0,68;-0,33;-0,74;114;  0,11;106;-0,88;68;-0,53;46;0,21;47;-0,00;59;0,01;106;
GODED MERINO Gonzalo - VINCENT Herve;220;-1,08;-0,48;-0,59;-0,29;119;  -0,95;101;0,03;56;-0,58;63;-0,13;50;-0,34;51;-0,71;101;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#

