Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
FANTONI Fulvio - NUNES Claudio;260;1,29;0,46;0,83;0,54;135;  1,14;125;0,96;70;0,10;65;0,60;65;0,36;60;0,66;125;
HELGEMO Geir - HELNESS Tor;220;0,93;0,27;0,66;0,75;111;  0,56;109;1,14;50;0,43;61;-0,08;43;0,15;66;0,50;109;
FORRESTER Tony - GOLD David;220;0,67;0,39;0,28;0,33;115;  0,23;104;0,38;63;0,27;52;0,14;50;0,09;54;0,12;104;
BAKHSHI David - TOWNSEND Tom;200;0,56;0,23;0,33;0,47;108;  0,17;92;0,34;60;0,62;48;0,04;46;0,32;46;-0,01;92;
BURAS Krzysztof - NARKIEWICZ Grzegorz;280;0,45;0,32;0,13;0,20;144;  0,05;136;0,39;66;0,04;78;0,29;75;0,05;61;-0,13;136;
BRINK Sjoert - DRIJVER Bas;260;0,40;0,37;0,03;0,00;142;  0,07;118;-0,19;67;0,18;75;0,48;57;-0,05;61;-0,14;118;
KHOKHLOV Jouri - RUDAKOV Evgeni;200;0,40;0,19;0,21;0,36;98;  0,05;102;0,05;47;0,65;51;-0,02;49;0,02;53;0,06;102;
DUBININ Alexander - GROMOV Andrey;200;0,38;0,16;0,22;0,04;102;  0,40;98;-0,03;44;0,10;58;-0,18;39;-0,03;59;0,49;98;
PIEDRA Fernando - WILDAVSKY Adam;240;0,37;0,24;0,13;-0,14;107;  0,34;133;0,01;52;-0,29;55;0,02;63;0,07;70;0,29;133;
LORENZINI Cedric - ROMBAUT Jerome;220;0,36;0,18;0,17;0,34;114;  -0,01;106;0,46;56;0,23;58;0,13;44;0,31;62;-0,25;106;
KARPOV Maksim - LAANEMAE Tiit;240;0,35;0,16;0,19;0,20;114;  0,17;126;0,06;51;0,32;63;0,15;68;-0,03;58;0,11;126;
COLDEA Ionut - MARINA Bogdan;180;0,32;0,24;0,08;0,02;95;  0,15;85;-0,21;52;0,29;43;0,56;40;-0,22;45;0,01;85;
INGIMARSSON Throstur - MAGNUSSON Magnus Eidur;220;0,30;0,16;0,14;0,21;108;  0,07;112;-0,12;57;0,59;51;-0,31;64;-0,04;48;0,26;112;
GLOYER Andreas - KRIFTNER Georg;240;0,30;0,46;-0,16;0,08;137;  -0,49;103;-0,36;72;0,56;65;0,14;54;-0,30;49;-0,42;103;
JOKISCH Peter - KASIMIR Udo;260;0,27;0,41;-0,14;-0,31;142;  0,06;118;-0,52;59;-0,16;83;-0,26;55;0,33;63;0,00;118;
DE MENDEZ Thierry - ZIVKOVIC Gojko;160;0,25;-0,05;0,30;0,29;74;  0,32;85;0,41;40;0,15;34;0,35;41;0,10;44;0,10;85;
ZMUDZINSKI Adam - BALICKI Cezary;260;0,23;0,08;0,14;-0,32;127;  0,58;133;-0,53;60;-0,12;67;0,16;50;0,21;83;0,39;133;
BOMPIS Marc - QUANTIN Jean-Christophe;220;0,18;-0,22;0,40;0,18;102;  0,59;117;-0,10;48;0,43;54;0,40;60;0,49;57;0,14;117;
GHIGHECI Ovidiu - ROTARU Iulian;260;0,17;0,01;0,16;0,52;128;  -0,18;132;0,49;53;0,54;75;0,13;63;-0,05;69;-0,22;132;
KHIUPPENEN Yury - KHOLOMEEV Vadim;240;0,17;0,11;0,05;0,38;109;  -0,22;131;0,51;57;0,23;52;-0,32;64;0,22;67;-0,17;131;
