                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BROWN Fiona - STOCKDALE Susan                          |  180   0.99 |  0.45   0.53 |  0.73 ( 87)   0.36 ( 92) |  0.87 ( 45)   0.57 ( 42) |  0.17 ( 49)   0.04 ( 43)   0.25 ( 92) |
ZOCHOWSKA Joanna - D'OVIDIO Catherine                  |  200   0.81 |  0.26   0.54 |  0.27 (108)   0.88 ( 91) |  0.08 ( 56)   0.46 ( 52) |  0.63 ( 44)   0.07 ( 47)   0.54 ( 91) |
TAL Dana - TAL Noga                                    |  280   0.74 |  0.37   0.37 |  0.34 (127)   0.40 (153) |  0.48 ( 66)   0.19 ( 61) |  0.12 ( 73)   0.08 ( 80)   0.30 (153) |
PASMAN Jet - SIMONS Anneke                             |  260   0.72 |  0.59   0.13 |  0.35 (129)  -0.09 (131) |  0.36 ( 69)   0.33 ( 60) | -0.01 ( 81)  -0.14 ( 50)  -0.02 (131) |
YAVAS Dilek - OYMEN Ozlem                              |  280   0.70 |  0.24   0.46 |  0.26 (160)   0.73 (120) |  0.10 ( 87)   0.45 ( 73) |  0.10 ( 67)   0.31 ( 53)   0.53 (120) |
KAZMUCHA Danuta - SAKOWSKA Natalia                     |  220   0.70 |  0.23   0.46 |  0.52 (116)   0.40 (104) |  0.63 ( 58)   0.41 ( 58) |  0.30 ( 52)   0.32 ( 52)   0.09 (104) |
DEKKERS Laura - MICHIELSEN Marion                      |  279   0.61 |  0.50   0.11 | -0.06 (133)   0.26 (145) | -0.42 ( 64)   0.27 ( 69) |  0.07 ( 72)  -0.08 ( 73)   0.27 (145) |
ACAR Asli - ERKAN Berrak                               |  220   0.55 |  0.45   0.11 |  0.34 ( 88)  -0.05 (132) |  0.05 ( 53)   0.78 ( 35) | -0.23 ( 72)   0.30 ( 60)  -0.06 (132) |
WILLARD Sylvie - CRONIER Benedicte                     |  300   0.54 |  0.44   0.10 |  0.00 (151)   0.19 (149) |  0.34 ( 69)  -0.28 ( 82) |  0.22 ( 73)   0.17 ( 76)  -0.00 (149) |
