Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Christian Schlicker - Dr. Claus Günther;288;0,87;0,65;0,22;0,19;149;  0,26;138;0,26;82;0,09;67;
Gordon Kolling - Claudia Vechiatto;176;0,63;0,35;0,28;0,36;78;  0,22;97;0,55;39;0,18;39;
Sebastian Weyand - Claudia Vechiatto;111;0,63;0,37;0,26;0,38;52;  0,15;59;0,56;32;0,09;20;
Martin Wüst - Dr. Richard Bley;207;0,55;0,65;-0,09;-0,21;105;  0,04;102;0,19;52;-0,61;53;
Fred Wrobel - Susanne Kriftner;96;0,55;0,47;0,08;0,18;55;  -0,06;41;0,68;32;-0,51;23;
Fred Wrobel - Stefan Häßler;144;0,53;0,10;0,44;0,62;72;  0,25;72;0,77;33;0,49;39;
Holger Hoffmann - Christian Dörmer;256;0,48;0,31;0,17;0,18;134;  0,16;122;0,08;65;0,27;69;
Dr. Frank Pioch - Dr. Rolf Kühn;191;0,41;0,42;-0,01;0,01;98;  -0,04;93;-0,02;56;0,06;42;
Hartmut Brückner - Ralf Speckmann;192;0,30;-0,03;0,33;0,73;94;  -0,06;98;0,70;45;0,76;49;
Ralf Schmellekamp - Dimitri Markaris;176;0,30;0,27;0,03;0,32;92;  -0,29;83;0,11;48;0,54;44;
Marie Eggeling - Thomas Gotard;208;0,26;0,17;0,09;0,07;98;  0,12;110;0,55;50;-0,44;48;
Hans-Joachim Prieß - Raffael Braun;128;0,26;0,24;0,02;0,07;56;  -0,01;72;0,15;24;0,00;32;
Eckhard Böhlke - Kathryn Herz;224;0,13;-0,07;0,20;0,32;114;  0,07;109;0,92;46;-0,09;68;
Joachim Cappeller - Clemens Oelker;224;0,05;0,03;0,02;0,08;108;  -0,03;115;-0,16;56;0,34;52;
Oliver Hevemeier - Dr. Gerben Dirksen;96;0,04;0,02;0,02;0,28;38;  -0,14;58;0,56;20;-0,02;18;
Josef Knoll - Dr. Wolfgang Walenta;128;-0,03;-0,03;0,00;-0,08;61;  0,08;66;-0,04;27;-0,11;34;
Felix Zimmermann - Max Ellerbeck;224;-0,11;-0,01;-0,09;-0,06;132;  -0,14;91;-0,22;66;0,10;66;
Flora Boeddeker - Robert Boeddeker;288;-0,14;-0,05;-0,10;-0,02;137;  -0,17;151;0,15;65;-0,18;72;
Hartmut Kondoch - Prinz Josias zu Waldeck;208;-0,16;-0,16;-0,00;-0,08;105;  0,08;103;-0,22;55;0,08;50;
Dr. Karl-Heinz Kaiser - Dr. Peter Freche;288;-0,16;-0,04;-0,12;-0,22;140;  -0,03;148;0,02;75;-0,49;65;
Lothar Schmidt - Martin Jentsch;176;-0,23;-0,29;0,06;0,04;94;  0,08;82;0,20;40;-0,08;54;
Felix Schadendorf - Dietmar Korb;192;-0,23;-0,02;-0,22;-0,21;95;  -0,23;97;-0,14;51;-0,28;44;
Henning Gärner - Dr. Gerhard Göttsch;288;-0,32;-0,13;-0,19;-0,15;147;  -0,23;141;0,06;55;-0,27;92;
Frank-Onno Bettermann - Matthias Berghaus;160;-0,32;-0,25;-0,08;0,11;73;  -0,24;86;0,05;31;0,15;42;
Ingrid Gromann - Maria Würmseer;128;-0,41;-0,32;-0,09;0,03;74;  -0,25;54;0,19;29;-0,07;45;
Jan Chodorowski - Dr. Wendelin Albert;192;-0,53;-0,30;-0,23;-0,29;92;  -0,17;100;-0,32;54;-0,23;38;
Frederic Boldt - Dr. Helmut Horacek;191;-0,79;-0,42;-0,37;-0,45;97;  -0,29;94;-0,37;55;-0,55;42;
Hans Ott - Dr. Wolfgang Walenta;96;-1,11;-0,86;-0,25;-0,09;42;  -0,38;53;-0,91;18;0,52;24;
Regine Bartels - Thomas Schmitt;96;-1,15;-0,82;-0,34;-0,16;43;  -0,48;53;-0,47;19;0,08;24;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Josef Knoll - Lothar Schmidt;16;0,28;-0,68;0,96;0,64;7;  1,21;9;0,39;6;2,09;1;
Hans Ott - Martin Jentsch;64;0,13;-0,09;0,23;0,19;36;  0,27;28;-0,70;19;1,19;17;
Hans Ott - Lothar Schmidt;32;0,01;-0,73;0,73;-0,08;14;  1,36;18;-1,17;5;0,53;9;
Raffael Braun - Ralf Vitters;48;-0,35;-0,07;-0,28;-0,02;24;  -0,55;24;-0,17;13;0,16;11;
Jovanka Smederevac - Susanne Kriftner;80;-0,53;-0,55;0,01;0,83;47;  -1,19;32;0,73;21;0,90;26;
Hans Ott - Josef Knoll;48;-0,94;-0,45;-0,48;-0,59;27;  -0,36;21;-1,32;12;-0,00;15;
Hartmut Kondoch - Sebastian Weyand;80;-1,22;-0,87;-0,35;-0,32;35;  -0,37;45;-0,58;13;-0,17;22;
Lothar Schmidt - Dr. Wolfgang Walenta;16;-1,72;-1,67;-0,04;-0,02;8;  -0,07;8;0,11;5;-0,23;3;

