                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
KATZ Ralph - NICKELL Nick                              |  112   1.27 |  1.04   0.23 |  0.10 ( 47)   0.33 ( 64) | -0.09 ( 19)   0.22 ( 28) | -0.10 ( 35)  -0.10 ( 29)   0.43 ( 64) |
PILON Dominique - TOFFIER Philippe                     |  144   1.25 |  0.86   0.39 |  0.38 ( 74)   0.39 ( 70) |  0.53 ( 40)   0.22 ( 34) | -0.12 ( 33)   0.11 ( 37)   0.39 ( 70) |
BALICKI Cezary - ZMUDZINSKI Adam                       |  160   0.84 |  0.42   0.42 |  0.30 ( 69)   0.52 ( 90) |  0.08 ( 43)   0.66 ( 26) |  0.80 ( 43)   0.10 ( 47)   0.09 ( 90) |
LORENZINI Cedric - ROMBAUT Jerome                      |  160   0.79 |  0.16   0.63 |  0.57 ( 81)   0.68 ( 79) |  0.34 ( 47)   0.90 ( 34) | -0.02 ( 39)   0.01 ( 40)   0.69 ( 79) |
MECKSTROTH Jeff - RODWELL Eric                         |  192   0.68 |  0.28   0.41 |  0.51 (107)   0.27 ( 85) |  0.15 ( 53)   0.87 ( 54) |  0.51 ( 50)  -0.24 ( 35)   0.07 ( 85) |
LINDERMANN Arno - TERRANEO Christian                   |  192   0.61 |  0.44   0.17 | -0.12 (103)   0.52 ( 89) | -0.19 ( 62)  -0.02 ( 41) |  0.37 ( 40)  -0.24 ( 49)   0.48 ( 89) |
BURAS Krzysztof - NARKIEWICZ Grzegorz                  |  176   0.59 |  0.62  -0.03 | -0.07 ( 99)   0.01 ( 77) |  0.02 ( 50)  -0.16 ( 49) | -0.14 ( 45)  -0.02 ( 32)   0.10 ( 77) |
HAMMAN Bob - MAHMOOD Zia                               |  144   0.59 |  0.37   0.22 |  0.30 ( 77)   0.14 ( 67) |  0.47 ( 34)   0.16 ( 43) |  0.29 ( 38)  -0.24 ( 29)   0.08 ( 67) |
BOMPIS Marc - QUANTIN Jean-Christophe                  |  144   0.51 |  0.53  -0.02 | -0.13 ( 78)   0.13 ( 66) | -0.46 ( 37)   0.15 ( 41) | -0.06 ( 35)   0.02 ( 31)   0.15 ( 66) |
ZAK Piotr - ZAREMBA Jerzy                              |  112   0.38 |  0.29   0.08 |  0.07 ( 57)   0.09 ( 55) | -0.42 ( 34)   0.80 ( 23) | -0.25 ( 34)   0.05 ( 21)   0.22 ( 55) |
NIKOLAYENKO Dmytro - RYBNIKOV Gennadii                 |  192   0.37 |  0.26   0.10 |  0.04 ( 94)   0.18 ( 96) |  0.16 ( 45)  -0.08 ( 49) |  0.11 ( 51)  -0.03 ( 45)   0.13 ( 96) |
HANLON Tom - McGANN Hugh                               |  160   0.36 | -0.09   0.45 |  0.69 ( 89)   0.13 ( 71) |  0.95 ( 47)   0.41 ( 42) | -0.04 ( 38)  -0.07 ( 33)   0.19 ( 71) |
HUANG Patrick K. H. - WU Chang-Dar                     |  128   0.32 |  0.51  -0.19 | -0.31 ( 66)  -0.06 ( 62) | -0.28 ( 32)  -0.33 ( 34) |  0.10 ( 35)  -0.10 ( 27)  -0.07 ( 62) |
FITZGIBBON Nicholas - MESBUR Adam                      |  176   0.32 |  0.19   0.13 | -0.26 ( 95)   0.59 ( 81) | -0.34 ( 47)  -0.19 ( 48) | -0.13 ( 40)   0.14 ( 41)   0.58 ( 81) |
CAMPOS Joao-Paulo - VILLAS-BOAS Miguel                 |  224   0.24 |  0.13   0.11 |  0.22 (112)   0.01 (111) | -0.06 ( 54)   0.47 ( 58) |  0.07 ( 54)  -0.02 ( 57)  -0.02 (111) |
LUKS Leo - NABER Lauri                                 |  160   0.24 |  0.23   0.01 |  0.27 ( 75)  -0.22 ( 84) | -0.02 ( 36)   0.53 ( 39) | -0.24 ( 39)  -0.19 ( 45)  -0.01 ( 84) |
TISLEVOLL Geir-Olav - WARE Michael                     |  160   0.21 |  0.28  -0.07 | -0.06 ( 86)  -0.08 ( 74) |  0.25 ( 45)  -0.41 ( 41) | -0.17 ( 42)   0.07 ( 32)  -0.01 ( 74) |
LEVENKO Vassili - SESTER Sven                          |  128   0.18 |  0.01   0.17 |  0.17 ( 58)   0.16 ( 70) |  0.11 ( 27)   0.23 ( 31) | -0.12 ( 29)  -0.13 ( 41)   0.28 ( 70) |
MIETI Renzo - BAGORDO Alessandro                       |  144   0.16 |  0.28  -0.12 |  0.36 ( 71)  -0.60 ( 72) |  0.20 ( 40)   0.57 ( 31) | -0.28 ( 39)  -0.20 ( 33)  -0.36 ( 72) |
CARROLL John - GARVEY Tommy                            |  112   0.13 |  0.10   0.03 |  0.31 ( 52)  -0.21 ( 60) |  0.03 ( 19)   0.46 ( 33) | -0.02 ( 29)  -0.33 ( 31)  -0.03 ( 60) |
BABSCH Andreas - SCHIFKO Martin                        |  127   0.12 | -0.03   0.15 |  0.40 ( 65)  -0.11 ( 61) | -0.13 ( 30)   0.86 ( 35) | -0.33 ( 30)   0.23 ( 31)  -0.06 ( 61) |
HUANG Dong - LIU Jian Tao                              |  128   0.02 |  0.24  -0.23 | -0.02 ( 58)  -0.39 ( 70) |  0.08 ( 26)  -0.11 ( 32) | -0.11 ( 43)  -0.14 ( 27)  -0.27 ( 70) |
DAMASO Nuno - PRATAS Pedro                             |  144  -0.03 | -0.15   0.12 | -0.11 ( 61)   0.29 ( 83) |  0.38 ( 22)  -0.39 ( 39) | -0.00 ( 44)   0.20 ( 39)   0.20 ( 83) |
