                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
MADALA Agustin - BOCCHI Norberto                       |  160   1.83 |  0.79   1.04 |  1.12 ( 83)   0.95 ( 77) |  0.99 ( 48)   1.31 ( 35) |  0.36 ( 37)   0.47 ( 40)   0.54 ( 77) |
VERSACE Alfredo - ZALESKI Romain                       |  144   1.53 |  1.28   0.26 |  0.72 ( 77)  -0.27 ( 67) |  0.48 ( 42)   1.01 ( 35) | -0.31 ( 34)   0.21 ( 33)  -0.22 ( 67) |
DUBININ Alexander - GROMOV Andrey                      |  160   1.36 |  0.41   0.95 |  0.51 ( 82)   1.41 ( 78) |  0.26 ( 37)   0.71 ( 45) |  0.13 ( 40)   0.17 ( 38)   1.26 ( 78) |
KORBEL Daniel - MILES Daniel                           |  160   1.12 |  0.42   0.70 |  1.01 ( 73)   0.45 ( 86) |  0.69 ( 43)   1.46 ( 30) |  0.47 ( 45)   0.23 ( 41)   0.10 ( 86) |
KHOKHLOV Jouri - MATUSHKO Georgi                       |  144   0.96 |  0.82   0.13 |  0.14 ( 70)   0.13 ( 74) |  0.25 ( 39)  -0.00 ( 31) | -0.36 ( 35)   0.00 ( 39)   0.30 ( 74) |
NYSTROM Fredrik - UPMARK Johan                         |  176   0.95 |  0.31   0.64 |  0.71 ( 83)   0.59 ( 93) |  1.11 ( 37)   0.39 ( 46) |  0.33 ( 50)   0.36 ( 43)   0.25 ( 93) |
KHIUPPENEN Yury - KHOLOMEEV Vadim                      |  144   0.91 |  1.12  -0.21 | -0.38 ( 66)  -0.07 ( 77) | -0.91 ( 41)   0.50 ( 25) |  0.19 ( 30)  -0.06 ( 47)  -0.11 ( 77) |
DUBOIN Giorgio - SEMENTA Antonio                       |  143   0.86 |  0.91  -0.05 | -0.00 ( 69)  -0.09 ( 73) |  0.14 ( 24)  -0.08 ( 45) | -0.19 ( 37)   0.11 ( 36)  -0.05 ( 73) |
LAMBARDI Pablo - RAVENNA Pablo                         |  160   0.79 |  0.26   0.52 |  0.35 ( 83)   0.73 ( 76) |  0.35 ( 48)   0.34 ( 35) |  0.32 ( 38)  -0.24 ( 38)   0.68 ( 76) |
FORNASARI Walter - PALAZZO Luis                        |  144   0.71 |  0.22   0.49 |  0.64 ( 63)   0.37 ( 80) | -0.08 ( 31)   1.34 ( 32) |  0.21 ( 40)   0.01 ( 40)   0.26 ( 80) |
DEMUY Vincent - L'ECUYER Nicolas                       |  160   0.58 |  0.12   0.46 |  0.76 ( 89)   0.08 ( 71) |  1.05 ( 46)   0.46 ( 43) |  0.08 ( 33)  -0.21 ( 38)   0.16 ( 71) |
GHIGHECI Ovidiu - ROTARU Iulian                        |  224   0.37 |  0.06   0.31 |  0.34 (127)   0.27 ( 97) | -0.25 ( 57)   0.82 ( 70) |  0.03 ( 50)  -0.12 ( 47)   0.31 ( 97) |
DANWACHIRA Wanchai - PLENGSAP Kridsadayut              |  159   0.34 |  0.31   0.03 | -0.25 ( 78)   0.31 ( 79) | -0.40 ( 27)  -0.18 ( 51) | -0.40 ( 40)   0.16 ( 39)   0.43 ( 79) |
OH Feng Gui Desmond - THAM Yuan Xing Romulus           |  128   0.32 |  0.37  -0.05 |  0.41 ( 63)  -0.50 ( 65) | -0.21 ( 26)   0.85 ( 37) | -0.21 ( 27)  -0.13 ( 38)  -0.34 ( 65) |
EBER Neville - BOSENBERG Christopher Henry             |  192   0.32 |  0.26   0.05 |  0.05 ( 89)   0.06 (103) | -0.34 ( 41)   0.38 ( 48) | -0.10 ( 45)  -0.26 ( 58)   0.25 (103) |
CAMBEROS Hector - PELLEGRINI Carlos                    |  144   0.28 |  0.27   0.00 |  0.29 ( 76)  -0.31 ( 68) |  0.58 ( 40)  -0.04 ( 36) | -0.05 ( 33)  -0.13 ( 35)  -0.23 ( 68) |
DAHAN Stephane - HAYET Jean                            |  160   0.23 |  0.14   0.09 |  0.13 ( 77)   0.06 ( 82) |  0.31 ( 37)  -0.04 ( 40) |  0.01 ( 39)  -0.04 ( 43)   0.08 ( 82) |
CULLIN Per-Ola - BERTHEAU Peter                        |  176   0.21 | -0.14   0.35 | -0.30 ( 82)   0.91 ( 93) | -0.15 ( 47)  -0.49 ( 35) |  0.18 ( 52)   0.40 ( 41)   0.64 ( 93) |
COLDEA Ionut - MARINA Bogdan                           |  224   0.14 | -0.19   0.33 |  0.52 (117)   0.13 (107) |  0.72 ( 73)   0.19 ( 44) |  0.00 ( 54)   0.03 ( 53)   0.11 (107) |
KVOCEK Juraj - VELECKY Eduard                          |  222   0.14 |  0.22  -0.08 | -0.04 (105)  -0.12 (117) | -1.17 ( 51)   1.03 ( 54) | -0.25 ( 50)   0.04 ( 67)  -0.04 (117) |
KRISHNAN Rajendra - NG Chun Tat                        |  160  -0.06 | -0.09   0.03 | -0.12 ( 70)   0.15 ( 90) | -0.21 ( 33)  -0.04 ( 37) |  0.11 ( 41)   0.41 ( 49)  -0.13 ( 90) |
THONGDHAMMACHAT Piya - WONGWAIWIT Chalermpol           |  144  -0.22 |  0.13  -0.36 | -0.80 ( 63)  -0.01 ( 81) | -0.87 ( 34)  -0.72 ( 29) |  0.22 ( 42)  -0.23 ( 39)  -0.02 ( 81) |
BAISAMUT Somchai - SOPHONPANICH Esther C.              |  144  -0.24 |  0.04  -0.28 | -0.62 ( 75)   0.09 ( 68) |  0.42 ( 41)  -1.88 ( 34) |  0.12 ( 37)   0.55 ( 31)  -0.22 ( 68) |
GERRARD Catherine - GERRARD David                      |  159  -0.40 | -0.11  -0.29 | -0.53 ( 73)  -0.08 ( 86) | -1.51 ( 27)   0.04 ( 46) | -0.58 ( 42)  -0.10 ( 44)   0.25 ( 86) |
GOWER Craig - APTEKER Alon                             |  176  -0.40 | -0.38  -0.02 | -0.29 ( 90)   0.26 ( 86) | -0.24 ( 45)  -0.34 ( 45) |  0.17 ( 46)   0.36 ( 40)   0.01 ( 86) |
BELKOUCH Abdellatif - SBILI Said                       |  143  -0.44 |  0.03  -0.47 | -0.41 ( 63)  -0.53 ( 79) | -0.59 ( 36)  -0.16 ( 27) | -0.21 ( 41)  -0.01 ( 38)  -0.42 ( 79) |
OUTRED Charles - OUTRED Vi                             |  144  -0.46 | -0.08  -0.38 | -0.38 ( 63)  -0.38 ( 81) |  0.46 ( 32)  -1.25 ( 31) |  0.07 ( 49)   0.03 ( 32)  -0.44 ( 81) |
AMOILS Leslie - WOLPERT Darren                         |  128  -0.48 | -0.43  -0.05 |  0.19 ( 69)  -0.32 ( 59) | -0.47 ( 33)   0.80 ( 36) |  0.58 ( 31)  -0.59 ( 28)  -0.35 ( 59) |
LIM Ee Xian Kennneth - ONG Yisheng Kelvin              |  144  -0.49 | -0.32  -0.17 |  0.35 ( 69)  -0.64 ( 75) | -0.19 ( 26)   0.68 ( 43) | -0.66 ( 32)  -0.84 ( 43)   0.12 ( 75) |
ABITBOL Marc - CAMBOURNAC Guy                          |  144  -0.60 | -0.55  -0.05 | -0.12 ( 69)   0.02 ( 74) |  0.10 ( 23)  -0.24 ( 46) |  0.13 ( 42)   0.16 ( 32)  -0.12 ( 74) |
COMEAU Kevin - GOSLING Rachael Louise                  |  160  -0.64 | -0.04  -0.60 | -0.08 ( 83)  -1.16 ( 77) | -0.19 ( 40)   0.02 ( 43) | -0.04 ( 33)  -0.66 ( 44)  -0.76 ( 77) |
KEMENOVA Miroslava - TOMCANI Jan                       |  224  -0.67 | -0.26  -0.42 | -0.17 (119)  -0.70 (105) |  0.03 ( 53)  -0.33 ( 66) | -0.38 ( 44)   0.13 ( 61)  -0.62 (105) |
HAY James - NAKAMARU-PINDER Jun                        |  144  -0.74 | -0.43  -0.31 | -0.16 ( 84)  -0.53 ( 60) | -0.11 ( 34)  -0.20 ( 50) | -0.08 ( 35)  -0.26 ( 25)  -0.37 ( 60) |
MOHAMED Shamshad - MOHAMMED Kalamazad                  |  144  -0.76 | -0.69  -0.07 | -0.08 ( 73)  -0.07 ( 71) |  0.27 ( 47)  -0.70 ( 26) |  0.14 ( 39)  -0.13 ( 32)  -0.09 ( 71) |
PERSAD Bobby - SEEPERSAD Mohan                         |  160  -0.79 | -0.49  -0.30 | -0.22 ( 86)  -0.39 ( 74) | -0.85 ( 35)   0.21 ( 51) | -0.08 ( 29)  -0.23 ( 45)  -0.22 ( 74) |
SHAH Ajitkumar Devchand - SHAH Chunilal Devshi         |  160  -0.84 | -0.67  -0.17 | -0.41 ( 86)   0.11 ( 74) | -0.40 ( 47)  -0.42 ( 39) |  0.22 ( 35)  -0.05 ( 39)   0.04 ( 74) |
SHAH Kumar Uttamchand - SHAH Ramula Kumar              |  128  -1.09 | -0.55  -0.55 | -0.57 ( 71)  -0.52 ( 57) | -0.86 ( 41)  -0.17 ( 30) | -0.06 ( 26)  -0.29 ( 31)  -0.33 ( 57) |
BUSSELL Judy - WAY Margaret                            |  160  -1.19 | -0.63  -0.56 | -0.28 ( 83)  -0.91 ( 74) | -0.47 ( 43)  -0.07 ( 40) | -0.53 ( 31)  -0.06 ( 43)  -0.65 ( 74) |
SHAH Meghji Pethraj - SHAH Rohit Zaverchand            |  160  -1.39 | -0.92  -0.47 | -0.47 ( 81)  -0.47 ( 78) | -1.24 ( 31)   0.01 ( 50) | -0.10 ( 47)   0.24 ( 31)  -0.51 ( 78) |
GRAY Gillian - SIDDLE Patricia                         |  128  -1.59 | -0.95  -0.64 | -0.60 ( 64)  -0.69 ( 63) | -0.67 ( 39)  -0.49 ( 25) | -0.10 ( 36)   0.05 ( 27)  -0.66 ( 63) |
FITZPATRICK Alvin - GILLETTE John                      |  144  -1.61 | -0.93  -0.68 | -0.03 ( 65)  -1.21 ( 79) | -0.25 ( 30)   0.16 ( 35) | -0.38 ( 45)  -0.31 ( 34)  -0.86 ( 79) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
AHLESVED Krister - PETERSSON Jonas                     |   96   0.81 |  0.29   0.52 |  0.59 ( 45)   0.47 ( 50) |  0.59 ( 21)   0.59 ( 24) | -0.10 ( 20)   0.92 ( 30)  -0.05 ( 50) |
CHEMALY Larry - STEPHENS Robert                        |   80   0.09 |  0.28  -0.20 | -0.34 ( 43)  -0.03 ( 37) | -0.25 ( 25)  -0.47 ( 18) | -0.06 ( 20)  -0.47 ( 17)   0.22 ( 37) |
ONG Yisheng Kelvin - THAM Yuan Xing Romulus            |   16  -0.75 | -0.54  -0.21 |  0.81 (  9)  -1.52 (  7) |  0.25 (  5)   1.50 (  4) | -0.09 (  5)  -2.62 (  2)  -0.71 (  7) |

