                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BERG Jan Tore - SVENDSEN Odin                          |  144   1.30 |  0.82   0.48 |  0.47 ( 74)   0.49 ( 70) |  0.94 ( 40)  -0.08 ( 34) |  0.35 ( 33)  -0.02 ( 37)   0.34 ( 70) |
HELGEMO Geir - HELNESS Tor                             |  176   1.28 |  0.64   0.64 |  0.76 (102)   0.49 ( 74) |  0.57 ( 57)   0.99 ( 45) |  0.15 ( 37)  -0.20 ( 37)   0.51 ( 74) |
FRIEDLANDER Ehud - LIRAN Inon                          |  144   1.15 |  0.56   0.59 |  0.67 ( 78)   0.48 ( 66) |  0.87 ( 46)   0.39 ( 32) |  0.32 ( 35)   0.25 ( 31)   0.20 ( 66) |
FANTONI Fulvio - NUNES Claudio                         |  176   1.12 |  0.64   0.48 |  0.48 ( 83)   0.48 ( 93) |  0.00 ( 51)   1.23 ( 32) | -0.16 ( 48)  -0.09 ( 45)   0.60 ( 93) |
AKER A. Orhan - KOKTEN Namik                           |  160   1.12 |  0.71   0.41 |  0.07 ( 78)   0.73 ( 82) |  0.38 ( 28)  -0.10 ( 50) | -0.01 ( 46)  -0.46 ( 36)   0.93 ( 82) |
INGIMARSSON Throstur - MAGNUSSON Magnus Eidur          |  224   1.05 |  0.80   0.26 |  0.42 (105)   0.12 (118) |  0.56 ( 55)   0.26 ( 50) |  0.00 ( 59)   0.17 ( 59)   0.03 (118) |
JU Chuancheng - SHI Zheng Jun                          |  192   1.01 |  0.82   0.19 |  0.40 (101)  -0.05 ( 91) |  0.31 ( 71)   0.62 ( 30) | -0.16 ( 29)   0.13 ( 62)  -0.09 ( 91) |
KARAMANLIS Philippos - PROTONOTARIOS Manolis           |  144   0.90 |  0.59   0.31 |  0.36 ( 75)   0.26 ( 69) |  0.27 ( 31)   0.41 ( 44) |  0.13 ( 35)   0.18 ( 34)   0.10 ( 69) |
CHARLSEN Thomas - HOFTANISKA Thor Erik                 |  160   0.81 |  0.55   0.26 |  0.14 ( 84)   0.41 ( 75) |  0.21 ( 40)   0.07 ( 44) |  0.37 ( 33)  -0.14 ( 42)   0.32 ( 75) |
BAREKET Ilan - LENGY Assaf                             |  144   0.77 |  0.53   0.25 |  0.44 ( 61)   0.10 ( 83) |  0.35 ( 37)   0.58 ( 24) |  0.11 ( 45)  -0.34 ( 38)   0.20 ( 83) |
GINOSSAR Eldad - PACHTMAN Ron                          |  160   0.51 |  0.47   0.04 |  0.13 ( 86)  -0.07 ( 74) |  0.05 ( 50)   0.24 ( 36) | -0.21 ( 37)  -0.15 ( 37)   0.11 ( 74) |
HANAYAMA Takeshi - TERAMOTO Tadashi                    |  144   0.44 |  0.26   0.18 |  0.02 ( 72)   0.34 ( 72) | -0.03 ( 33)   0.07 ( 39) | -0.13 ( 36)   0.63 ( 36)   0.09 ( 72) |
