Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GROMOELLER Michael - REHDER Martin;144;1,31;0,95;0,36;0,32;62;  0,39;81;0,74;32;-0,13;30;0,18;44;0,26;37;0,18;81;
NEVE Olivier - POLET Guy;160;1,02;0,45;0,56;0,48;75;  0,64;84;0,44;53;0,59;22;0,18;35;0,16;49;0,47;84;
FRITSCHE Joerg - ROHOWSKY Roland;143;0,90;0,74;0,15;0,04;82;  0,30;61;-0,30;41;0,38;41;0,26;31;0,05;30;0,15;61;
ASKGAARD Michael - BJARNARSON Gregers;160;0,86;0,65;0,21;0,17;74;  0,24;85;0,22;39;0,13;35;0,21;47;0,25;38;0,02;85;
KNAP Andres - WASIK Arturo;160;0,85;0,68;0,17;0,43;83;  -0,11;77;0,93;38;0,01;45;-0,41;37;-0,13;40;0,15;77;
SCHALTZ Martin - BLAKSET Lars;160;0,78;0,48;0,30;0,76;81;  -0,17;79;0,51;44;1,06;37;0,32;41;-0,10;38;-0,29;79;
DATTA Sandip - BANERJEE Amar Nath;128;0,71;0,66;0,05;0,48;61;  -0,34;67;0,50;29;0,46;32;-0,26;26;-0,20;41;-0,12;67;
VAN PROOIJEN Ricco - VERHEES Jr Louk;160;0,58;0,19;0,39;0,72;82;  0,05;78;0,72;55;0,70;27;0,09;52;0,07;26;-0,04;78;
BRINK Sjoert - DRIJVER Bas;160;0,55;0,59;-0,04;-0,33;83;  0,28;77;-0,55;39;-0,14;44;0,66;45;-0,41;32;0,06;77;
NOSHY Sherif - SAMIR Ahmed;144;0,55;-0,04;0,58;0,66;63;  0,52;81;0,50;22;0,75;41;0,43;38;-0,12;43;0,38;81;
PIEKAREK Josef - SMIRNOV Alexander;160;0,49;0,06;0,43;-0,07;81;  0,94;79;-0,07;42;-0,07;39;0,45;42;0,43;37;0,50;79;
COENRAETS Philippe - DE DONDER Steven;176;0,49;0,16;0,33;0,44;91;  0,22;85;0,12;50;0,83;41;0,08;42;0,31;43;0,02;85;
KEMPCZYNSKI Alain - MATHIEU Philippe;128;0,46;0,32;0,14;0,13;68;  0,14;60;0,37;35;-0,12;33;0,02;32;0,09;28;0,09;60;
MAJUMDAR Debabrata - MUKHERJEE Sumit;176;0,41;0,44;-0,03;-0,63;79;  0,46;97;-0,57;33;-0,68;46;0,05;52;0,02;45;0,43;97;
