                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
PILON Dominique - TOFFIER Philippe                     |  144   1.23 |  0.83   0.40 |  0.40 ( 74)   0.40 ( 70) |  0.48 ( 40)   0.30 ( 34) | -0.07 ( 33)   0.12 ( 37)   0.37 ( 70) |
KATZ Ralph - NICKELL Nick                              |  112   1.11 |  0.89   0.22 |  0.10 ( 47)   0.32 ( 64) | -0.05 ( 19)   0.20 ( 28) | -0.12 ( 35)  -0.09 ( 29)   0.42 ( 64) |
BALICKI Cezary - ZMUDZINSKI Adam                       |  160   0.85 |  0.43   0.42 |  0.30 ( 69)   0.51 ( 90) |  0.17 ( 43)   0.50 ( 26) |  0.69 ( 43)   0.11 ( 47)   0.12 ( 90) |
LORENZINI Cedric - ROMBAUT Jerome                      |  160   0.74 |  0.13   0.61 |  0.50 ( 81)   0.72 ( 79) |  0.31 ( 47)   0.78 ( 34) | -0.01 ( 39)   0.03 ( 40)   0.72 ( 79) |
MECKSTROTH Jeff - RODWELL Eric                         |  192   0.66 |  0.28   0.38 |  0.47 (107)   0.28 ( 85) |  0.12 ( 53)   0.81 ( 54) |  0.48 ( 50)  -0.16 ( 35)   0.06 ( 85) |
LINDERMANN Arno - TERRANEO Christian                   |  192   0.61 |  0.43   0.18 | -0.08 (103)   0.47 ( 89) | -0.15 ( 62)   0.03 ( 41) |  0.30 ( 40)  -0.20 ( 49)   0.45 ( 89) |
HAMMAN Bob - MAHMOOD Zia                               |  144   0.56 |  0.37   0.19 |  0.27 ( 77)   0.10 ( 67) |  0.49 ( 34)   0.10 ( 43) |  0.23 ( 38)  -0.24 ( 29)   0.07 ( 67) |
BURAS Krzysztof - NARKIEWICZ Grzegorz                  |  176   0.48 |  0.52  -0.03 | -0.08 ( 99)   0.02 ( 77) | -0.01 ( 50)  -0.15 ( 49) | -0.13 ( 45)  -0.02 ( 32)   0.10 ( 77) |
BOMPIS Marc - QUANTIN Jean-Christophe                  |  144   0.44 |  0.45  -0.02 | -0.16 ( 78)   0.16 ( 66) | -0.41 ( 37)   0.06 ( 41) | -0.06 ( 35)   0.00 ( 31)   0.19 ( 66) |
NIKOLAYENKO Dmytro - RYBNIKOV Gennadii                 |  192   0.35 |  0.25   0.10 |  0.01 ( 94)   0.19 ( 96) |  0.17 ( 45)  -0.13 ( 49) |  0.13 ( 51)  -0.01 ( 45)   0.12 ( 96) |
ZAK Piotr - ZAREMBA Jerzy                              |  112   0.34 |  0.28   0.06 |  0.04 ( 57)   0.08 ( 55) | -0.40 ( 34)   0.69 ( 23) | -0.18 ( 34)   0.06 ( 21)   0.17 ( 55) |
FITZGIBBON Nicholas - MESBUR Adam                      |  176   0.33 |  0.18   0.15 | -0.22 ( 95)   0.58 ( 81) | -0.36 ( 47)  -0.07 ( 48) | -0.06 ( 40)   0.11 ( 41)   0.55 ( 81) |
HANLON Tom - McGANN Hugh                               |  160   0.32 | -0.09   0.41 |  0.63 ( 89)   0.12 ( 71) |  0.88 ( 47)   0.36 ( 42) | -0.07 ( 38)  -0.09 ( 33)   0.20 ( 71) |
LUKS Leo - NABER Lauri                                 |  160   0.31 |  0.29   0.02 |  0.21 ( 75)  -0.16 ( 84) | -0.02 ( 36)   0.44 ( 39) | -0.24 ( 39)  -0.15 ( 45)   0.03 ( 84) |
CAMPOS Joao-Paulo - VILLAS-BOAS Miguel                 |  224   0.30 |  0.17   0.13 |  0.22 (112)   0.05 (111) | -0.02 ( 54)   0.44 ( 58) |  0.10 ( 54)  -0.02 ( 57)   0.02 (111) |
LEVENKO Vassili - SESTER Sven                          |  128   0.25 |  0.06   0.20 |  0.22 ( 58)   0.18 ( 70) |  0.16 ( 27)   0.27 ( 31) | -0.10 ( 29)  -0.13 ( 41)   0.30 ( 70) |
HUANG Patrick K. H. - WU Chang-Dar                     |  128   0.20 |  0.39  -0.19 | -0.30 ( 66)  -0.08 ( 62) | -0.29 ( 32)  -0.31 ( 34) |  0.09 ( 35)  -0.07 ( 27)  -0.10 ( 62) |
TISLEVOLL Geir-Olav - WARE Michael                     |  160   0.18 |  0.28  -0.10 | -0.10 ( 86)  -0.12 ( 74) |  0.22 ( 45)  -0.44 ( 41) | -0.16 ( 42)   0.04 ( 32)  -0.04 ( 74) |
CARROLL John - GARVEY Tommy                            |  112   0.15 |  0.16  -0.01 |  0.21 ( 52)  -0.20 ( 60) |  0.02 ( 19)   0.31 ( 33) | -0.03 ( 29)  -0.33 ( 31)  -0.02 ( 60) |
BABSCH Andreas - SCHIFKO Martin                        |  127   0.09 | -0.01   0.10 |  0.35 ( 65)  -0.17 ( 61) | -0.15 ( 30)   0.77 ( 35) | -0.34 ( 30)   0.18 ( 31)  -0.09 ( 61) |
MIETI Renzo - BAGORDO Alessandro                       |  144   0.02 |  0.17  -0.15 |  0.32 ( 71)  -0.61 ( 72) |  0.17 ( 40)   0.51 ( 31) | -0.30 ( 39)  -0.20 ( 33)  -0.36 ( 72) |
DAMASO Nuno - PRATAS Pedro                             |  144  -0.06 | -0.14   0.08 | -0.06 ( 61)   0.19 ( 83) |  0.34 ( 22)  -0.29 ( 39) | -0.01 ( 44)   0.19 ( 39)   0.11 ( 83) |
HUANG Dong - LIU Jian Tao                              |  128  -0.07 |  0.15  -0.22 | -0.05 ( 58)  -0.36 ( 70) | -0.00 ( 26)  -0.09 ( 32) | -0.11 ( 43)  -0.14 ( 27)  -0.23 ( 70) |
AMIN Bani - SALAHUDDIN Mohammed                        |  144  -0.16 | -0.02  -0.14 | -0.00 ( 64)  -0.26 ( 79) | -0.09 ( 33)   0.09 ( 31) | -0.11 ( 48)   0.04 ( 31)  -0.21 ( 79) |
PINTO Rui - BARBOSA Juliano                            |  160  -0.19 | -0.38   0.19 |  0.10 ( 74)   0.26 ( 86) |  0.52 ( 32)  -0.22 ( 42) |  0.21 ( 40)   0.21 ( 46)   0.05 ( 86) |
CASTELLO BRANCO Marcelo - BARBOSA Roberto              |  144  -0.25 |  0.40  -0.65 | -0.60 ( 71)  -0.70 ( 72) | -0.79 ( 34)  -0.42 ( 37) | -0.23 ( 31)  -0.42 ( 41)  -0.36 ( 72) |
LEE Nok Yin - TSANG Pui Kei                            |  160  -0.26 |  0.30  -0.56 | -0.35 ( 81)  -0.77 ( 79) | -0.20 ( 38)  -0.48 ( 43) | -0.49 ( 47)  -0.26 ( 32)  -0.37 ( 79) |
CHUMAK Yuliy - ROVYSHYN Oleg                           |  176  -0.32 | -0.29  -0.03 | -0.25 ( 82)   0.16 ( 94) | -0.34 ( 48)  -0.12 ( 34) |  0.33 ( 49)  -0.01 ( 45)  -0.01 ( 94) |
KARPOV Maksim - LAANEMAE Tiit                          |  160  -0.35 | -0.18  -0.17 |  0.24 ( 81)  -0.59 ( 79) |  0.30 ( 35)   0.19 ( 46) | -0.12 ( 48)   0.27 ( 31)  -0.62 ( 79) |
CHUNG Jonky - LIU Chang-Kae                            |  160  -0.37 | -0.57   0.19 | -0.29 ( 84)   0.73 ( 76) | -0.27 ( 39)  -0.31 ( 45) |  0.94 ( 38)   0.37 ( 38)   0.07 ( 76) |
