Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
MADALA Agustin - BOCCHI Norberto;160;1,65;0,65;1,00;1,12;83;  0,88;77;1,00;48;1,28;35;0,31;37;0,43;40;0,51;77;
VERSACE Alfredo - ZALESKI Romain;144;1,38;1,17;0,21;0,57;77;  -0,21;67;0,40;42;0,78;35;-0,25;34;0,20;33;-0,18;67;
DUBININ Alexander - GROMOV Andrey;160;1,27;0,40;0,87;0,46;82;  1,30;78;0,19;37;0,68;45;0,13;40;0,17;38;1,15;78;
KORBEL Daniel - MILES Daniel;160;1,10;0,40;0,70;0,96;73;  0,49;86;0,63;43;1,44;30;0,43;45;0,29;41;0,13;86;
KHOKHLOV Jouri - MATUSHKO Georgi;144;0,92;0,79;0,13;0,16;70;  0,10;74;0,24;39;0,06;31;-0,39;35;-0,00;39;0,29;74;
NYSTROM Fredrik - UPMARK Johan;176;0,89;0,27;0,62;0,65;83;  0,59;93;0,99;37;0,38;46;0,30;50;0,35;43;0,26;93;
KHIUPPENEN Yury - KHOLOMEEV Vadim;144;0,84;0,99;-0,14;-0,31;66;  -0,00;77;-0,83;41;0,54;25;0,19;30;-0,04;47;-0,05;77;
DUBOIN Giorgio - SEMENTA Antonio;143;0,82;0,88;-0,06;-0,07;69;  -0,05;73;0,05;24;-0,13;45;-0,16;37;0,14;36;-0,03;73;
LAMBARDI Pablo - RAVENNA Pablo;160;0,71;0,21;0,49;0,33;83;  0,67;76;0,30;48;0,38;35;0,31;38;-0,24;38;0,64;76;
FORNASARI Walter - PALAZZO Luis;144;0,64;0,21;0,43;0,55;63;  0,34;80;-0,09;31;1,16;32;0,18;40;0,01;40;0,24;80;
DEMUY Vincent - L'ECUYER Nicolas;160;0,43;0,02;0,41;0,67;89;  0,08;71;0,90;46;0,44;43;0,11;33;-0,18;38;0,13;71;
EBER Neville - BOSENBERG Christopher Henry;192;0,38;0,29;0,09;0,10;89;  0,09;103;-0,21;41;0,36;48;-0,06;45;-0,24;58;0,25;103;
GHIGHECI Ovidiu - ROTARU Iulian;224;0,36;0,07;0,29;0,34;127;  0,23;97;-0,17;57;0,75;70;0,04;50;-0,09;47;0,25;97;
DANWACHIRA Wanchai - PLENGSAP Kridsadayut;159;0,30;0,27;0,03;-0,23;78;  0,29;79;-0,36;27;-0,17;51;-0,37;40;0,15;39;0,40;79;
OH Feng Gui Desmond - THAM Yuan Xing Romulus;128;0,27;0,31;-0,03;0,43;63;  -0,48;65;-0,18;26;0,86;37;-0,15;27;-0,12;38;-0,35;65;
CAMBEROS Hector - PELLEGRINI Carlos;144;0,19;0,16;0,03;0,27;76;  -0,24;68;0,56;40;-0,06;36;-0,05;33;-0,12;35;-0,15;68;
DAHAN Stephane - HAYET Jean;160;0,18;0,12;0,06;0,11;77;  0,01;82;0,25;37;-0,01;40;-0,02;39;-0,05;43;0,04;82;
CULLIN Per-Ola - BERTHEAU Peter;176;0,18;-0,13;0,30;-0,29;82;  0,82;93;-0,14;47;-0,50;35;0,15;52;0,36;41;0,58;93;
KVOCEK Juraj - VELECKY Eduard;222;0,15;0,20;-0,04;-0,03;105;  -0,05;117;-1,12;51;1,00;54;-0,19;50;0,03;67;0,01;117;
COLDEA Ionut - MARINA Bogdan;224;0,14;-0,18;0,32;0,50;117;  0,13;107;0,65;73;0,24;44;0,00;54;0,07;53;0,10;107;
KRISHNAN Rajendra - NG Chun Tat;160;-0,06;-0,06;0,00;-0,10;70;  0,08;90;-0,26;33;0,04;37;0,05;41;0,37;49;-0,14;90;
THONGDHAMMACHAT Piya - WONGWAIWIT Chalermpol;144;-0,20;0,12;-0,33;-0,70;63;  -0,03;81;-0,74;34;-0,65;29;0,21;42;-0,24;39;-0,03;81;
BAISAMUT Somchai - SOPHONPANICH Esther C,;144;-0,25;0,03;-0,29;-0,63;75;  0,08;68;0,31;41;-1,75;34;0,14;37;0,50;31;-0,22;68;
GERRARD Catherine - GERRARD David;159;-0,35;-0,05;-0,30;-0,51;73;  -0,13;86;-1,42;27;0,03;46;-0,53;42;-0,08;44;0,18;86;
GOWER Craig - APTEKER Alon;176;-0,36;-0,34;-0,02;-0,27;90;  0,25;86;-0,19;45;-0,35;45;0,12;46;0,35;40;0,02;86;
BELKOUCH Abdellatif - SBILI Said;143;-0,44;-0,02;-0,42;-0,38;63;  -0,47;79;-0,51;36;-0,20;27;-0,24;41;-0,00;38;-0,34;79;
LIM Ee Xian Kennneth - ONG Yisheng Kelvin;144;-0,45;-0,27;-0,18;0,31;69;  -0,64;75;-0,18;26;0,61;43;-0,61;32;-0,85;43;0,11;75;
AMOILS Leslie - WOLPERT Darren;128;-0,46;-0,41;-0,04;0,15;69;  -0,26;59;-0,42;33;0,67;36;0,54;31;-0,45;28;-0,33;59;
OUTRED Charles - OUTRED Vi;144;-0,49;-0,10;-0,39;-0,38;63;  -0,39;81;0,38;32;-1,17;31;0,05;49;0,02;32;-0,43;81;
ABITBOL Marc - CAMBOURNAC Guy;144;-0,50;-0,46;-0,04;-0,13;69;  0,04;74;0,04;23;-0,22;46;0,11;42;0,17;32;-0,09;74;
COMEAU Kevin - GOSLING Rachael Louise;160;-0,58;-0,04;-0,53;-0,07;83;  -1,03;77;-0,17;40;0,03;43;-0,03;33;-0,55;44;-0,71;77;
KEMENOVA Miroslava - TOMCANI Jan;224;-0,58;-0,17;-0,41;-0,17;119;  -0,68;105;-0,02;53;-0,30;66;-0,37;44;0,13;61;-0,60;105;
MOHAMED Shamshad - MOHAMMED Kalamazad;144;-0,62;-0,57;-0,05;-0,02;73;  -0,08;71;0,29;47;-0,59;26;0,12;39;-0,11;32;-0,10;71;
HAY James - NAKAMARU-PINDER Jun;144;-0,66;-0,36;-0,30;-0,15;84;  -0,50;60;-0,13;34;-0,17;50;-0,08;35;-0,30;25;-0,33;60;
SHAH Ajitkumar Devchand - SHAH Chunilal Devshi;160;-0,75;-0,60;-0,15;-0,37;86;  0,09;74;-0,35;47;-0,39;39;0,20;35;-0,08;39;0,04;74;
PERSAD Bobby - SEEPERSAD Mohan;160;-0,79;-0,48;-0,30;-0,26;86;  -0,36;74;-0,86;35;0,16;51;-0,06;29;-0,24;45;-0,19;74;
BUSSELL Judy - WAY Margaret;160;-1,09;-0,55;-0,54;-0,29;83;  -0,85;74;-0,47;43;-0,10;40;-0,49;31;-0,04;43;-0,62;74;
SHAH Kumar Uttamchand - SHAH Ramula Kumar;128;-1,10;-0,53;-0,57;-0,56;71;  -0,57;57;-0,81;41;-0,23;30;-0,12;26;-0,28;31;-0,36;57;
SHAH Meghji Pethraj - SHAH Rohit Zaverchand;160;-1,25;-0,82;-0,44;-0,42;81;  -0,46;78;-1,21;31;0,06;50;-0,10;47;0,20;31;-0,47;78;
GRAY Gillian - SIDDLE Patricia;128;-1,49;-0,89;-0,60;-0,53;64;  -0,67;63;-0,59;39;-0,45;25;-0,09;36;0,01;27;-0,63;63;
FITZPATRICK Alvin - GILLETTE John;144;-1,52;-0,91;-0,60;-0,01;65;  -1,09;79;-0,17;30;0,13;35;-0,32;45;-0,29;34;-0,78;79;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
AHLESVED Krister - PETERSSON Jonas;96;0,70;0,25;0,45;0,50;45;  0,40;50;0,55;21;0,46;24;-0,10;20;0,78;30;-0,03;50;
CHEMALY Larry - STEPHENS Robert;80;0,10;0,28;-0,18;-0,33;43;  -0,02;37;-0,33;25;-0,32;18;-0,03;20;-0,39;17;0,18;37;
ONG Yisheng Kelvin - THAM Yuan Xing Romulus;16;-0,53;-0,41;-0,12;0,73;9;  -1,22;7;0,18;5;1,42;4;-0,09;5;-2,00;2;-0,59;7;

