                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
HELGEMO Geir - HELNESS Tor                             |  176   1.15 |  0.54   0.60 |  0.69 (102)   0.49 ( 74) |  0.53 ( 57)   0.90 ( 45) |  0.13 ( 37)  -0.17 ( 37)   0.51 ( 74) |
BERG Jan Tore - SVENDSEN Odin                          |  144   1.14 |  0.69   0.45 |  0.45 ( 74)   0.45 ( 70) |  0.85 ( 40)  -0.02 ( 34) |  0.30 ( 33)  -0.01 ( 37)   0.32 ( 70) |
FANTONI Fulvio - NUNES Claudio                         |  176   1.11 |  0.62   0.49 |  0.51 ( 83)   0.48 ( 93) |  0.08 ( 51)   1.19 ( 32) | -0.13 ( 48)  -0.09 ( 45)   0.59 ( 93) |
FRIEDLANDER Ehud - LIRAN Inon                          |  144   0.99 |  0.47   0.53 |  0.60 ( 78)   0.44 ( 66) |  0.75 ( 46)   0.39 ( 32) |  0.27 ( 35)   0.26 ( 31)   0.18 ( 66) |
JU Chuancheng - SHI Zheng Jun                          |  192   0.95 |  0.76   0.18 |  0.35 (101)  -0.01 ( 91) |  0.26 ( 71)   0.57 ( 30) | -0.09 ( 29)   0.11 ( 62)  -0.05 ( 91) |
AKER A. Orhan - KOKTEN Namik                           |  160   0.91 |  0.58   0.33 |  0.05 ( 78)   0.60 ( 82) |  0.40 ( 28)  -0.14 ( 50) | -0.04 ( 46)  -0.41 ( 36)   0.80 ( 82) |
INGIMARSSON Throstur - MAGNUSSON Magnus Eidur          |  224   0.91 |  0.65   0.26 |  0.43 (105)   0.10 (118) |  0.54 ( 55)   0.31 ( 50) |  0.02 ( 59)   0.18 ( 59)   0.01 (118) |
KARAMANLIS Philippos - PROTONOTARIOS Manolis           |  144   0.84 |  0.59   0.25 |  0.27 ( 75)   0.23 ( 69) |  0.26 ( 31)   0.28 ( 44) |  0.14 ( 35)   0.18 ( 34)   0.07 ( 69) |
CHARLSEN Thomas - HOFTANISKA Thor Erik                 |  160   0.73 |  0.49   0.24 |  0.15 ( 84)   0.35 ( 75) |  0.25 ( 40)   0.05 ( 44) |  0.34 ( 33)  -0.12 ( 42)   0.27 ( 75) |
BAREKET Ilan - LENGY Assaf                             |  144   0.66 |  0.42   0.24 |  0.42 ( 61)   0.11 ( 83) |  0.29 ( 37)   0.62 ( 24) |  0.10 ( 45)  -0.32 ( 38)   0.20 ( 83) |
GINOSSAR Eldad - PACHTMAN Ron                          |  160   0.54 |  0.45   0.09 |  0.19 ( 86)  -0.03 ( 74) |  0.16 ( 50)   0.23 ( 36) | -0.21 ( 37)  -0.13 ( 37)   0.14 ( 74) |
HANAYAMA Takeshi - TERAMOTO Tadashi                    |  144   0.42 |  0.25   0.17 |  0.02 ( 72)   0.32 ( 72) | -0.06 ( 33)   0.09 ( 39) | -0.08 ( 36)   0.51 ( 36)   0.11 ( 72) |
IMAKURA Tadashi - INO Masayuki                         |  160   0.41 |  0.31   0.10 |  0.24 ( 77)  -0.02 ( 83) |  0.82 ( 33)  -0.19 ( 44) |  0.43 ( 40)   0.10 ( 43)  -0.28 ( 83) |
LIAN Ruoyang - SHI Haojun                              |  128   0.36 |  0.34   0.02 | -0.02 ( 52)   0.05 ( 76) | -0.37 ( 26)   0.32 ( 26) | -0.36 ( 26)   0.15 ( 50)   0.08 ( 76) |
GUR Okay - YILMAZ M.Gokhan                             |  160   0.29 |  0.14   0.14 |  0.09 ( 79)   0.19 ( 81) | -0.06 ( 41)   0.25 ( 38) |  0.24 ( 42)  -0.05 ( 39)   0.09 ( 81) |
LILLEY David - NAGY Zoltan                             |  144   0.16 |  0.04   0.13 |  0.37 ( 71)  -0.11 ( 73) |  0.63 ( 33)   0.14 ( 38) | -0.19 ( 31)   0.09 ( 42)  -0.08 ( 73) |
FURUTA Kazuo - KAKU Hiroshi                            |  144   0.09 | -0.10   0.19 |  0.31 ( 59)   0.10 ( 84) | -0.01 ( 34)   0.76 ( 25) | -0.02 ( 38)   0.18 ( 46)   0.01 ( 84) |
GROETHEIM Glenn - TUNDAL Ulf Haakon                    |  144   0.05 | -0.27   0.32 |  0.20 ( 69)   0.44 ( 75) |  0.12 ( 33)   0.28 ( 36) | -0.26 ( 39)   0.16 ( 36)   0.50 ( 75) |
CENGIZ Nuri - KURU Ercan                               |  128   0.03 |  0.11  -0.07 |  0.37 ( 69)  -0.59 ( 59) |  0.23 ( 42)   0.59 ( 27) |  0.15 ( 26)  -0.61 ( 33)  -0.32 ( 59) |
PEKKINEN Markku - SALMENKIVI Eero                      |  224   0.02 | -0.03   0.05 | -0.10 (111)   0.20 (113) |  0.09 ( 56)  -0.30 ( 55) | -0.02 ( 61)   0.10 ( 52)   0.16 (113) |
