Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
MOSS Sylvia - RADIN Judi;112;1,17;0,59;0,58;0,50;71;  0,72;41;0,56;34;0,44;37;0,02;17;0,39;24;0,48;41;
PASMAN Jet - SIMONS Anneke;144;0,95;0,38;0,57;0,98;74;  0,14;69;0,85;45;1,19;29;-0,12;40;0,41;29;0,03;69;
HORSMAN Eileen - RICHARDSON Carol;144;0,74;0,51;0,23;0,16;71;  0,30;71;-0,30;35;0,60;36;0,00;34;0,46;37;0,06;71;
DEKKERS Laura - MICHIELSEN Marion;144;0,74;0,59;0,15;0,01;66;  0,26;78;-0,67;37;0,88;29;-0,03;41;0,05;37;0,25;78;
DEAS Lynn - PALMER Beth;144;0,73;0,39;0,34;0,15;71;  0,52;73;-0,25;48;0,99;23;-0,19;34;-0,39;39;0,82;73;
ARNOLDS Carla - VAN ZWOL Wietske;160;0,66;0,59;0,06;-0,07;91;  0,23;69;0,13;44;-0,25;47;0,05;32;0,49;37;-0,05;69;
GRUMM Iris - WEIGKRICHT Terry;223;0,57;0,27;0,29;-0,06;106;  0,62;114;-0,19;58;0,10;48;0,39;68;0,25;46;0,29;114;
BOJOH Lusje Olha - TUEJE Julita Grace;224;0,49;0,46;0,02;0,15;103;  -0,09;121;0,05;61;0,31;42;-0,13;63;0,19;58;-0,11;121;
ASSMANN Ursula - GOGOMAN Adele;224;0,43;0,36;0,08;0,45;108;  -0,27;115;-0,04;55;0,95;53;0,16;60;-0,41;55;-0,15;115;
MIYAKUNI Ayako - OTA Hiroko;144;0,42;0,15;0,27;0,56;68;  0,01;75;0,70;36;0,39;32;-0,11;27;-0,08;48;0,11;75;
HOULBERG Anne-Sofie - MADSEN Christina Lund;224;0,40;0,43;-0,03;0,07;130;  -0,17;93;0,05;67;0,09;63;-0,48;40;-0,01;53;0,04;93;
TAL Dana - TAL Noga;224;0,31;-0,07;0,38;0,30;108;  0,45;116;-0,19;49;0,71;59;-0,09;61;0,16;55;0,42;116;
DEWI Suci Amita - MURNIATI Kristina Wahyu;224;0,29;0,12;0,18;0,05;104;  0,29;119;0,50;56;-0,47;48;0,30;50;0,24;69;0,02;119;
CHOKSI Rita - DEY Bharati;112;0,29;0,60;-0,31;-0,48;56;  -0,13;56;-0,50;29;-0,46;27;-0,28;24;-0,09;32;0,03;56;
SIMPSON Wendy Ho - SINGH Sagari;144;0,29;0,41;-0,12;0,13;74;  -0,39;69;0,05;32;0,20;42;0,23;37;-0,01;32;-0,51;69;
