Players;No,;Pl1;Pl2;Def;L1;L2;Butler;Bid;Play1;Play2;;Lead1;Lead2;Def
WANG Liping - ZHANG Yu;112;28;40;44;24;20;1,22;0,44;0,29;0,22;0,08;0,02;0,18
PAIN Leda - VARGAS DE ANDRADE Isabella;144;78;1;64;0;64;1,16;0,90;0,07;0,01;0,00;0,06;0,11
RIMSTEDT Sandra - SJOBERG Emma;144;31;36;77;35;42;1,03;0,67;0,18;0,05;-0,10;0,07;0,17
FORSBERG Catharina - GRONKVIST Maria;144;31;36;76;34;42;0,89;0,48;0,16;0,07;0,08;0,03;0,07
GRONKVIST Ida - RIMSTEDT Cecilia;127;43;33;51;30;21;0,81;0,38;0,03;0,16;-0,01;0,03;0,21
GU Ling - LU Yan;144;36;37;70;37;33;0,69;0,30;-0,04;0,11;0,03;0,08;0,20
BROGELAND Tonje Aasand - SVENDSEN Tone Torkelsen;128;40;28;60;37;23;0,63;0,39;-0,09;0,22;-0,02;-0,01;0,14
DAUVERGNE Sophie - HUGON Elisabeth;144;43;26;74;40;34;0,57;0,48;-0,05;0,03;0,02;0,03;0,05
ROSETTA Annalisa - VANUZZI Marilina;128;43;22;62;29;33;0,55;0,11;0,12;-0,15;0,12;0,17;0,17
CORREA Paula - DE MELLO Sylvia Figueira;144;47;27;69;44;25;0,51;0,02;0,29;0,09;-0,01;-0,00;0,12
GOLIN Cristina - OLIVIERI Gabriella;144;31;41;70;31;39;0,51;0,44;-0,02;0,02;0,03;0,08;-0,04
MANDELOT Agota - NOGUEIRA Heloisa;128;34;25;69;39;30;0,50;0,20;0,10;0,17;-0,17;0,21;-0,02
NARUNSKY Maureen - SWIEL Joy;144;35;30;78;34;44;0,46;0,31;-0,02;0,13;0,01;0,02;0,00
POIZAT Rokia - VIVES Catherine;128;33;30;65;34;31;0,42;0,24;0,04;0,01;-0,04;0,11;0,07
FERLAZZO Caterina - MANARA Gabriella;144;29;48;66;25;41;0,32;0,15;0,23;-0,03;0,04;0,00;-0,08
BESSIS Veronique - PUILLET Carole;144;35;36;73;37;36;0,28;0,23;-0,11;-0,17;0,00;0,12;0,20
DARYANANI Padma - SULTAN Perla;128;39;30;59;31;28;0,26;0,66;-0,07;0,02;0,05;-0,08;-0,31
FUGLESTAD Ann Karin - HARDING Marianne;159;40;43;76;32;44;0,20;0,40;0,00;0,02;-0,12;-0,03;-0,08
WANG Hongli - WANG Wen Fei;127;27;32;68;28;40;0,12;-0,09;0,02;0,03;-0,01;0,08;0,09
BOHNSACK Susanne - KHANUKOVA Yevgeniya;112;28;38;45;25;20;0,05;0,14;-0,38;0,41;-0,03;0,00;-0,09
LUESSMANN Claudia - SMYKALLA Gisela;144;37;23;83;49;34;0,02;-0,02;0,07;-0,08;0,05;-0,03;0,03
AZWER Zeenat - AGHA Rubina;176;55;42;79;45;34;-0,06;0,12;-0,17;0,01;0,01;-0,01;-0,03
EGGELING Marie - GIAMPIETRO Cristina;160;33;37;89;51;38;-0,06;-0,12;-0,03;0,15;0,05;-0,08;-0,03
BETTINI Maria Grazia - PACHECO Morella;144;21;47;75;31;44;-0,13;-0,08;-0,13;0,17;0,04;0,04;-0,17
EGAN Victoria - TAN Gemma;112;29;25;58;34;24;-0,15;0,09;0,20;-0,19;-0,00;-0,11;-0,14
HOLMOY Stine - VIST Gunn Tove;128;42;29;56;32;24;-0,21;-0,22;-0,23;0,06;-0,06;0,06;0,18
ABU GARBIEH May - AL BITAR Mais;192;50;38;103;44;59;-0,26;-0,19;0,15;-0,13;0,01;0,01;-0,11
KENNY Renee - LIPSHITZ Charmaine;144;33;44;67;23;44;-0,34;-0,00;-0,04;-0,18;0,02;-0,06;-0,07
HAMAMSI Rokia - TEBER Samira;144;41;43;59;27;32;-0,41;-0,16;-0,02;-0,07;-0,04;-0,07;-0,05
GUERRAOUI Farida - MARRAKCHI Khadija;144;31;43;69;26;43;-0,44;-0,34;0,03;-0,13;-0,06;0,07;-0,02
BREYTENBACH Marina - FACTOR Roseline;128;40;31;57;21;36;-0,60;-0,47;-0,09;0,16;0,02;-0,13;-0,09
BENCHEMSI Fatiha - AYAD Saliva;128;29;27;72;48;24;-0,63;-0,53;-0,03;-0,15;-0,02;-0,06;0,16
FARHAT Faten - HAMDAN Nahla;128;36;25;66;30;36;-0,63;-0,38;-0,14;0,04;-0,14;-0,03;0,01
AHMED Farida - AKHTAR Shamim;160;30;45;85;40;45;-1,01;-0,47;-0,07;-0,10;-0,16;-0,01;-0,21
DIEBOLD Zoraida - TAGLIAVIA Marisa;144;27;38;78;44;34;-1,55;-1,17;-0,10;-0,06;-0,05;-0,02;-0,14

Players;No,;Pl1;Pl2;Def;L1;L2;Butler;Bid;Play1;Play2;;Lead1;Lead2;Def
FARHAT Faten - ANAWATI Claude;16;7;0;9;0;9;1,00;1,68;-0,87;0,00;0,00;0,01;0,18
WANG Liping - WANG Wen Fei;32;7;7;18;10;8;0,88;0,78;0,20;0,03;-0,12;-0,03;0,01
ABU GARBIEH May - HASHEM Nawar;16;9;0;7;0;7;0,75;0,76;0,17;0,00;0,00;0,00;-0,17
HAMDAN Nahla - ANAWATI Claude;48;14;12;22;10;12;0,46;0,01;-0,00;0,33;-0,09;-0,01;0,21
CHAMMAA Iman - KREIDIEH Hana;16;2;8;6;4;2;0,44;-0,43;-0,05;0,74;0,03;-0,01;0,16
ENCONTRO Mylene - TAN Gemma;64;11;21;32;17;15;0,20;-0,17;0,02;-0,07;0,08;0,08;0,27
EGAN Victoria - VELHAGEN Consuelo;16;4;2;10;5;5;0,19;0,48;0,13;-0,34;0,01;0,07;-0,16
KREIDIEH Hana - ANAWATI Claude;95;17;30;48;28;20;-0,11;-0,20;0,03;-0,11;-0,01;-0,01;0,19
ENCONTRO Mylene - QUIMSON Angeles;48;10;10;28;15;13;-0,56;-0,90;0,22;-0,03;0,04;-0,00;0,10
HASHEM Nawar - AL SALIM Lubna;80;22;17;41;24;17;-0,60;-0,21;-0,22;-0,16;-0,08;0,00;0,08
DE GUZMAN Mary Cristy Ann - ENCONTRO Mylene;64;10;21;33;11;22;-0,88;-0,48;-0,03;-0,32;0,03;-0,18;0,10
EGAN Victoria - ENCONTRO Mylene;16;3;5;8;4;4;-0,88;-1,08;0,00;0,46;-0,13;0,06;-0,19
KREIDIEH Hana - RAMADAN Youmna;64;11;23;30;5;25;-1,05;-0,85;0,06;-0,09;0,00;0,02;-0,18
DE GUZMAN Mary Cristy Ann - QUIMSON Angeles;96;20;19;57;26;31;-1,10;-0,48;-0,05;-0,09;-0,13;-0,05;-0,30
HADDADIN Laila - AL SALIM Lubna;48;12;10;26;14;12;-1,10;-0,82;-0,08;-0,27;0,09;-0,03;0,01
HADDADIN Laila - HASHEM Nawar;80;16;19;45;23;22;-1,11;-0,35;0,02;-0,21;-0,14;-0,12;-0,32
DUBASH Dinaz - AZIZ Shehla;80;17;19;44;20;24;-1,66;-1,17;0,13;0,06;-0,08;-0,21;-0,40
CHAMMAA Iman - FARHAT Faten;48;7;17;24;11;13;-1,90;-1,06;-0,47;-0,18;-0,07;-0,02;-0,09

