                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BROCK Sally - SMITH Nicola                             |  128   1.48 |  0.80   0.68 |  0.18 ( 72)   1.32 ( 56) |  0.52 ( 42)  -0.29 ( 30) |  0.44 ( 25)   0.44 ( 31)   0.89 ( 56) |
GULEVICH Anna - KHONICHEVA Elena                       |  144   1.16 |  0.87   0.29 |  0.26 ( 65)   0.32 ( 77) |  0.29 ( 34)   0.22 ( 31) | -0.08 ( 40)  -0.16 ( 37)   0.43 ( 77) |
GROMOVA Victoria - PONOMAREVA Tatiana                  |  128   1.05 |  0.53   0.52 |  0.67 ( 75)   0.31 ( 53) |  0.62 ( 37)   0.72 ( 38) | -0.19 ( 14)   0.05 ( 39)   0.33 ( 53) |
CHUBAROVA Svetlana - VOROBEYCHIKOVA Olga               |  144   1.02 |  0.77   0.25 | -0.38 ( 72)   0.88 ( 71) |  0.01 ( 36)  -0.76 ( 36) |  0.00 ( 29)   0.30 ( 42)   0.70 ( 71) |
McGOWAN Elizabeth (Liz) - PUNCH Sam                    |  160   0.73 |  0.35   0.38 |  0.47 ( 85)   0.29 ( 75) |  0.52 ( 45)   0.41 ( 40) |  0.34 ( 43)   0.18 ( 32)   0.01 ( 75) |
KAZMUCHA Danuta - SAKOWSKA Natalia                     |  144   0.73 |  0.46   0.27 |  0.42 ( 75)   0.10 ( 69) |  0.05 ( 36)   0.76 ( 39) | -0.27 ( 29)  -0.05 ( 40)   0.24 ( 69) |
ADUT Vera - ATALAY Belis                               |  112   0.72 |  0.50   0.23 |  0.48 ( 64)  -0.11 ( 48) |  0.56 ( 36)   0.37 ( 28) | -0.61 ( 22)   0.18 ( 26)   0.07 ( 48) |
ACAR Asli - ERKAN Berrak                               |  160   0.72 |  0.11   0.61 |  0.95 ( 82)   0.24 ( 77) |  1.14 ( 42)   0.75 ( 40) |  0.05 ( 37)  -0.06 ( 40)   0.25 ( 77) |
ADAMSON Sheila - SYMONS Anne                           |  144   0.45 |  0.22   0.23 |  0.34 ( 54)   0.17 ( 90) |  0.42 ( 24)   0.28 ( 30) | -0.05 ( 45)  -0.22 ( 45)   0.30 ( 90) |
BOURKE Margaret - LUSK Sue                             |  144   0.42 |  0.44  -0.03 | -0.10 ( 68)   0.04 ( 76) | -0.12 ( 38)  -0.07 ( 30) | -0.06 ( 41)   0.15 ( 35)  -0.00 ( 76) |
KHALIL Lily - KHOURI Maud                              |  144   0.39 |  0.07   0.32 |  0.38 ( 75)   0.27 ( 67) |  0.08 ( 38)   0.68 ( 37) |  0.28 ( 29)   0.40 ( 38)  -0.08 ( 67) |
PANADERO Maria - BABOT Mari Carmen                     |  144   0.29 | -0.16   0.45 |  0.43 ( 70)   0.47 ( 73) |  0.39 ( 34)   0.47 ( 36) |  0.43 ( 40)  -0.05 ( 33)   0.26 ( 73) |
DUFRAT Katarzyna - ZMUDA Justyna                       |  144   0.26 | -0.09   0.35 |  0.72 ( 69)   0.02 ( 75) |  0.49 ( 30)   0.90 ( 39) | -0.88 ( 40)   0.03 ( 35)   0.47 ( 75) |
SO Ho-Yee - TSAI Po-Ya                                 |  128   0.26 |  0.12   0.15 |  0.23 ( 64)   0.06 ( 64) |  0.37 ( 29)   0.11 ( 35) | -0.15 ( 25)   0.08 ( 39)   0.07 ( 64) |
DEMME Ina - WOLPERT Hazel                              |  160   0.24 |  0.12   0.12 |  0.13 ( 75)   0.11 ( 84) |  0.21 ( 41)   0.03 ( 34) |  0.21 ( 41)   0.01 ( 43)   0.00 ( 84) |
GRANT Maida - McDONALD Sheila                          |  112   0.23 | -0.00   0.24 |  0.25 ( 62)   0.22 ( 50) |  0.11 ( 32)   0.40 ( 30) |  0.19 ( 25)   0.09 ( 25)   0.08 ( 50) |
