                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
MOSS Sylvia - RADIN Judi                               |  112   1.09 |  0.56   0.53 |  0.43 ( 71)   0.71 ( 41) |  0.43 ( 34)   0.42 ( 37) | -0.00 ( 17)   0.35 ( 24)   0.51 ( 41) |
PASMAN Jet - SIMONS Anneke                             |  144   0.89 |  0.39   0.50 |  0.90 ( 74)   0.08 ( 69) |  0.73 ( 45)   1.16 ( 29) | -0.15 ( 40)   0.37 ( 29)   0.01 ( 69) |
DEAS Lynn - PALMER Beth                                |  144   0.71 |  0.42   0.29 |  0.13 ( 71)   0.45 ( 73) | -0.23 ( 48)   0.90 ( 23) | -0.19 ( 34)  -0.38 ( 39)   0.74 ( 73) |
HORSMAN Eileen - RICHARDSON Carol                      |  144   0.66 |  0.45   0.21 |  0.15 ( 71)   0.28 ( 71) | -0.28 ( 35)   0.58 ( 36) | -0.00 ( 34)   0.41 ( 37)   0.06 ( 71) |
GRUMM Iris - WEIGKRICHT Terry                          |  223   0.61 |  0.33   0.28 | -0.05 (106)   0.60 (114) | -0.15 ( 58)   0.06 ( 48) |  0.34 ( 68)   0.23 ( 46)   0.30 (114) |
DEKKERS Laura - MICHIELSEN Marion                      |  144   0.61 |  0.46   0.14 |  0.04 ( 66)   0.23 ( 78) | -0.60 ( 37)   0.86 ( 29) | -0.04 ( 41)   0.08 ( 37)   0.21 ( 78) |
ARNOLDS Carla - VAN ZWOL Wietske                       |  160   0.58 |  0.54   0.04 | -0.12 ( 91)   0.25 ( 69) |  0.11 ( 44)  -0.33 ( 47) |  0.06 ( 32)   0.45 ( 37)  -0.02 ( 69) |
BOJOH Lusje Olha - TUEJE Julita Grace                  |  224   0.41 |  0.40   0.02 |  0.13 (103)  -0.08 (121) |  0.04 ( 61)   0.27 ( 42) | -0.11 ( 63)   0.18 ( 58)  -0.11 (121) |
ASSMANN Ursula - GOGOMAN Adele                         |  224   0.40 |  0.31   0.08 |  0.42 (108)  -0.23 (115) | -0.04 ( 55)   0.90 ( 53) |  0.14 ( 60)  -0.38 ( 55)  -0.12 (115) |
HOULBERG Anne-Sofie - MADSEN Christina Lund            |  224   0.37 |  0.43  -0.06 |  0.02 (130)  -0.17 ( 93) | -0.02 ( 67)   0.06 ( 63) | -0.40 ( 40)  -0.01 ( 53)   0.01 ( 93) |
DEWI Suci Amita - MURNIATI Kristina Wahyu              |  224   0.35 |  0.18   0.18 |  0.08 (104)   0.26 (119) |  0.50 ( 56)  -0.41 ( 48) |  0.25 ( 50)   0.21 ( 69)   0.03 (119) |
TAL Dana - TAL Noga                                    |  224   0.30 | -0.05   0.35 |  0.31 (108)   0.39 (116) | -0.10 ( 49)   0.66 ( 59) | -0.09 ( 61)   0.16 ( 55)   0.36 (116) |
MIYAKUNI Ayako - OTA Hiroko                            |  144   0.29 |  0.03   0.26 |  0.51 ( 68)   0.04 ( 75) |  0.65 ( 36)   0.35 ( 32) | -0.12 ( 27)  -0.10 ( 48)   0.15 ( 75) |
CHOKSI Rita - DEY Bharati                              |  112   0.28 |  0.59  -0.31 | -0.48 ( 56)  -0.14 ( 56) | -0.46 ( 29)  -0.51 ( 27) | -0.26 ( 24)  -0.06 ( 32)   0.01 ( 56) |
