                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
WANG Liping - ZHANG Yu                                 |  112   1.20 |  0.45   0.74 |  0.76 ( 68)   0.71 ( 44) |  1.04 ( 28)   0.57 ( 40) |  0.39 ( 24)   0.10 ( 20)   0.45 ( 44) |
PAIN Leda - VARGAS DE ANDRADE Isabella                 |  144   1.02 |  0.78   0.24 |  0.15 ( 79)   0.36 ( 64) |  0.13 ( 78)   1.98 (  1) |     - (  0)   0.14 ( 64)   0.22 ( 64) |
RIMSTEDT Sandra - SJOBERG Emma                         |  144   1.00 |  0.64   0.36 |  0.44 ( 67)   0.29 ( 77) |  0.78 ( 31)   0.14 ( 36) | -0.41 ( 35)   0.25 ( 42)   0.34 ( 77) |
FORSBERG Catharina - GRONKVIST Maria                   |  144   0.81 |  0.46   0.35 |  0.44 ( 67)   0.28 ( 76) |  0.69 ( 31)   0.22 ( 36) |  0.33 ( 34)   0.05 ( 42)   0.11 ( 76) |
GRONKVIST Ida - RIMSTEDT Cecilia                       |  127   0.73 |  0.32   0.41 |  0.27 ( 76)   0.61 ( 51) |  0.06 ( 43)   0.54 ( 33) | -0.02 ( 30)   0.20 ( 21)   0.55 ( 51) |
GU Ling - LU Yan                                       |  144   0.67 |  0.27   0.40 |  0.19 ( 73)   0.62 ( 70) | -0.10 ( 36)   0.47 ( 37) |  0.17 ( 37)   0.30 ( 33)   0.39 ( 70) |
BROGELAND Tonje Aasand - SVENDSEN Tone Torkelsen       |  128   0.55 |  0.39   0.16 |  0.20 ( 68)   0.12 ( 60) | -0.27 ( 40)   0.87 ( 28) | -0.11 ( 37)  -0.02 ( 23)   0.19 ( 60) |
ROSETTA Annalisa - VANUZZI Marilina                    |  128   0.54 |  0.09   0.46 |  0.02 ( 65)   0.93 ( 62) |  0.42 ( 43)  -0.76 ( 22) |  0.53 ( 29)   0.59 ( 33)   0.37 ( 62) |
DAUVERGNE Sophie - HUGON Elisabeth                     |  144   0.52 |  0.43   0.09 | -0.04 ( 69)   0.21 ( 74) | -0.12 ( 43)   0.09 ( 26) |  0.09 ( 40)   0.15 ( 34)   0.09 ( 74) |
MANDELOT Agota - NOGUEIRA Heloisa                      |  128   0.50 |  0.21   0.29 |  0.56 ( 59)   0.05 ( 69) |  0.37 ( 34)   0.82 ( 25) | -0.54 ( 39)   0.87 ( 30)  -0.02 ( 69) |
CORREA Paula - DE MELLO Sylvia Figueira                |  144   0.48 |  0.04   0.44 |  0.67 ( 74)   0.19 ( 69) |  0.80 ( 47)   0.46 ( 27) | -0.02 ( 44)  -0.03 ( 25)   0.22 ( 69) |
GOLIN Cristina - OLIVIERI Gabriella                    |  144   0.47 |  0.38   0.09 |  0.03 ( 72)   0.16 ( 70) | -0.01 ( 31)   0.06 ( 41) |  0.12 ( 31)   0.29 ( 39)  -0.05 ( 70) |
NARUNSKY Maureen - SWIEL Joy                           |  144   0.44 |  0.26   0.18 |  0.28 ( 65)   0.09 ( 78) | -0.02 ( 35)   0.64 ( 30) |  0.04 ( 34)   0.11 ( 44)   0.02 ( 78) |
POIZAT Rokia - VIVES Catherine                         |  128   0.41 |  0.26   0.14 |  0.06 ( 63)   0.23 ( 65) |  0.12 ( 33)  -0.01 ( 30) | -0.14 ( 34)   0.39 ( 31)   0.12 ( 65) |
FERLAZZO Caterina - MANARA Gabriella                   |  144   0.26 |  0.12   0.14 |  0.27 ( 77)  -0.02 ( 66) |  1.05 ( 29)  -0.20 ( 48) |  0.23 ( 25)   0.01 ( 41)  -0.11 ( 66) |
BESSIS Veronique - PUILLET Carole                      |  144   0.20 |  0.16   0.04 | -0.53 ( 71)   0.60 ( 73) | -0.40 ( 35)  -0.66 ( 36) |  0.01 ( 37)   0.46 ( 36)   0.37 ( 73) |
DARYANANI Padma - SULTAN Perla                         |  128   0.18 |  0.55  -0.37 | -0.07 ( 69)  -0.72 ( 59) | -0.20 ( 39)   0.11 ( 30) |  0.16 ( 31)  -0.33 ( 28)  -0.65 ( 59) |
FUGLESTAD Ann Karin - HARDING Marianne                 |  159   0.16 |  0.34  -0.18 |  0.03 ( 83)  -0.42 ( 76) |  0.00 ( 40)   0.06 ( 43) | -0.54 ( 32)  -0.08 ( 44)  -0.14 ( 76) |
BOHNSACK Susanne - KHANUKOVA Yevgeniya                 |  112   0.11 |  0.16  -0.05 |  0.06 ( 66)  -0.21 ( 45) | -1.44 ( 28)   1.17 ( 38) | -0.12 ( 25)  -0.00 ( 20)  -0.15 ( 45) |
WANG Hongli - WANG Wen Fei                             |  127   0.10 | -0.09   0.19 |  0.10 ( 59)   0.27 ( 68) |  0.11 ( 27)   0.09 ( 32) | -0.05 ( 28)   0.23 ( 40)   0.16 ( 68) |
LUESSMANN Claudia - SMYKALLA Gisela                    |  144  -0.01 | -0.03   0.01 | -0.03 ( 60)   0.04 ( 83) |  0.27 ( 37)  -0.51 ( 23) |  0.12 ( 49)  -0.14 ( 34)   0.03 ( 83) |
EGGELING Marie - GIAMPIETRO Cristina                   |  160  -0.02 | -0.07   0.05 |  0.24 ( 70)  -0.09 ( 89) | -0.13 ( 33)   0.56 ( 37) |  0.16 ( 51)  -0.30 ( 38)  -0.05 ( 89) |
