Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
J Kalita - M Nowosadzki;287;0,67;0,44;0,23;0,23;157;  0,23;129;0,30;90;0,14;67;0,14;73;0,22;56;0,06;129;
S Gołębiowski - W Starkowski;142;0,65;0,55;0,11;0,33;71;  -0,11;71;0,50;43;0,07;28;-0,12;39;-0,22;32;0,05;71;
J Wojcieszek - P Jassem;252;0,63;0,69;-0,06;-0,09;135;  -0,01;117;-0,06;75;-0,14;60;0,20;52;-0,06;65;-0,07;117;
J Makaruk - P Niedzielski;179;0,63;0,28;0,35;0,24;86;  0,46;91;0,34;49;0,11;37;0,24;44;0,34;47;0,17;91;
J Janowski - M Leśniewski;120;0,62;0,33;0,28;0,43;62;  0,13;57;0,92;28;0,02;34;0,41;28;-0,23;29;0,05;57;
B Pazur - M Wójcicki;216;0,58;0,35;0,23;0,20;100;  0,26;114;0,00;44;0,36;56;-0,15;63;0,24;51;0,23;114;
J Pszczoła - M Kwiecień;252;0,57;-0,11;0,68;0,78;118;  0,59;133;1,08;68;0,38;50;-0,15;60;0,35;73;0,46;133;
R Kierznowski - Z Rogowski;228;0,54;0,34;0,20;0,06;106;  0,32;121;-0,08;45;0,16;61;-0,26;55;0,29;66;0,27;121;
D Kowalski - P Bizoń;239;0,51;0,16;0,34;0,49;131;  0,17;108;0,08;59;0,82;72;0,40;47;0,01;61;-0,01;108;
R Jagniewski - W Gaweł;263;0,46;0,41;0,05;-0,05;116;  0,13;146;0,41;55;-0,47;61;-0,30;41;0,03;105;0,20;146;
C Balicki - P Gawryś;120;0,43;-0,18;0,61;0,84;66;  0,34;52;1,36;35;0,25;31;0,11;28;-0,00;24;0,28;52;
Z Papierniak - J Figlus;108;0,41;0,22;0,19;0,59;46;  -0,12;61;0,20;18;0,84;28;0,20;34;0,14;27;-0,29;61;
G Narkiewicz - K Buras;252;0,39;0,46;-0,07;-0,07;130;  -0,08;119;-0,23;63;0,08;67;-0,14;57;-0,02;62;-0,00;119;
M Puczyński - B Chmurski;156;0,37;-0,05;0,41;0,84;74;  0,03;81;0,71;35;0,96;39;0,01;48;-0,15;33;0,08;81;
