Players;No,;Pl1;Pl2;Def;L1;L2;IMPs;Bid;Play1;Play2;;Lead1;Lead2;Def
J Pszczoła - M Kwiecień;252;68;50;133;60;73;0,59;-0,02;0,26;0,07;-0,03;0,10;0,21
J Wojcieszek - P Jassem;252;75;60;117;52;65;0,59;0,64;-0,01;-0,02;0,04;-0,02;-0,03
J Janowski - M Leśniewski;120;28;34;57;28;29;0,59;0,32;0,20;-0,00;0,09;-0,04;0,01
J Makaruk - P Niedzielski;179;49;37;91;44;47;0,58;0,28;0,09;0,01;0,05;0,08;0,09
J Kalita - M Nowosadzki;287;90;67;129;73;56;0,57;0,39;0,07;0,02;0,04;0,04;0,01
R Kierznowski - Z Rogowski;228;45;61;121;55;66;0,54;0,35;-0,00;0,04;-0,05;0,08;0,13
S Gołębiowski - W Starkowski;142;43;28;71;39;32;0,53;0,44;0,12;0,02;-0,04;-0,05;0,04
B Pazur - M Wójcicki;216;44;56;114;63;51;0,49;0,27;0,02;0,09;-0,03;0,05;0,10
R Jagniewski - W Gaweł;263;55;61;146;41;105;0,47;0,39;0,09;-0,08;-0,05;0,02;0,09
D Kowalski - P Bizoń;239;59;72;108;47;61;0,47;0,13;0,02;0,23;0,08;0,01;0,00
C Balicki - P Gawryś;120;35;31;52;28;24;0,34;-0,17;0,33;0,04;0,03;-0,01;0,13
G Narkiewicz - K Buras;252;63;67;119;57;62;0,34;0,38;-0,05;0,01;-0,02;-0,00;0,03
B Gierulski - J Skrzypczak;300;83;93;124;55;69;0,33;0,13;0,04;0,12;0,02;-0,01;0,03
M Puczyński - B Chmurski;156;35;39;81;48;33;0,32;-0,05;0,14;0,25;-0,00;-0,03;0,02
Z Papierniak - J Figlus;108;18;28;61;34;27;0,30;0,22;0,02;0,18;0,05;0,01;-0,17
M Krupowicz - P Lutostański;288;78;72;136;73;63;0,22;-0,02;0,09;-0,02;0,01;-0,07;0,23
M Bartkowski - P Kołuda;119;38;30;50;26;24;0,22;0,07;0,22;-0,14;0,04;-0,00;0,03
L Ohrysko - M Jeleniewski;312;87;69;156;76;80;0,19;-0,10;0,19;0,08;0,00;-0,05;0,07
T Włodarczak - J Sieracki;168;48;39;81;50;31;0,17;-0,16;0,07;0,14;0,05;-0,02;0,08
J Cieślak - P Żak;132;36;32;63;28;35;0,12;-0,01;0,23;-0,13;0,06;0,01;-0,04
