                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
J Pszczoła - M Kwiecień                                |  252   0.59 | -0.02   0.62 |  0.72 (118)   0.53 (133) |  0.97 ( 68)   0.38 ( 50) | -0.13 ( 60)   0.33 ( 73)   0.41 (133) |
J Wojcieszek - P Jassem                                |  252   0.59 |  0.64  -0.05 | -0.07 (135)  -0.03 (117) | -0.03 ( 75)  -0.10 ( 60) |  0.19 ( 52)  -0.07 ( 65)  -0.07 (117) |
J Janowski - M Leśniewski                              |  120   0.59 |  0.32   0.27 |  0.38 ( 62)   0.15 ( 57) |  0.85 ( 28)  -0.01 ( 34) |  0.40 ( 28)  -0.16 ( 29)   0.03 ( 57) |
J Makaruk - P Niedzielski                              |  179   0.58 |  0.28   0.31 |  0.20 ( 86)   0.41 ( 91) |  0.33 ( 49)   0.04 ( 37) |  0.18 ( 44)   0.29 ( 47)   0.17 ( 91) |
J Kalita - M Nowosadzki                                |  287   0.57 |  0.39   0.18 |  0.17 (157)   0.19 (129) |  0.22 ( 90)   0.10 ( 67) |  0.15 ( 73)   0.20 ( 56)   0.02 (129) |
R Kierznowski - Z Rogowski                             |  228   0.54 |  0.35   0.19 |  0.08 (106)   0.30 (121) | -0.02 ( 45)   0.16 ( 61) | -0.22 ( 55)   0.29 ( 66)   0.24 (121) |
S Gołębiowski - W Starkowski                           |  142   0.53 |  0.44   0.09 |  0.28 ( 71)  -0.10 ( 71) |  0.39 ( 43)   0.11 ( 28) | -0.14 ( 39)  -0.21 ( 32)   0.07 ( 71) |
B Pazur - M Wójcicki                                   |  216   0.49 |  0.27   0.23 |  0.23 (100)   0.24 (114) |  0.08 ( 44)   0.34 ( 56) | -0.11 ( 63)   0.23 ( 51)   0.19 (114) |
R Jagniewski - W Gaweł                                 |  263   0.47 |  0.39   0.08 |  0.02 (116)   0.13 (146) |  0.42 ( 55)  -0.34 ( 61) | -0.29 ( 41)   0.06 (105)   0.17 (146) |
D Kowalski - P Bizoń                                   |  239   0.47 |  0.13   0.34 |  0.45 (131)   0.20 (108) |  0.09 ( 59)   0.75 ( 72) |  0.39 ( 47)   0.04 ( 61)   0.01 (108) |
C Balicki - P Gawryś                                   |  120   0.34 | -0.17   0.52 |  0.67 ( 66)   0.33 ( 52) |  1.12 ( 35)   0.17 ( 31) |  0.14 ( 28)  -0.07 ( 24)   0.29 ( 52) |
G Narkiewicz - K Buras                                 |  252   0.34 |  0.38  -0.04 | -0.07 (130)  -0.00 (119) | -0.20 ( 63)   0.05 ( 67) | -0.11 ( 57)  -0.02 ( 62)   0.06 (119) |
B Gierulski - J Skrzypczak                             |  300   0.33 |  0.13   0.20 |  0.27 (176)   0.10 (124) |  0.16 ( 83)   0.38 ( 93) |  0.09 ( 55)  -0.04 ( 69)   0.08 (124) |
