                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
STOCKDALE Susan - BROWN Fiona                          |  208   1.11 |  0.62   0.49 |  0.70 (100)   0.29 (108) |  0.63 ( 43)   0.76 ( 57) | -0.65 ( 42)   0.11 ( 66)   0.48 (108) |
SIMONS Anneke - PASMAN Jet                             |  223   0.91 |  0.46   0.45 |  0.22 (106)   0.66 (117) |  0.46 ( 41)   0.07 ( 65) |  0.14 ( 55)  -0.04 ( 62)   0.62 (117) |
BALDYSZ Cathy - SARNIAK Anna                           |  224   0.89 |  0.30   0.59 |  1.08 (124)  -0.01 (100) |  0.17 ( 47)   1.63 ( 77) |  0.33 ( 56)  -0.14 ( 44)  -0.13 (100) |
WORTEL Meike - MICHIELSEN Marion                       |  224   0.88 |  0.42   0.46 |  0.41 (117)   0.52 (107) |  0.53 ( 63)   0.27 ( 54) |  0.59 ( 48)   0.03 ( 59)   0.23 (107) |
YAN Ru - LIU Yan                                       |  256   0.88 |  0.42   0.46 |  0.41 (120)   0.50 (134) |  0.52 ( 64)   0.29 ( 56) |  0.30 ( 81)   0.12 ( 53)   0.28 (134) |
WANG Liping - WANG Wen Fei                             |  240   0.71 |  0.52   0.19 |  0.28 (123)   0.09 (117) |  0.40 ( 66)   0.14 ( 57) | -0.03 ( 51)  -0.17 ( 66)   0.20 (117) |
YAVAS Dilek - OYMEN Ozlem                              |  224   0.68 |  0.48   0.20 |  0.25 (127)   0.13 ( 97) |  0.60 ( 68)  -0.15 ( 59) |  0.07 ( 52)   0.27 ( 45)  -0.03 ( 97) |
LEVITINA Irina - SANBORN Kerri                         |  288   0.64 |  0.21   0.43 |  0.24 (146)   0.63 (142) | -0.09 ( 84)   0.68 ( 62) |  0.00 ( 78)   0.16 ( 64)   0.56 (142) |
DEAS Lynn - PALMER Beth                                |  272   0.64 |  0.20   0.44 |  0.59 (144)   0.26 (128) |  0.82 ( 62)   0.42 ( 82) | -0.16 ( 60)   0.36 ( 68)   0.15 (128) |
TACZEWSKA Joanna - DUFRAT Katarzyna                    |  224   0.59 |  0.55   0.04 |  0.10 (113)  -0.02 (111) |  0.33 ( 63)  -0.19 ( 50) | -0.32 ( 64)  -0.03 ( 47)   0.18 (111) |
ZUR-CAMPANILE Migry - MEYERS Jill                      |  240   0.59 |  0.04   0.55 |  0.47 (128)   0.63 (112) | -0.01 ( 70)   1.05 ( 58) |  0.08 ( 50)   0.17 ( 62)   0.51 (112) |
ADUT Vera - ATALAY Belis                               |  192   0.58 |  0.42   0.17 |  0.40 ( 97)  -0.07 ( 95) |  0.06 ( 37)   0.61 ( 60) | -0.07 ( 51)   0.46 ( 44)  -0.25 ( 95) |
VAN ZWOL Wietske - ARNOLDS Carla                       |  223   0.55 |  0.38   0.16 |  0.22 (125)   0.09 ( 98) |  0.34 ( 51)   0.13 ( 74) |  0.17 ( 53)   0.02 ( 45)  -0.01 ( 98) |
SONSINI Barbara - RADIN Judi                           |  112   0.50 |  0.22   0.28 |  0.24 ( 52)   0.31 ( 60) | -0.32 ( 21)   0.61 ( 31) |  0.16 ( 28)   0.30 ( 32)   0.08 ( 60) |
GAVIARD Daniele - REESS Vanessa                        |  208   0.47 |  0.15   0.32 |  0.22 (110)   0.43 ( 98) |  0.12 ( 59)   0.32 ( 51) |  0.27 ( 45)   0.18 ( 53)   0.21 ( 98) |
CUMPSTONE Karen - EATON Joan                           |  224   0.46 |  0.19   0.27 |  0.18 (111)   0.36 (112) |  0.34 ( 60)  -0.00 ( 51) |  0.05 ( 53)   0.43 ( 59)   0.12 (112) |
WOLPERT Jenny - LEVIN Jill                             |  207   0.45 |  0.37   0.08 |  0.38 (102)  -0.22 (105) |  0.46 ( 46)   0.31 ( 56) | -0.12 ( 50)   0.41 ( 55)  -0.38 (105) |
SHIMAMURA Kyoko - SATO Makiko                          |  224   0.44 |  0.46  -0.02 |  0.35 (108)  -0.36 (115) |  0.64 ( 68)  -0.15 ( 40) | -0.57 ( 55)  -0.27 ( 60)   0.05 (115) |
D'OVIDIO Catherine - NEVE Joanna                       |  240   0.44 |  0.41   0.04 |  0.39 (121)  -0.33 (118) |  0.16 ( 73)   0.75 ( 48) | -0.21 ( 59)   0.00 ( 59)  -0.23 (118) |
