Players;No,;Pl1;Pl2;Def;L1;L2;IMPs;Bid;Play1;Play2;;Lead1;Lead2;Def
STOCKDALE Susan - BROWN Fiona;208;43;57;108;42;66;0,96;0,49;0,11;0,19;-0,12;0,04;0,24
SIMONS Anneke - PASMAN Jet;223;41;65;117;55;62;0,86;0,46;0,07;0,02;0,02;-0,01;0,29
BALDYSZ Cathy - SARNIAK Anna;224;47;77;100;56;44;0,79;0,24;0,04;0,50;0,08;-0,02;-0,06
YAN Ru - LIU Yan;256;64;56;134;81;53;0,78;0,36;0,13;0,06;0,08;0,03;0,12
WORTEL Meike - MICHIELSEN Marion;224;63;54;107;48;59;0,74;0,34;0,13;0,05;0,11;0,01;0,10
YAVAS Dilek - OYMEN Ozlem;224;68;59;97;52;45;0,63;0,44;0,16;-0,04;0,02;0,05;-0,01
WANG Liping - WANG Wen Fei;240;66;57;117;51;66;0,62;0,46;0,08;0,04;-0,01;-0,05;0,09
DEAS Lynn - PALMER Beth;272;62;82;128;60;68;0,58;0,18;0,17;0,12;-0,03;0,08;0,07
LEVITINA Irina - SANBORN Kerri;288;84;62;142;78;64;0,57;0,19;-0,02;0,13;-0,00;0,03;0,23
TACZEWSKA Joanna - DUFRAT Katarzyna;224;63;50;111;64;47;0,55;0,50;0,10;-0,04;-0,08;-0,01;0,08
ADUT Vera - ATALAY Belis;192;37;60;95;51;44;0,53;0,38;0,01;0,18;-0,03;0,09;-0,10
ZUR-CAMPANILE Migry - MEYERS Jill;240;70;58;112;50;62;0,50;-0,03;0,01;0,23;0,02;0,04;0,24
SONSINI Barbara - RADIN Judi;112;21;31;60;28;32;0,48;0,21;-0,06;0,18;0,03;0,08;0,02
VAN ZWOL Wietske - ARNOLDS Carla;223;51;74;98;53;45;0,47;0,34;0,06;0,02;0,04;0,01;-0,01
GAVIARD Daniele - REESS Vanessa;208;59;51;98;45;53;0,45;0,15;0,05;0,08;0,05;0,04;0,09
WOLPERT Jenny - LEVIN Jill;207;46;56;105;50;55;0,43;0,33;0,10;0,08;-0,02;0,10;-0,15
SJOBERG Emma - RIMSTEDT Sandra;223;57;66;100;53;47;0,40;0,49;-0,06;0,04;0,05;-0,02;-0,11
SHIMAMURA Kyoko - SATO Makiko;224;68;40;115;55;60;0,39;0,43;0,17;-0,03;-0,12;-0,07;0,01
CUMPSTONE Karen - EATON Joan;224;60;51;112;53;59;0,38;0,15;0,08;0,00;0,02;0,09;0,04
ALEGRE Eleonora - HERRERA Florencia;240;52;61;127;65;62;0,38;0,47;-0,07;0,06;-0,02;0,05;-0,11
EYTHORSDOTTIR Hjordis - SEAMON-MOLSON Janice;224;66;65;93;44;49;0,35;0,30;0,08;0,05;-0,01;-0,06;-0,01
D'OVIDIO Catherine - NEVE Joanna;240;73;48;118;59;59;0,34;0,34;0,04;0,13;-0,06;-0,00;-0,10
ZMUDA Justyna - KAZMUCHA Danuta;224;42;58;123;65;58;0,32;-0,09;0,08;-0,10;0,03;0,10;0,30
AHLESVED Catharina - GRONKVIST Maria;224;53;58;113;56;57;0,30;0,08;-0,05;0,16;0,04;0,03;0,03
WILLARD Sylvie - CRONIER Benedicte;224;55;61;108;38;70;0,25;0,43;0,02;-0,11;0,05;-0,07;-0,07
SMITH Nicola - BROCK Sally;224;51;54;119;59;60;0,16;-0,14;0,03;0,28;-0,02;-0,08;0,09
DEWI Suci Amita - MURNIATI Kristina Wahyu;272;60;71;141;65;76;0,14;-0,05;-0,02;0,05;-0,01;0,06;0,11
YANAGISAWA Akiko - FUKUYOSHI Yuki;208;64;41;102;64;38;0,14;0,10;0,05;0,04;0,03;0,05;-0,14
VARGAS DE ANDRADE Isabella - PAIN Leda;256;37;71;148;80;68;0,10;-0,16;0,12;0,16;-0,12;0,12;-0,01
BOURKE Margaret - LUSK Sue;224;71;50;103;56;47;0,08;0,07;0,05;-0,12;-0,02;0,05;0,04
ACAR Asli - KURANOGLU Serap;256;68;51;137;55;82;0,07;0,29;-0,05;-0,00;-0,02;-0,06;-0,10
SUMMERS-CALEY Sylvia - CIMON Francine;224;51;68;105;55;50;0,05;0,27;-0,05;-0,07;-0,09;-0,03;0,03
DHONDY Heather - SENIOR Nevena;240;52;75;112;58;54;0,03;0,09;0,03;0,02;-0,04;-0,05;-0,03
