Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
VERSACE Alfredo - LAURIA Lorenzo;224;0,91;0,44;0,46;0,11;124;  0,91;99;0,93;45;-0,35;79;0,20;48;0,27;51;0,67;99;
GOLD David - BAKHSHI David;176;0,75;0,41;0,34;0,17;96;  0,54;80;-0,29;47;0,61;49;-0,15;37;0,27;43;0,47;80;
KALITA Jacek - NOWOSADZKI Michal;192;0,72;0,32;0,40;0,41;81;  0,39;111;0,32;40;0,50;41;0,09;59;0,12;52;0,29;111;
LORENCS Martins - BETHERS Janis;176;0,68;0,22;0,46;0,11;79;  0,74;97;0,67;24;-0,13;55;0,76;41;0,25;56;0,28;97;
BILDE Dennis - BILDE Morten;271;0,66;0,34;0,31;0,20;140;  0,44;131;0,24;68;0,16;72;0,14;62;0,35;69;0,19;131;
KANDEMIR Ismail - KOLATA Suleyman;192;0,64;0,15;0,49;0,68;99;  0,28;93;0,81;56;0,52;43;-0,12;40;-0,10;53;0,39;93;
BIRMAN Alon - PADON Dror;176;0,62;0,41;0,21;0,60;90;  -0,19;86;0,14;48;1,13;42;0,13;44;-0,00;42;-0,26;86;
GHIGHECI Ovidiu - ROTARU Iulian;208;0,60;0,54;0,06;0,27;114;  -0,19;94;0,52;57;0,01;57;-0,13;51;0,04;43;-0,14;94;
GUNEV Rossen - NANEV Ivan;208;0,58;0,33;0,25;0,27;112;  0,22;95;0,49;60;0,02;52;0,11;48;-0,02;47;0,18;95;
ZMUDZINSKI Adam - BALICKI Cezary;208;0,53;0,25;0,28;0,10;112;  0,50;95;0,36;54;-0,14;58;-0,16;56;0,42;39;0,42;95;
WALKER Rob - PIEDRA Fernando;176;0,50;0,15;0,35;0,31;95;  0,40;81;0,18;49;0,45;46;-0,26;30;0,07;51;0,46;81;
HACKETT Jason - HACKETT Justin;176;0,47;0,39;0,09;0,15;86;  0,02;89;0,59;36;-0,17;50;0,09;47;0,21;42;-0,13;89;
DE WIJS Simon - MULLER Bauke;224;0,46;0,08;0,39;0,61;115;  0,15;109;0,70;57;0,51;58;-0,26;47;0,03;62;0,25;109;
FISHER Lotan - SCHWARTZ Ron;192;0,45;-0,22;0,66;0,94;92;  0,42;100;0,79;53;1,13;39;0,31;57;-0,09;43;0,28;100;
HEGEDUS Gal - SZEGEDI Balazs;176;0,43;0,37;0,06;0,50;99;  -0,50;77;0,75;51;0,23;48;-0,26;35;-0,48;42;-0,12;77;
FORRESTER Tony - ROBSON Andrew;192;0,37;0,20;0,17;0,28;92;  0,08;100;-0,07;54;0,78;38;-0,10;41;0,08;59;0,08;100;
MIHOV Vladimir - STEFANOV Julian;256;0,27;-0,12;0,39;0,30;133;  0,48;123;-0,74;56;1,06;77;0,05;71;0,74;52;0,14;123;
