Players;No,;Pl1;Pl2;Def;L1;L2;IMPs;Bid;Play1;Play2;;Lead1;Lead2;Def
VERSACE Alfredo - LAURIA Lorenzo;224;45;79;99;48;51;0,82;0,39;0,18;-0,11;0,03;0,06;0,29
GOLD David - BAKHSHI David;176;47;49;80;37;43;0,73;0,41;-0,05;0,15;-0,03;0,06;0,19
KALITA Jacek - NOWOSADZKI Michal;192;40;41;111;59;52;0,69;0,34;0,05;0,09;0,02;0,03;0,15
LORENCS Martins - BETHERS Janis;176;24;55;97;41;56;0,62;0,20;0,09;-0,04;0,16;0,07;0,15
BIRMAN Alon - PADON Dror;176;48;42;86;44;42;0,59;0,42;0,04;0,23;0,02;0,00;-0,13
BILDE Dennis - BILDE Morten;271;68;72;131;62;69;0,56;0,29;0,05;0,05;0,02;0,08;0,07
KANDEMIR Ismail - KOLATA Suleyman;192;56;43;93;40;53;0,53;0,10;0,22;0,11;-0,02;-0,03;0,16
ZMUDZINSKI Adam - BALICKI Cezary;208;54;58;95;56;39;0,52;0,26;0,08;-0,03;-0,03;0,07;0,18
FISHER Lotan - SCHWARTZ Ron;192;53;39;100;57;43;0,48;-0,15;0,21;0,20;0,09;-0,00;0,14
GHIGHECI Ovidiu - ROTARU Iulian;208;57;57;94;51;43;0,48;0,41;0,11;0,01;-0,04;0,01;-0,03
GUNEV Rossen - NANEV Ivan;208;60;52;95;48;47;0,47;0,23;0,12;0,01;0,02;0,00;0,08
DE WIJS Simon - MULLER Bauke;224;57;58;109;47;62;0,42;0,09;0,16;0,11;-0,05;0,01;0,10
HACKETT Jason - HACKETT Justin;176;36;50;89;47;42;0,42;0,35;0,10;-0,03;0,01;0,04;-0,05
FORRESTER Tony - ROBSON Andrew;192;54;38;100;41;59;0,40;0,20;0,00;0,15;-0,02;0,02;0,04
WALKER Rob - PIEDRA Fernando;176;49;46;81;30;51;0,37;0,06;0,04;0,10;-0,04;0,02;0,18
HEGEDUS Gal - SZEGEDI Balazs;176;51;48;77;35;42;0,30;0,26;0,19;0,05;-0,05;-0,11;-0,05
MIHOV Vladimir - STEFANOV Julian;256;56;77;123;71;52;0,28;-0,07;-0,14;0,29;0,01;0,13;0,05
BRICIU Marius - TEODORESCU Cornel;128;26;37;65;32;33;0,22;0,54;-0,23;-0,13;0,00;0,01;0,02
HERBST Ilan - HERBST Ophir;176;52;39;84;49;35;0,16;-0,03;0,03;0,13;0,03;-0,05;0,05
KOKSOY Enver - MOLVA Murat;192;62;40;90;47;43;0,15;0,12;0,06;-0,13;0,02;0,02;0,06
VAN PROOIJEN Ricco - VERHEES Jr Louk;208;61;36;111;57;54;0,14;-0,00;0,06;-0,02;0,06;0,01;0,02
RITMEIJER Richard - TICHA Magdalena;112;57;5;50;7;43;0,13;0,03;-0,09;0,04;0,00;0,03;0,12
ZIPOVSKI Dimitraki - RADISIC Goran;240;62;68;109;51;58;0,12;0,17;-0,08;0,10;0,00;-0,05;-0,02
JOENSEN Roi A Rogvu - SIMONSEN Bogi;192;33;52;107;35;72;0,11;0,41;-0,02;-0,04;-0,05;-0,11;-0,07
KAYA Emre - ATABEY Yalcin;160;43;38;79;37;42;0,10;0,31;0,06;-0,15;-0,09;0,10;-0,13
COLDEA Ionut - MARINA Bogdan;208;54;58;96;43;53;0,08;0,16;0,07;-0,06;0,01;0,03;-0,11
CASPERSEN Henrik - GRAVERSEN Hans Christian;112;27;28;57;29;28;0,05;0,17;-0,14;-0,05;-0,04;0,07;0,03
PAREZANIN Darko - PERISIC Marko;112;35;26;51;25;26;-0,03;-0,12;-0,13;0,20;-0,08;-0,01;0,09
ASKGAARD Michael - KONOW Kasper;160;33;45;81;44;37;-0,08;0,20;-0,07;-0,07;-0,05;-0,06;-0,03
DEHAYE Bernard - DEWASME Isabelle;192;47;38;107;61;46;-0,16;-0,22;0,10;0,04;-0,00;0,04;-0,11
WINKLER Gabor - HOMONNAY Geza;192;50;42;100;52;48;-0,20;-0,05;-0,10;-0,04;-0,05;-0,02;0,06
PLACKETT Richard Mark - POWNALL Mike;128;26;35;67;35;32;-0,21;0,05;-0,15;0,09;-0,05;0,06;-0,22
JANSONS Ugis - RUBENIS Ivars;176;44;35;96;43;53;-0,21;0,16;-0,03;-0,09;0,07;-0,11;-0,21
JASSEM Krzysztof - MAZURKIEWICZ Marcin;144;41;33;70;26;44;-0,22;-0,35;-0,04;0,14;-0,06;-0,01;0,10
LAKATOS Peter - SZILAGYI Laszlo;176;37;51;88;44;44;-0,28;-0,12;-0,30;-0,01;0,06;0,05;0,04
BOCKEN Patrick - NEVE Olivier;176;41;34;101;43;58;-0,28;-0,48;-0,04;-0,03;0,06;0,04;0,18
JOVANOVIC Dejan - KOLDZIC Zoran;176;32;44;100;53;47;-0,30;-0,29;-0,01;0,04;0,02;-0,03;-0,03
VAN MIDDELEM Guy - CAPUTO Philippe;176;52;47;76;37;39;-0,34;-0,19;-0,06;0,04;0,04;-0,10;-0,07
ABOU CHANAB Bachar - SASSELLI Marco;176;39;34;102;45;57;-0,35;-0,34;0,05;-0,09;-0,01;0,12;-0,08
BALASOVS Jurijs - RUBINS Karlis;192;50;55;86;39;47;-0,36;0,08;-0,04;-0,04;-0,09;-0,07;-0,19
MIKKELSEN Arne - MOHR Danjal Pauli;192;43;40;107;59;48;-0,36;-0,21;0,06;0,02;-0,08;0,02;-0,17
KURBALIJA Filip - SHIELDS Patrick;192;53;52;87;42;45;-0,44;-0,19;0,04;-0,08;-0,09;-0,08;-0,05
MASIC Faruk - MILOVIC Milovan;176;35;33;107;54;53;-0,44;-0,36;-0,08;-0,00;0,08;0,07;-0,15
MAGNUSSON Stephan - NIKOLENKOV Dmitrij;192;56;44;92;41;51;-0,48;-0,23;0,08;0,00;-0,07;-0,01;-0,25
ARLOVICH Andrei - VAINIKONIS Erikas;192;48;42;102;44;58;-0,53;-0,13;-0,13;-0,07;0,05;0,04;-0,29
DAM Arni - LASSABERG Simin;160;51;44;64;24;40;-0,64;-0,39;-0,09;0,06;-0,06;-0,02;-0,13
OLANSKI Wojtek - VAINIKONIS Vytautas;192;45;48;99;53;46;-0,74;-0,39;0,14;-0,18;-0,01;-0,10;-0,22
BUDRYS Marius - MICHAILOVAS Andrius;160;37;47;76;26;50;-0,84;-0,44;-0,07;-0,09;-0,08;0,00;-0,16
DOLAREVIC Samir - TICA Ranko;192;53;48;90;40;50;-0,85;-0,21;-0,21;-0,28;-0,05;-0,03;-0,06

