Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SACCAVINI Ilaria - PAOLUZI Simonetta;256;1,04;0,47;0,57;0,50;119;  0,62;137;0,27;62;0,76;57;0,46;78;0,12;59;0,31;137;
SARNIAK Anna - BALDYSZ Cathy;304;0,97;0,31;0,66;0,73;168;  0,58;135;0,69;82;0,77;86;0,08;66;0,16;69;0,46;135;
WORTEL Meike - MICHIELSEN Marion;287;0,84;0,41;0,43;0,73;142;  0,13;145;0,73;72;0,74;70;-0,11;61;-0,10;84;0,23;145;
SENIOR Nevena - DHONDY Heather;224;0,82;0,53;0,29;0,29;107;  0,29;117;0,34;62;0,22;45;0,53;50;0,03;67;0,04;117;
UYGAN Filiz - OZGUR Hatice;304;0,80;0,19;0,61;0,28;168;  1,02;135;-0,01;82;0,55;86;0,30;75;0,54;60;0,61;135;
ZOCHOWSKA Joanna - REESS Vanessa;272;0,73;0,56;0,17;0,19;150;  0,15;122;-0,21;73;0,57;77;-0,16;56;0,24;66;0,09;122;
SCHALTZ Dorthe - BEKKOUCHE Nadia;352;0,72;0,33;0,39;0,30;163;  0,48;188;0,16;96;0,49;67;0,14;81;0,15;107;0,33;188;
BROWN Fiona - DRAPER Catherine;224;0,71;0,45;0,27;0,48;116;  0,03;107;0,68;70;0,18;46;0,13;55;0,03;52;-0,05;107;
BALINT Mihaela - MIHAI Geta;352;0,57;0,40;0,16;0,35;188;  -0,05;163;0,29;76;0,39;112;0,00;76;-0,27;87;0,10;163;
SIMONS Anneke - PASMAN Jet;192;0,51;0,32;0,19;-0,01;93;  0,39;98;-0,01;41;-0,01;52;0,19;49;0,03;49;0,28;98;
CHAVARRIA Margherita - PISCITELLI Francesca;224;0,45;0,07;0,38;0,60;104;  0,19;118;-0,09;38;1,00;66;-0,00;56;-0,02;62;0,20;118;
WEBER Elke - GLADIATOR Anne;240;0,43;0,22;0,21;0,61;118;  -0,17;122;0,43;67;0,84;51;-0,08;56;0,00;66;-0,14;122;
SJOBERG Emma - RIMSTEDT Sandra;288;0,42;0,04;0,38;0,60;150;  0,13;138;0,76;77;0,43;73;-0,23;67;-0,26;71;0,37;138;
GROMOVA Victoria - PONOMAREVA Tatiana;240;0,42;-0,08;0,49;0,56;121;  0,42;119;0,65;69;0,44;52;0,12;57;0,26;62;0,23;119;
WILLARD Sylvie - CRONIER Benedicte;304;0,36;0,50;-0,13;-0,12;141;  -0,14;163;-0,41;57;0,08;84;-0,08;93;-0,16;70;-0,03;163;
GULEVICH Anna - KHONICHEVA Elena;272;0,36;0,13;0,23;0,04;137;  0,42;134;-0,21;86;0,45;51;0,09;70;0,22;64;0,27;134;
VAN ZWOL Wietske - ARNOLDS Carla;224;0,30;0,25;0,05;-0,32;121;  0,49;103;-0,29;55;-0,35;66;0,43;41;0,12;62;0,25;103;
ALMIRALL Marta - ALMIRALL Nuria;256;0,21;-0,00;0,21;0,42;120;  0,02;136;-0,17;49;0,83;71;0,03;89;0,19;47;-0,06;136;
SVER Nikica - PILIPOVIC Marina;304;0,18;-0,20;0,38;0,27;157;  0,50;147;0,36;68;0,21;89;0,17;62;0,29;85;0,26;147;
BERTHEAU Kathrine - LARSSON Jessica;240;0,17;0,14;0,03;-0,05;130;  0,13;109;-0,07;84;0,00;46;-0,04;53;-0,02;56;0,16;109;
KULCHYCKY Jill - RIGNEY Teresa;256;0,15;0,25;-0,10;-0,22;109;  -0,00;145;-0,53;71;0,37;38;0,25;74;-0,02;71;-0,12;145;
ADAMSON Sheila - SYMONS Anne;224;0,12;-0,04;0,15;-0,05;95;  0,30;128;0,01;56;-0,14;39;0,51;68;0,05;60;0,01;128;
LEVIT-PORAT Ruth - POPLILOV Matilda;256;0,11;0,41;-0,30;-0,31;127;  -0,29;128;-0,28;60;-0,33;67;-0,03;65;0,09;63;-0,32;128;
FERLAZZO Caterina - MANARA Gabriella;223;0,10;0,41;-0,30;-0,43;105;  -0,19;117;-0,73;44;-0,22;61;0,00;64;0,14;53;-0,26;117;
SMITH Nicola - BROCK Sally;255;0,09;0,10;-0,01;-0,29;130;  0,28;124;-0,97;56;0,23;74;0,17;63;-0,01;61;0,20;124;
NOSACKI Michal - SAADA Nathalie;208;0,02;0,31;-0,29;-0,32;106;  -0,26;101;-0,19;47;-0,42;59;-0,40;49;-0,11;52;-0,01;101;
GIAMPIETRO Cristina - NEHMERT Pony Beate;224;0,00;-0,18;0,18;0,17;109;  0,19;114;0,69;48;-0,24;61;0,05;51;-0,21;63;0,28;114;
FUGLESTAD Ann Karin - HARDING Marianne;272;-0,07;-0,01;-0,07;0,38;130;  -0,48;142;0,21;60;0,53;70;-0,26;61;-0,24;81;-0,23;142;
THOMASBERGER Hannelore - WEIHS Bettina;352;-0,07;-0,08;0,01;-0,25;175;  0,27;175;-0,36;90;-0,13;85;-0,16;97;0,37;78;0,20;175;
TAUBE Aire - ORAS Maarja;288;-0,08;-0,10;0,03;0,11;163;  -0,08;125;0,17;89;0,03;74;0,06;59;0,08;66;-0,15;125;
GREENWOOD Diane - KENNY Joan;224;-0,09;0,04;-0,14;0,13;108;  -0,39;116;0,01;50;0,24;58;-0,24;63;0,21;53;-0,35;116;
