                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
SACCAVINI Ilaria - PAOLUZI Simonetta                   |  256   0.89 |  0.36   0.53 |  0.43 (119)   0.62 (137) |  0.25 ( 62)   0.63 ( 57) |  0.39 ( 78)   0.12 ( 59)   0.34 (137) |
SARNIAK Anna - BALDYSZ Cathy                           |  304   0.86 |  0.24   0.62 |  0.66 (168)   0.56 (135) |  0.58 ( 82)   0.73 ( 86) |  0.09 ( 66)   0.14 ( 69)   0.44 (135) |
WORTEL Meike - MICHIELSEN Marion                       |  287   0.70 |  0.31   0.39 |  0.67 (142)   0.12 (145) |  0.64 ( 72)   0.70 ( 70) | -0.10 ( 61)  -0.10 ( 84)   0.22 (145) |
UYGAN Filiz - OZGUR Hatice                             |  304   0.67 |  0.13   0.54 |  0.27 (168)   0.88 (135) |  0.00 ( 82)   0.52 ( 86) |  0.26 ( 75)   0.45 ( 60)   0.54 (135) |
SENIOR Nevena - DHONDY Heather                         |  224   0.66 |  0.40   0.26 |  0.29 (107)   0.23 (117) |  0.28 ( 62)   0.30 ( 45) |  0.51 ( 50)   0.03 ( 67)  -0.01 (117) |
SCHALTZ Dorthe - BEKKOUCHE Nadia                       |  352   0.63 |  0.28   0.36 |  0.27 (163)   0.43 (188) |  0.15 ( 96)   0.45 ( 67) |  0.11 ( 81)   0.15 (107)   0.30 (188) |
ZOCHOWSKA Joanna - REESS Vanessa                       |  272   0.63 |  0.47   0.16 |  0.15 (150)   0.17 (122) | -0.21 ( 73)   0.49 ( 77) | -0.12 ( 56)   0.22 ( 66)   0.10 (122) |
BROWN Fiona - DRAPER Catherine                         |  224   0.61 |  0.37   0.24 |  0.42 (116)   0.05 (107) |  0.62 ( 70)   0.12 ( 46) |  0.11 ( 55)  -0.00 ( 52)  -0.01 (107) |
BALINT Mihaela - MIHAI Geta                            |  352   0.51 |  0.35   0.16 |  0.35 (188)  -0.05 (163) |  0.32 ( 76)   0.36 (112) | -0.00 ( 76)  -0.22 ( 87)   0.07 (163) |
SIMONS Anneke - PASMAN Jet                             |  192   0.51 |  0.35   0.16 | -0.02 ( 93)   0.34 ( 98) | -0.00 ( 41)  -0.03 ( 52) |  0.18 ( 49)   0.03 ( 49)   0.24 ( 98) |
WEBER Elke - GLADIATOR Anne                            |  240   0.44 |  0.22   0.22 |  0.57 (118)  -0.12 (122) |  0.42 ( 67)   0.76 ( 51) | -0.07 ( 56)   0.00 ( 66)  -0.09 (122) |
CHAVARRIA Margherita - PISCITELLI Francesca            |  224   0.42 |  0.10   0.32 |  0.48 (104)   0.19 (118) | -0.12 ( 38)   0.82 ( 66) | -0.02 ( 56)  -0.03 ( 62)   0.21 (118) |
GROMOVA Victoria - PONOMAREVA Tatiana                  |  240   0.38 | -0.09   0.48 |  0.57 (121)   0.39 (119) |  0.65 ( 69)   0.45 ( 52) |  0.08 ( 57)   0.23 ( 62)   0.23 (119) |
WILLARD Sylvie - CRONIER Benedicte                     |  304   0.36 |  0.48  -0.12 | -0.11 (141)  -0.12 (163) | -0.33 ( 57)   0.03 ( 84) | -0.07 ( 93)  -0.12 ( 70)  -0.03 (163) |
SJOBERG Emma - RIMSTEDT Sandra                         |  288   0.32 |  0.01   0.31 |  0.53 (150)   0.07 (138) |  0.70 ( 77)   0.36 ( 73) | -0.23 ( 67)  -0.26 ( 71)   0.32 (138) |
GULEVICH Anna - KHONICHEVA Elena                       |  272   0.31 |  0.11   0.20 |  0.02 (137)   0.39 (134) | -0.21 ( 86)   0.42 ( 51) |  0.10 ( 70)   0.17 ( 64)   0.26 (134) |
VAN ZWOL Wietske - ARNOLDS Carla                       |  224   0.26 |  0.22   0.03 | -0.33 (121)   0.46 (103) | -0.28 ( 55)  -0.36 ( 66) |  0.39 ( 41)   0.12 ( 62)   0.23 (103) |
BERTHEAU Kathrine - LARSSON Jessica                    |  240   0.23 |  0.19   0.04 | -0.06 (130)   0.16 (109) | -0.09 ( 84)   0.01 ( 46) | -0.02 ( 53)  -0.01 ( 56)   0.18 (109) |
