Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Roland Voigt - Ulrich Voigt;96;1,21;0,49;0,72;0,45;40;  0,92;56;1,26;21;-0,45;19;;3c
Jörg Fritsche - Roland Rohowsky;128;1,14;0,81;0,33;0,41;79;  0,21;48;0,25;45;0,62;34;;1
Ulrike Schreckenberger - Andreas Babsch;128;1,12;0,52;0,61;0,78;53;  0,50;72;1,58;24;0,12;29;;2
Nedju Buchlev - Sebastian Reim;144;0,92;0,50;0,42;0,74;78;  0,05;64;1,26;31;0,39;47;;1
Frederic Boldt - Jan Chodorowski;112;0,80;0,62;0,19;0,60;54;  -0,21;55;0,23;25;0,92;29;;3b
Helmut Häusler - Dr. Andreas Kirmse;128;0,77;0,23;0,54;0,58;60;  0,52;67;0,84;29;0,34;31;;1
Hartmut Brückner - Ralf Speckmann;223;0,69;0,19;0,50;0,60;102;  0,43;118;1,35;37;0,17;65;;3b
Ingo Lüßmann - Claudia Lüßmann;128;0,65;0,12;0,53;0,95;56;  0,22;68;1,11;30;0,76;26;;2
Holger Hoffmann - Christian Dörmer;112;0,64;0,05;0,59;0,76;43;  0,50;68;0,28;27;1,57;16;;2
Katharina Brinck - Vemund Vikjord;112;0,63;0,16;0,47;0,80;52;  0,20;57;0,88;26;0,72;26;;3a
Rolf Beckmann - Wolfram Rach;128;0,62;0,33;0,29;0,89;58;  -0,21;70;1,00;31;0,76;27;;3a
Fred Wrobel - Stefan Häßler;176;0,57;-0,10;0,67;0,52;85;  0,82;89;0,15;48;1,01;37;;2
Borys Jawlinsky - Dr. Gerhard Thurn;160;0,57;0,67;-0,10;0,14;78;  -0,35;79;0,20;39;0,08;39;;3b
Martin Schrödel - Martin Werner;223;0,49;0,16;0,33;0,30;113;  0,36;110;0,46;58;0,13;55;;1
Michael Haffer - Sven Krupp;192;0,49;0,21;0,28;0,16;97;  0,40;94;-0,13;55;0,55;42;;3a
Klaus-Dieter Wacker - Ulrich Staber;176;0,46;0,08;0,37;0,70;90;  0,04;82;0,28;38;1,00;52;;3a
Martin Rehder - Michael Gromöller;192;0,45;-0,16;0,60;0,36;89;  0,82;103;0,27;60;0,54;29;;1
Tobias Förster - Dr. Claus Neidhardt;224;0,44;0,40;0,04;0,09;116;  -0,01;106;0,16;63;0,02;53;;3c
Benedikt Wiemeyer - Volker Hund-Schulze;191;0,44;0,39;0,05;-0,15;104;  0,29;86;0,24;52;-0,54;52;;3b
Ingo Schmid - Lutz Narajek;176;0,44;0,28;0,15;0,21;86;  0,09;89;0,11;56;0,41;30;;3c
Uli Trepnau - Dr. Ralf Schlotmann;192;0,43;0,61;-0,18;0,14;84;  -0,45;104;0,16;47;0,12;37;;3b
Gerritt Guba - Béla Raasch;224;0,43;0,00;0,42;0,42;116;  0,43;107;0,51;57;0,34;59;;3c
Felix Zimmermann - Max Ellerbeck;223;0,43;0,25;0,18;0,33;128;  -0,02;93;-0,22;51;0,70;77;;2
Nils Bokholt - Roland Watzdorf;192;0,42;0,27;0,15;0,10;96;  0,20;95;0,13;48;0,07;48;;3a
Florian Alter - Hartmut Kondoch;127;0,39;-0,03;0,42;0,16;56;  0,65;69;0,46;28;-0,15;28;;2
Sebastian Weyand - Claudia Vechiatto;176;0,37;0,25;0,12;-0,12;81;  0,33;92;-0,50;34;0,15;47;;2
Annaïg Della Monta - Dr. Alfred Berthold;223;0,36;0,17;0,19;0,36;99;  0,05;122;0,53;52;0,17;47;;2
Kathryn Herz - Eckhard Böhlke;192;0,35;-0,06;0,41;0,36;107;  0,49;82;-0,14;52;0,84;55;;3b
