Players;No,;Pl1;Pl2;Def;L1;L2;Butler;Bid;Play1;Play2;;Lead1;Lead2;Def
J Gackowski - M Arutiunianc;108;20;28;60;28;32;1,19;0,87;0,02;0,10;0,00;0,06;0,14
C Balicki - M Klukowski;120;34;32;54;32;22;1,11;0,63;0,06;0,14;0,03;0,03;0,23
K Buras - P Tuczyński;119;26;26;67;30;37;0,83;0,85;-0,10;-0,19;0,10;0,07;0,12
D Kowalski - P Bizoń;252;53;78;120;67;53;0,71;0,54;0,18;0,21;-0,05;0,03;-0,20
D Filipowicz - K Martens;275;76;62;137;42;95;0,67;0,24;0,21;0,07;0,06;0,05;0,04
K Pikus - L Sztyrak;144;39;30;74;39;35;0,46;0,24;-0,03;-0,01;0,04;0,06;0,15
J Pszczoła - M Kwiecień;144;44;39;61;27;34;0,45;0,15;0,05;0,27;0,02;0,01;-0,05
R Jagniewski - W Gaweł;300;69;87;143;62;81;0,41;0,18;0,11;0,14;0,11;-0,04;-0,09
J Śmieszek - A Wujków;132;46;20;65;44;21;0,33;0,16;0,22;-0,00;-0,09;-0,03;0,07
W Kaźmierczak - J Ostrowski;192;42;45;104;54;50;0,31;0,20;0,03;-0,01;0,01;0,04;0,05
R Woliński - M Urbański;108;28;18;61;32;29;0,31;0,17;0,03;-0,01;0,02;-0,07;0,16
A Guła - M Taczewski;240;82;44;113;62;51;0,30;0,36;0,08;-0,05;0,03;-0,02;-0,11
J Cieślak - J Moszyński;108;22;33;52;26;26;0,26;0,12;0,11;-0,02;-0,07;0,03;0,09
W Starkowski - P Gawryś;324;77;97;147;64;83;0,20;0,03;-0,01;0,19;-0,05;0,03;0,02
S Zawiślak - E Miszewska;192;51;54;86;37;49;0,19;0,41;0,06;-0,08;-0,16;-0,05;0,01
C Komajda - J Kotorowicz;276;73;66;137;66;71;0,18;0,22;-0,16;0,20;-0,01;-0,02;-0,04
J Kalita - M Nowosadzki;276;78;61;135;66;69;0,17;0,07;-0,00;0,13;0,08;-0,02;-0,08
A Jeleniewski - J Wachnowski;216;65;45;104;43;61;0,14;-0,21;0,29;-0,05;0,05;0,04;0,01
L Ohrysko - M Jeleniewski;276;69;62;143;70;73;0,12;0,06;0,19;0,07;-0,09;-0,00;-0,11
P Nawrocki - P Wiankowski;180;32;60;88;65;23;0,11;0,27;-0,22;0,01;0,03;0,04;-0,02
S Kowalczyk - J Sucharkiewicz;228;54;56;117;59;58;0,08;-0,22;-0,07;0,09;0,10;0,15;0,04
J Makaruk - P Niedzielski;180;54;31;95;59;36;0,06;-0,09;-0,00;0,03;0,11;0,06;-0,05
K Pikus - M Cichocki;192;55;51;86;41;45;0,04;-0,01;0,02;-0,10;0,09;-0,04;0,08
K Jassem - M Mazurkiewicz;203;49;53;100;16;84;0,03;0,18;-0,03;0,09;-0,02;-0,17;-0,02
P Żak - J Zaremba;156;35;51;70;29;41;0,01;-0,20;0,08;0,09;0,09;0,01;-0,07
S Gołębiowski - A Żmudziński;168;56;20;92;39;53;0,00;-0,34;0,08;-0,01;0,03;-0,01;0,25
T Wiśniewski - I Kowalczyk;288;75;64;147;67;80;-0,00;0,07;0,08;-0,06;-0,02;0,03;-0,10
R Nowicki - R Stoliński;240;52;76;110;82;28;-0,04;0,06;0,05;-0,08;0,01;-0,03;-0,05
B Pazur - T Pilch;240;52;73;115;56;59;-0,10;0,20;0,01;-0,09;-0,08;-0,01;-0,14
M Bartkowski - M Puczyński;180;48;46;84;56;28;-0,14;-0,27;-0,08;0,14;-0,01;0,02;0,07
P Zatorski - P Jassem;144;38;45;61;36;25;-0,15;0,06;-0,06;-0,04;-0,03;-0,05;-0,04
R Sakowicz - P Miechowicz;144;28;39;76;43;33;-0,15;-0,03;-0,07;0,04;0,05;-0,11;-0,03
N Sakowska - P Butryn;144;51;32;61;35;26;-0,17;-0,08;0,03;-0,16;0,11;0,09;-0,15
J Ciechomski - M Leśniewski;240;72;43;123;55;68;-0,24;-0,02;0,05;-0,10;-0,13;-0,17;0,12
A Suwik - M Kowalski;276;58;72;144;65;79;-0,27;-0,27;0,12;-0,05;0,01;0,00;-0,08
R Matlak - Z Guła;156;32;32;91;43;48;-0,27;-0,28;-0,09;0,06;-0,05;-0,00;0,10
M Dembiński - M Pędziński;264;68;59;136;73;63;-0,28;-0,19;-0,05;0,02;-0,00;0,10;-0,15
M Krupowicz - P Janiszewski;216;20;81;113;88;25;-0,34;-0,16;-0,06;0,10;-0,18;-0,01;-0,03
S Niajko - M Bielawski;192;45;54;92;42;50;-0,36;-0,26;-0,01;-0,15;0,04;0,03;-0,02
C Serek - P Busse;240;51;53;135;64;71;-0,37;-0,16;-0,11;0,11;-0,05;-0,06;-0,11
B Gierulski - J Skrzypczak;132;21;35;76;37;39;-0,58;-0,43;-0,06;0,12;-0,15;0,04;-0,10
G Głasek - M Piwowarczyk;155;39;25;90;56;34;-0,59;-0,56;-0,15;0,06;0,01;-0,02;0,08
