                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
Z Rogowski - R Kierznowski                             |  132   1.23 |  1.05   0.19 | -0.38 ( 63)   0.71 ( 69) | -0.75 ( 30)  -0.05 ( 33) |  0.03 ( 37)   0.34 ( 32)   0.53 ( 69) |
J Kalita - M Nowosadzki                                |  276   1.20 |  0.76   0.44 |  0.29 (145)   0.62 (130) |  0.09 ( 81)   0.54 ( 64) |  0.09 ( 80)   0.16 ( 50)   0.50 (130) |
G Narkiewicz - K Buras                                 |  132   1.14 |  0.51   0.64 |  0.76 ( 67)   0.52 ( 64) |  0.08 ( 31)   1.35 ( 36) |  0.54 ( 32)  -0.06 ( 32)   0.28 ( 64) |
J Skrzypczak - B Gierulski                             |  240   0.73 |  0.49   0.24 |  0.22 (110)   0.25 (130) |  0.20 ( 59)   0.24 ( 51) |  0.07 ( 69)  -0.06 ( 61)   0.24 (130) |
S Gołębiowski - W Starkowski                           |  156   0.68 |  0.36   0.32 |  0.82 ( 70)  -0.10 ( 85) |  1.12 ( 39)   0.46 ( 31) | -0.26 ( 32)   0.01 ( 53)  -0.00 ( 85) |
J Pszczoła - M Kwiecień                                |  240   0.65 |  0.60   0.05 | -0.20 (125)   0.31 (115) | -0.20 ( 73)  -0.20 ( 52) |  0.01 ( 34)   0.06 ( 81)   0.27 (115) |
K Araszkiewicz - M Puczyński                           |  228   0.53 |  0.06   0.47 |  0.80 (111)   0.16 (117) |  1.15 ( 50)   0.51 ( 61) |  0.02 ( 80)  -0.29 ( 37)   0.24 (117) |
L Majdański - M Kupnicki                               |  312   0.52 |  0.28   0.24 |  0.32 (152)   0.17 (160) |  0.59 ( 69)   0.09 ( 83) |  0.23 ( 75)   0.06 ( 85)   0.03 (160) |
M Klukowski - P Gawryś                                 |  300   0.50 |  0.25   0.25 |  0.06 (149)   0.44 (151) | -0.20 ( 72)   0.31 ( 77) |  0.44 ( 76)   0.07 ( 75)   0.18 (151) |
J Cieślak - J Moszyński                                |  192   0.49 | -0.02   0.51 |  0.45 ( 88)   0.57 (104) |  0.75 ( 26)   0.32 ( 62) |  0.25 ( 50)   0.10 ( 54)   0.40 (104) |
J Makaruk - P Niedzielski                              |  228   0.39 |  0.01   0.39 |  0.27 (111)   0.50 (117) |  0.44 ( 59)   0.09 ( 52) | -0.06 ( 59)   0.18 ( 58)   0.44 (117) |
T Gotard - K Omernik                                   |  252   0.39 |  0.26   0.13 |  0.34 (138)  -0.12 (114) |  0.39 ( 83)   0.27 ( 55) | -0.08 ( 64)   0.43 ( 50)  -0.26 (114) |
D Kowalski - P Bizoń                                   |  227   0.36 |  0.20   0.16 |  0.32 (104)   0.03 (123) |  0.69 ( 53)  -0.06 ( 51) | -0.11 ( 55)  -0.09 ( 68)   0.12 (123) |
C Serek - D Kazmucha                                   |  216   0.35 |  0.49  -0.14 | -0.35 (109)   0.07 (107) | -0.07 ( 56)  -0.64 ( 53) | -0.10 ( 55)  -0.07 ( 52)   0.15 (107) |
C Balicki - A Żmudziński                               |  120   0.33 | -0.21   0.54 |  0.35 ( 63)   0.76 ( 57) |  0.39 ( 38)   0.30 ( 25) |  0.36 ( 36)  -0.15 ( 21)   0.59 ( 57) |
S Henclik - K Sikorski                                 |  120   0.21 |  0.40  -0.19 | -0.69 ( 62)   0.35 ( 58) | -1.26 ( 38)   0.20 ( 24) |  0.20 ( 28)  -0.05 ( 30)   0.28 ( 58) |
