Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
Z Rogowski - R Kierznowski;132;1,12;0,93;0,19;-0,34;63;  0,66;69;-0,70;30;-0,00;33;0,01;37;0,34;32;0,50;69;
G Narkiewicz - K Buras;132;1,02;0,42;0,60;0,73;67;  0,47;64;0,02;31;1,35;36;0,51;32;-0,04;32;0,24;64;
J Kalita - M Nowosadzki;276;1,01;0,61;0,40;0,26;145;  0,56;130;0,09;81;0,49;64;0,08;80;0,11;50;0,47;130;
J Skrzypczak - B Gierulski;240;0,65;0,44;0,21;0,18;110;  0,24;130;0,17;59;0,20;51;0,08;69;-0,07;61;0,23;130;
S Gołębiowski - W Starkowski;156;0,58;0,28;0,30;0,73;70;  -0,06;85;0,91;39;0,52;31;-0,26;32;0,03;53;0,02;85;
K Araszkiewicz - M Puczyński;228;0,55;0,11;0,44;0,73;111;  0,17;117;1,02;50;0,49;61;0,04;80;-0,27;37;0,23;117;
J Pszczoła - M Kwiecień;240;0,55;0,51;0,04;-0,16;125;  0,25;115;-0,16;73;-0,15;52;0,01;34;0,06;81;0,21;115;
L Majdański - M Kupnicki;312;0,51;0,27;0,24;0,30;152;  0,18;160;0,52;69;0,12;83;0,20;75;0,06;85;0,06;160;
M Klukowski - P Gawryś;300;0,47;0,20;0,26;0,07;149;  0,45;151;-0,15;72;0,28;77;0,41;76;0,10;75;0,20;151;
J Cieślak - J Moszyński;192;0,41;-0,05;0,46;0,42;88;  0,50;104;0,67;26;0,31;62;0,24;50;0,08;54;0,34;104;
J Makaruk - P Niedzielski;228;0,41;0,05;0,35;0,26;111;  0,44;117;0,37;59;0,14;52;-0,05;59;0,16;58;0,38;117;
T Gotard - K Omernik;252;0,39;0,26;0,13;0,31;138;  -0,08;114;0,36;83;0,24;55;-0,06;64;0,41;50;-0,23;114;
D Kowalski - P Bizoń;227;0,37;0,21;0,16;0,32;104;  0,03;123;0,66;53;-0,03;51;-0,10;55;-0,05;68;0,10;123;
C Serek - D Kazmucha;216;0,36;0,50;-0,14;-0,29;109;  0,01;107;-0,07;56;-0,52;53;-0,11;55;-0,07;52;0,10;107;
C Balicki - A Żmudziński;120;0,35;-0,17;0,52;0,28;63;  0,79;57;0,29;38;0,26;25;0,36;36;-0,11;21;0,61;57;
P Ilczuk - P Walczak;108;0,22;-0,07;0,30;0,12;40;  0,40;68;0,97;10;-0,16;30;-0,09;35;0,47;33;0,21;68;
K Jassem - M Mazurkiewicz;204;0,17;0,23;-0,05;0,15;104;  -0,27;100;-0,09;44;0,32;60;-0,17;60;-0,15;40;-0,11;100;
S Henclik - K Sikorski;120;0,13;0,26;-0,13;-0,61;62;  0,38;58;-1,11;38;0,19;24;0,22;28;-0,01;30;0,28;58;
L Sztyrak - R Kierznowski;120;0,13;0,01;0,12;-0,31;55;  0,48;65;-0,13;28;-0,50;27;-0,01;32;0,38;33;0,30;65;
R Schwartz - L Fisher;108;0,07;0,04;0,03;-0,01;44;  0,06;64;-0,09;25;0,08;19;0,18;28;0,12;36;-0,09;64;
