                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
VILLAS-BOAS Miguel - CHAGAS Gabriel                    |  256   1.04 |  0.61   0.43 |  0.48 (123)   0.39 (131) |  0.17 ( 61)   0.77 ( 62) | -0.10 (113)   1.00 ( 18)   0.34 (131) |
HOU Xu - LIU Jing                                      |  224   1.01 |  0.64   0.37 |  0.18 (107)   0.54 (117) |  0.34 ( 58)  -0.01 ( 49) | -0.48 ( 56)   0.38 ( 61)   0.58 (117) |
GOLD David - BAKHSHI David                             |  256   0.93 |  0.31   0.62 |  0.53 (130)   0.72 (125) |  0.92 ( 63)   0.17 ( 67) |  0.16 ( 60)   0.45 ( 65)   0.41 (125) |
STAMATOV Jerry - DANAILOV Diyan                        |  224   0.73 |  0.51   0.22 |  0.12 (105)   0.31 (119) |  0.53 ( 45)  -0.18 ( 60) | -0.11 ( 49)  -0.28 ( 70)   0.52 (119) |
GAWRYS Piotr - KLUKOWSKI Michal                        |  144   0.72 |  0.08   0.63 |  0.34 ( 75)   0.97 ( 68) |  0.33 ( 34)   0.34 ( 41) |  0.61 ( 33)   0.20 ( 35)   0.57 ( 68) |
GUNEV Rossen - NANEV Ivan                              |  224   0.62 |  0.37   0.25 |  0.12 (107)   0.38 (115) |  0.15 ( 60)   0.08 ( 47) |  0.08 ( 69)   0.51 ( 46)   0.13 (115) |
FORRESTER Tony - ROBSON Andrew                         |  272   0.61 |  0.16   0.45 |  0.23 (137)   0.67 (134) |  0.29 ( 72)   0.16 ( 65) |  0.10 ( 76)   0.01 ( 58)   0.61 (134) |
CHEN Dawei - FURUTA Kazuo                              |  288   0.58 |  0.28   0.30 |  0.11 (141)   0.49 (145) | -0.22 ( 74)   0.46 ( 67) |  0.39 ( 74)  -0.38 ( 71)   0.48 (145) |
COMBESCURE Francois - ROMBAUT Jerome                   |  224   0.56 |  0.46   0.10 |  0.21 (112)  -0.02 (111) |  0.07 ( 35)   0.28 ( 77) |  0.03 ( 56)   0.20 ( 55)  -0.13 (111) |
STEFANOV Julian - MIHOV Vladimir                       |  224   0.51 |  0.36   0.15 |  0.02 (117)   0.29 (107) | -0.05 ( 63)   0.10 ( 54) |  0.34 ( 54)   0.09 ( 53)   0.08 (107) |
SCHALTZ Martin - CHRISTIANSEN Soren                    |  288   0.50 |  0.21   0.29 |  0.42 (142)   0.16 (144) |  0.06 ( 72)   0.80 ( 70) |  0.20 ( 71)   0.28 ( 73)  -0.08 (144) |
HU Linlin - LI Xiaoyi                                  |  224   0.47 |  0.28   0.19 |  0.22 (119)   0.16 (103) |  0.24 ( 55)   0.19 ( 64) | -0.01 ( 53)   0.25 ( 50)   0.05 (103) |
SYLVAN Johan - WRANG Frederic                          |  240   0.42 |  0.12   0.30 |  0.48 ( 99)   0.17 (140) |  0.73 ( 58)   0.12 ( 41) | -0.02 ( 77)  -0.30 ( 63)   0.32 (140) |
JASSEM Krzysztof - MAZURKIEWICZ Marcin                 |  240   0.40 |  0.35   0.05 |  0.11 (115)  -0.01 (125) |  0.02 ( 83)   0.32 ( 32) | -0.06 ( 32)  -0.04 ( 93)   0.04 (125) |
DEMUY Vincent - KRANYAK John                           |  288   0.38 |  0.26   0.11 | -0.01 (145)   0.24 (141) | -0.24 ( 69)   0.19 ( 76) |  0.07 ( 68)   0.29 ( 73)   0.05 (141) |
VOLCKER Frederic - BESSIS Thomas                       |  224   0.36 | -0.28   0.64 |  0.40 (107)   0.88 (116) |  0.27 ( 50)   0.50 ( 57) |  0.65 ( 57)   0.18 ( 59)   0.46 (116) |
KALITA Jacek - NOWOSADZKI Michal                       |  287   0.36 |  0.12   0.23 |  0.38 (147)   0.08 (140) |  0.41 ( 71)   0.34 ( 76) | -0.16 ( 59)  -0.02 ( 81)   0.16 (140) |
MECKSTROTH Jeff - RODWELL Eric                         |  256   0.35 |  0.19   0.16 |  0.29 (137)   0.02 (118) |  0.02 ( 83)   0.71 ( 54) |  0.17 ( 65)  -0.13 ( 53)  -0.02 (118) |
WYER Paul - COURTNEY Michael                           |  256   0.34 |  0.28   0.06 |  0.13 (124)  -0.00 (131) |  0.31 ( 64)  -0.05 ( 60) | -0.02 ( 67)   0.11 ( 64)  -0.05 (131) |
MAJUMDAR Debabrata - MUKHERJEE Sumit                   |  272   0.34 |  0.43  -0.09 |  0.01 (124)  -0.17 (147) |  0.01 ( 82)   0.01 ( 42) | -0.04 ( 85)   0.11 ( 62)  -0.20 (147) |
KATZ Ralph - NICKELL Nick                              |  160   0.31 | -0.05   0.36 |  0.48 ( 63)   0.29 ( 97) |  0.38 ( 31)   0.58 ( 32) |  0.26 ( 55)  -0.19 ( 42)   0.22 ( 97) |
LOO Choon Chou - POON Hua                              |  224   0.28 |  0.45  -0.17 | -0.50 (114)   0.18 (110) | -0.11 ( 52)  -0.84 ( 62) |  0.79 ( 51)   0.21 ( 59)  -0.30 (110) |
TESSIERES Godefroy De - LHUISSIER Nicolas              |  224   0.17 |  0.33  -0.16 | -0.60 (116)   0.31 (108) | -0.63 ( 54)  -0.58 ( 62) | -0.00 ( 50)   0.35 ( 58)   0.13 (108) |
