Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
HOU Xu - LIU Jing;224;0,91;0,57;0,34;0,20;107;  0,47;117;0,34;58;0,03;49;-0,46;56;0,32;61;0,53;117;
VILLAS-BOAS Miguel - CHAGAS Gabriel;256;0,89;0,51;0,39;0,43;123;  0,35;131;0,20;61;0,67;62;-0,10;113;0,96;18;0,30;131;
GOLD David - BAKHSHI David;256;0,76;0,23;0,53;0,49;130;  0,58;125;0,82;63;0,18;67;0,15;60;0,40;65;0,30;125;
STAMATOV Jerry - DANAILOV Diyan;224;0,65;0,47;0,18;0,08;105;  0,27;119;0,48;45;-0,21;60;-0,10;49;-0,25;70;0,45;119;
GAWRYS Piotr - KLUKOWSKI Michal;144;0,63;0,08;0,55;0,31;75;  0,82;68;0,35;34;0,28;41;0,49;33;0,19;35;0,48;68;
FORRESTER Tony - ROBSON Andrew;272;0,60;0,21;0,39;0,20;137;  0,59;134;0,21;72;0,20;65;0,06;76;0,00;58;0,55;134;
GUNEV Rossen - NANEV Ivan;224;0,58;0,35;0,23;0,10;107;  0,36;115;0,10;60;0,10;47;0,10;69;0,44;46;0,13;115;
CHEN Dawei - FURUTA Kazuo;288;0,51;0,24;0,26;0,11;141;  0,42;145;-0,22;74;0,46;67;0,32;74;-0,35;71;0,43;145;
COMBESCURE Francois - ROMBAUT Jerome;224;0,51;0,43;0,08;0,18;112;  -0,03;111;0,09;35;0,22;77;-0,00;56;0,18;55;-0,12;111;
DEMUY Vincent - KRANYAK John;288;0,44;0,30;0,14;0,03;145;  0,25;141;-0,18;69;0,23;76;0,10;68;0,26;73;0,07;141;
STEFANOV Julian - MIHOV Vladimir;224;0,41;0,30;0,11;-0,02;117;  0,26;107;-0,10;63;0,07;54;0,27;54;0,08;53;0,08;107;
SCHALTZ Martin - CHRISTIANSEN Soren;288;0,40;0,15;0,26;0,40;142;  0,12;144;0,09;72;0,72;70;0,19;71;0,23;73;-0,10;144;
SYLVAN Johan - WRANG Frederic;240;0,38;0,14;0,24;0,39;99;  0,14;140;0,61;58;0,08;41;-0,01;77;-0,29;63;0,27;140;
JASSEM Krzysztof - MAZURKIEWICZ Marcin;240;0,37;0,31;0,06;0,11;115;  0,02;125;0,02;83;0,33;32;-0,03;32;-0,03;93;0,05;125;
VOLCKER Frederic - BESSIS Thomas;224;0,37;-0,22;0,59;0,38;107;  0,79;116;0,26;50;0,49;57;0,57;57;0,21;59;0,40;116;
KALITA Jacek - NOWOSADZKI Michal;287;0,37;0,15;0,22;0,35;147;  0,08;140;0,37;71;0,33;76;-0,12;59;-0,03;81;0,15;140;
HU Linlin - LI Xiaoyi;224;0,35;0,20;0,15;0,19;119;  0,11;103;0,20;55;0,18;64;0,00;53;0,19;50;0,02;103;
MAJUMDAR Debabrata - MUKHERJEE Sumit;272;0,35;0,41;-0,06;0,00;124;  -0,12;147;0,01;82;-0,01;42;-0,04;85;0,09;62;-0,14;147;
MECKSTROTH Jeff - RODWELL Eric;256;0,31;0,16;0,16;0,27;137;  0,03;118;0,05;83;0,61;54;0,16;65;-0,11;53;-0,01;118;
KATZ Ralph - NICKELL Nick;160;0,31;-0,05;0,35;0,50;63;  0,26;97;0,40;31;0,59;32;0,24;55;-0,14;42;0,19;97;
WYER Paul - COURTNEY Michael;256;0,25;0,21;0,04;0,07;124;  0,01;131;0,25;64;-0,12;60;0,00;67;0,11;64;-0,05;131;
LOO Choon Chou - POON Hua;224;0,19;0,35;-0,16;-0,48;114;  0,17;110;-0,18;52;-0,73;62;0,75;51;0,16;59;-0,27;110;
WOOLDRIDGE Joel - HURD John;272;0,15;0,22;-0,07;-0,18;137;  0,04;134;0,00;80;-0,44;57;-0,11;69;-0,16;65;0,18;134;
WARNE Niklas - BERGDAHL Tommy;208;0,14;0,10;0,05;0,09;93;  0,01;114;0,17;48;0,00;45;-0,18;59;0,17;55;0,02;114;
WEINSTEIN Steve - LEVIN Robert (Bobby);255;0,12;0,21;-0,09;-0,10;130;  -0,09;123;-0,21;32;-0,06;98;0,08;96;-0,20;27;-0,11;123;
WOLPERT Darren - KORBEL Daniel;224;0,12;-0,25;0,37;0,40;113;  0,34;111;0,28;55;0,52;58;0,13;50;0,01;61;0,27;111;
SUN Shaolin - KANG Meng;224;0,11;-0,16;0,27;-0,02;99;  0,49;125;0,24;44;-0,22;55;0,11;64;0,21;61;0,33;125;
STEPHENS Robert - FICK Hennie;336;0,07;0,06;0,01;0,09;181;  -0,08;154;0,18;80;0,01;101;-0,12;69;-0,08;85;0,01;154;
TESSIERES Godefroy De - LHUISSIER Nicolas;224;0,07;0,21;-0,14;-0,50;116;  0,25;108;-0,58;54;-0,43;62;-0,02;50;0,31;58;0,09;108;
ASKGAARD Michael - KONOW Kasper;224;0,05;0,16;-0,11;0,15;111;  -0,36;113;0,04;48;0,24;63;-0,09;57;-0,04;56;-0,30;113;
WARE Griffith - WILKINSON Michael;208;-0,02;-0,01;-0,00;0,07;114;  -0,10;94;0,12;53;0,03;61;0,11;44;0,32;50;-0,32;94;
ZHANG Yukun - LUO Cheng;224;-0,02;-0,14;0,11;-0,21;97;  0,37;123;0,00;58;-0,52;39;0,26;61;-0,02;62;0,26;123;
BARBOSA Roberto - BRENNER Diego;256;-0,04;0,07;-0,11;-0,08;135;  -0,13;121;-0,51;62;0,28;73;0,03;60;0,16;61;-0,22;121;
BOUVERESSE Jean-Pierre - MATHIEU Philippe;224;-0,04;0,08;-0,12;0,16;110;  -0,39;113;0,34;65;-0,11;45;0,08;52;0,06;61;-0,46;113;
CORNELL Michael - BACH Ashley;240;-0,05;0,03;-0,08;0,21;118;  -0,36;121;-0,17;69;0,74;49;0,11;66;-0,10;55;-0,37;121;
HUANG Shan - SABOURIN David;256;-0,08;0,05;-0,14;-0,03;133;  -0,26;122;0,39;70;-0,50;63;-0,09;65;-0,45;57;0,00;122;
UPMARK Johan - NYSTROM Fredrik;224;-0,09;-0,11;0,02;0,16;119;  -0,14;105;0,00;63;0,34;56;0,04;53;-0,18;52;-0,07;105;
WOLPERT Gavin - FIREMAN Paul;112;-0,11;-0,02;-0,09;-0,30;55;  0,12;56;-0,52;27;-0,08;28;0,05;32;-0,42;24;0,27;56;
ANGELERI Ricardo - LAMBARDI Pablo;224;-0,14;-0,11;-0,02;-0,01;110;  -0,03;114;-0,08;64;0,10;46;-0,00;56;0,23;58;-0,15;114;
TANAKA Ryoga - YOKOI Hiroki;176;-0,14;-0,28;0,14;-0,22;89;  0,53;86;-0,47;35;-0,07;54;0,38;40;0,31;46;0,18;86;
GRIFFITHS Aneurin - MILNE Liam;208;-0,18;-0,31;0,13;0,25;100;  0,01;106;-0,41;44;0,77;56;0,27;59;0,06;47;-0,17;106;
NABIL Karim - SADEK Tarek;224;-0,22;-0,48;0,26;0,03;108;  0,47;114;0,06;63;-0,01;45;-0,29;68;0,50;46;0,45;114;
TERAMOTO Tadashi - KAKU Hiroshi;208;-0,23;-0,24;0,01;0,18;104;  -0,16;103;-0,41;54;0,83;50;0,12;46;-0,09;57;-0,17;103;
BANERJEE Amar Nath - ROY Rana;208;-0,24;-0,04;-0,20;-0,15;110;  -0,26;97;-0,06;45;-0,22;65;-0,30;41;0,19;56;-0,24;97;
MAJUMDER Subir - MANNA Gopinath;112;-0,25;0,05;-0,30;-0,25;58;  -0,37;54;0,03;30;-0,54;28;-0,10;20;0,05;34;-0,36;54;
COUTTS Glenn - JACOB Nick;207;-0,27;0,05;-0,32;0,04;105;  -0,70;101;0,46;48;-0,31;57;-0,52;46;0,03;55;-0,48;101;
TAN Gideon - FONG Kien Hoong;224;-0,28;0,03;-0,32;-0,38;110;  -0,26;113;-0,22;61;-0,58;49;0,19;64;-0,43;49;-0,17;113;
TISLEVOLL Geir-Olav - WARE Michael;224;-0,29;-0,13;-0,16;-0,18;118;  -0,13;104;-0,66;50;0,18;68;-0,22;64;-0,13;40;0,05;104;
GARCIA DA ROSA Rodrigo - PELLEGRINI Carlos;208;-0,32;-0,10;-0,22;-0,54;112;  0,14;95;-1,21;69;0,55;43;0,21;47;-0,00;48;0,04;95;
ABDEL FATTAH Mahmoud - BAKLY Ahmed Hussein;223;-0,33;-0,26;-0,07;-0,16;105;  0,00;116;-0,08;46;-0,22;59;0,22;49;-0,12;67;-0,02;116;
CAMBEROS Hector - MUZZIO Ernesto;224;-0,34;-0,18;-0,17;0,24;115;  -0,60;108;0,25;41;0,23;74;-0,09;82;-0,04;26;-0,53;108;
ABD ELLATEIF Khaled Hassan - EISSA TAMER;191;-0,38;-0,24;-0,14;0,08;95;  -0,36;96;0,17;52;-0,02;43;0,04;57;-0,02;39;-0,38;96;
NOSHY Sherif - RAMADAN Baher;224;-0,42;0,05;-0,46;-0,53;124;  -0,38;99;-0,34;55;-0,69;69;0,22;45;-0,36;54;-0,28;99;
HACKETT Jason - HACKETT Justin;144;-0,42;-0,14;-0,28;-0,24;67;  -0,32;77;-0,10;39;-0,44;28;-0,90;44;0,04;33;0,18;77;
SMITH Jeff - MILES Daniel;192;-0,42;-0,12;-0,31;-0,63;96;  0,02;95;-0,50;54;-0,80;42;0,14;47;-0,14;48;0,02;95;
