Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dr. Werner Graf - Horst-Dieter Uhlmann;176;1,01;0,84;0,18;0,00;86;  0,35;89;0,56;34;-0,37;52;
Karl Wartlick - Dieter Laidig;192;0,77;0,67;0,11;-0,05;106;  0,31;83;-0,73;53;0,63;53;
Kareen Schroeder - Dirk Schroeder;112;0,59;0,61;-0,02;-0,21;61;  0,20;50;-0,00;42;-0,67;19;
Andreas Schiffmann - Rainer Twele;96;0,57;0,15;0,43;0,28;46;  0,56;50;0,09;27;0,54;19;
Ingeborg Metzler - Bernd Metzler;224;0,52;0,16;0,36;0,58;97;  0,20;124;0,47;41;0,66;56;
Michael Schröder - Stefan Vernon;224;0,26;0,29;-0,03;0,36;116;  -0,45;107;0,05;65;0,74;51;
Alexander Rapoport - Alexei Vinogradov;128;0,26;0,34;-0,08;0,23;70;  -0,47;57;-0,03;41;0,61;29;
Helmut Lux - Ulrich Schweding;192;0,22;0,06;0,16;0,32;101;  -0,02;91;0,08;53;0,59;48;
Klaus Spiegelberg - Asok Lean;128;0,22;-0,18;0,40;0,36;64;  0,45;63;0,86;36;-0,29;28;
Kareen Schroeder - Dr. Josef Harsanyi;144;0,11;0,16;-0,05;-0,05;69;  -0,06;73;0,46;31;-0,46;38;
Gianluca Bergami - Bartlomiej Igla;96;0,09;-0,10;0,20;0,06;48;  0,34;48;-0,49;16;0,33;32;
Dr. Marcel Aebi - Wolfhart Umlauft;160;0,03;-0,16;0,18;0,22;85;  0,14;75;0,46;35;0,06;50;
Leo Petrak - Detlef Karcher;144;0,02;-0,22;0,24;0,57;68;  -0,05;75;0,09;33;1,03;35;
Avram Kreisberger - Ulrich Däullary;208;0,02;-0,15;0,16;0,43;108;  -0,12;99;0,26;53;0,59;55;
Andreas Schiffmann - Darius Schiffmann;192;-0,02;-0,08;0,06;-0,12;96;  0,25;94;-0,68;49;0,46;47;
Hans-Peter Fütterer - Tobias Förster;192;-0,06;0,23;-0,29;0,01;102;  -0,64;88;0,21;46;-0,16;56;
Fikret Dogan - Dietmar Korb;96;-0,12;0,22;-0,34;-0,17;52;  -0,56;42;0,43;31;-1,05;21;
Dr. Michael Stumpf - Radu Gliga;128;-0,12;-0,26;0,14;-0,16;67;  0,50;59;-0,20;34;-0,13;33;
Felix Schadendorf - Mieke Plath;96;-0,13;0,20;-0,33;-0,04;44;  -0,60;50;-0,05;20;-0,03;24;
Bharat Gurbaxani - Dietmar Korb;192;-0,15;-0,20;0,05;0,13;97;  -0,03;94;0,23;39;0,06;58;
Markus Eble - Uwe Gebhardt;176;-0,17;-0,11;-0,05;0,01;79;  -0,11;94;-0,22;42;0,27;37;
Henning Gärner - Rainer Twele;191;-0,18;0,16;-0,34;-0,48;89;  -0,22;101;-0,43;49;-0,53;40;
Gabi Schneider - Alfried Bocker;192;-0,19;-0,07;-0,12;-0,20;91;  -0,05;100;0,23;45;-0,62;46;
Herbert Vetter - Bernhard Landwehr;192;-0,32;-0,32;0,00;-0,04;108;  0,05;84;0,09;53;-0,16;55;
Matthias Voigt - Dr. Gerold Wieber;208;-0,39;-0,20;-0,19;-0,39;109;  0,02;98;-0,20;55;-0,58;54;
Lukas Kautzsch - Arne Siegel;256;-0,43;-0,20;-0,22;-0,11;137;  -0,36;117;-0,14;64;-0,08;73;
Fikret Dogan - Cumhur Kirdemir;192;-0,46;-0,58;0,12;0,09;92;  0,16;98;0,47;52;-0,39;40;
Achim Greune - Diana Farken;208;-0,48;-0,24;-0,24;-0,15;108;  -0,35;97;-0,16;50;-0,14;58;
Dr. Herbert Thieme - Dr. Klaus Krtschil;96;-0,50;-0,34;-0,16;-0,38;47;  0,06;48;-0,80;22;-0,01;25;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dirk Schroeder - Dr. Josef Harsanyi;16;1,15;1,38;-0,23;-0,01;11;  -0,88;4;-0,02;9;0,00;2;
Bartlomiej Igla - Dr. Alec Fettes;63;1,12;0,50;0,62;0,76;32;  0,48;31;0,28;16;1,24;16;
Gianluca Bergami - Dr. Alec Fettes;64;0,96;0,99;-0,02;-0,15;33;  0,11;31;0,65;17;-1,01;16;
Albrecht Hollstein - Martin Staber;48;0,51;0,31;0,20;0,02;18;  0,32;29;-0,05;11;0,11;7;
Horst-Dieter Uhlmann - Klaus Forster;32;0,30;0,20;0,09;0,28;13;  -0,04;18;0,35;3;0,26;10;
Henning Gärner - Dr. Gerhard Göttsch;80;0,29;0,01;0,28;0,65;26;  0,10;54;0,80;17;0,37;9;
Frank Düllmann - Ying Cheng;64;0,06;0,05;0,01;0,08;28;  -0,04;36;0,21;11;-0,01;17;
Tanja Lutz-Löppenberg - Alfried Bocker;16;-0,01;0,07;-0,08;-0,40;6;  0,12;10;-0,88;3;0,07;3;
Tobias Förster - Dr. Klaus Krtschil;48;-0,01;0,32;-0,33;-0,45;30;  -0,14;18;-0,73;18;-0,02;12;
Frank Düllmann - Tanja Lutz-Löppenberg;64;-0,01;-0,19;0,18;-0,13;30;  0,46;33;0,05;15;-0,32;15;
Moritz Steindl - Dr. Josef Harsanyi;80;-0,16;-0,29;0,14;-0,04;31;  0,25;49;0,17;15;-0,24;16;
Dr. Gerold Wieber - Dr. Klaus Krtschil;32;-0,22;0,13;-0,35;0,03;17;  -0,77;15;-0,81;7;0,62;10;
Martin Staber - Peter Fahrenholz;64;-0,27;0,07;-0,34;-0,92;22;  -0,04;40;-0,57;13;-1,44;9;
Klaus Spiegelberg - Martin Jentsch;64;-0,37;0,01;-0,38;0,01;28;  -0,68;36;0,24;15;-0,25;13;
Dr. Michael Stumpf - Albrecht Hollstein;64;-1,09;-1,27;0,18;0,14;33;  0,22;31;0,35;22;-0,27;11;
Tanja Lutz-Löppenberg - Ying Cheng;32;-1,13;-0,88;-0,25;-0,28;14;  -0,26;16;0,17;6;-0,61;8;
Peter Fahrenholz - Radu Gliga;64;-1,14;-0,54;-0,60;-0,26;23;  -0,79;41;-0,34;8;-0,22;15;
Dr. Werner Graf - Klaus Forster;16;-1,76;-0,91;-0,85;-1,17;8;  -0,53;8;-0,68;5;-2,00;3;
Henning Gärner - Darius Schiffmann;16;-2,00;-2,02;0,01;0,37;9;  -0,44;7;0,00;3;0,55;6;

